,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Short,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre: Thriller,Genre:  Romance,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre: Animation,Genre:  Sci-Fi,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: History,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: TV-MA,Content Rating: X,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: NR,Content Rating: G,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R
0,Claudio Fäh,Bastian Zach,Matthias Bauer,James Norton,Charlie Murphy,Ryan Kwanten,James Norton,Charlie Murphy,Ryan Kwanten,Ed Skrein,,Claudio F�h,,5.4,50.0,7736,,0,0,1,0,2014-09-27,97.0,Northmen - A Viking Saga,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Jean-Baptiste Léonetti,Stephen Susco,Robb White,Michael Douglas,Jeremy Irvine,Martin Palmer,Michael Douglas,Jeremy Irvine,Hanna Mangan Lawrence,Ronny Cox,,Jean-Baptiste L�onetti,44577.0,5.6,34.0,8002,,0,0,0,0,2014-09-06,91.0,Beyond the Reach,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Victor Sjöström,Selma Lagerlöf,Victor Sjöström,Victor Sjöström,Hilda Borgström,Tore Svennberg,Victor Sjöström,Hilda Borgström,Tore Svennberg,Astrid Holm,,Victor Sj�str�m,,8.1,nan,7776,,0,0,0,0,1921-01-01,100.0,K�rkarlen,1921-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Ronald Neame,Charles Dickens,Leslie Bricusse,Albert Finney,Alec Guinness,Edith Evans,Albert Finney,Edith Evans,Kenneth More,Laurence Naismith,,Ronald Neame,,7.5,nan,7555,,4,0,6,1,1970-11-05,113.0,Scrooge,1970-01-01,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Joe Dante,Alan Trezza,Anton Yelchin,Ashley Greene,Alexandra Daddario,Anton Yelchin,Ashley Greene,Alexandra Daddario,Oliver Cooper,Dick Miller,,Joe Dante,,5.4,37.0,8139,,0,0,1,2,2014-09-04,89.0,Burying the Ex,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Cédric Jimenez,Audrey Diwan,Cédric Jimenez,Jean Dujardin,Gilles Lellouche,Céline Sallette,Jean Dujardin,Gilles Lellouche,Céline Sallette,Mélanie Doutey,26000000.0,C�dric Jimenez,,7.1,67.0,8104,,0,0,5,2,2014-09-10,135.0,La French,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,David M. Rosenthal,Alan B. McElroy,Tyger Williams,Sanaa Lathan,Michael Ealy,Morris Chestnut,Sanaa Lathan,Michael Ealy,Morris Chestnut,L. Scott Caldwell,12000000.0,David M. Rosenthal,57017904.0,5.6,36.0,8184,,0,0,3,2,2015-09-02,100.0,The Perfect Guy,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shiraz Ahmed,Shiraz Ahmed,Akshay Kumar,Kareena Kapoor Khan,Priyanka Chopra,Akshay Kumar,Kareena Kapoor Khan,Priyanka Chopra,,Abbas Alibhai Burmawalla Mastan Alibhai Burmawalla,6185889.0,6.8,nan,8183,,0,0,12,5,2004-11-12,160.0,Aitraaz,2004-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Louis Clichy,Alexandre Astier,René Goscinny,Albert Uderzo,Roger Carel,Lorànt Deutsch,Laurent Lafitte,Roger Carel,Lorànt Deutsch,Laurent Lafitte,23994241.382068302,Alexandre Astier Louis Clichy,44383784.0,6.9,nan,8085,,0,0,2,0,2014-11-26,85.0,Ast�rix: Le domaine des dieux,2014-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Richard LaGravenese,Jason Robert Brown,Richard LaGravenese,Anna Kendrick,Jeremy Jordan,Tamara Mintz,Anna Kendrick,Jeremy Jordan,Tamara Mintz,Cassandra Inman,2000000.0,Richard LaGravenese,137945.0,5.9,60.0,7818,,0,0,1,1,2014-09-07,94.0,The Last Five Years,2014-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,Vijay Lalwani,Vijay Lalwani,Siddhartha Gupta,Swapnel Desai,Farhan Akhtar,Siddhartha Gupta,Swapnel Desai,Farhan Akhtar,Vipin Sharma,Kanchan Pagare,,Vijay Lalwani,262511.0,7.0,nan,8442,,0,0,12,0,2010-02-26,135.0,Karthik Calling Karthik,2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,Matt Hullum,Burnie Burns,Burnie Burns,Burnie Burns,Gavin Free,Michael Jones,Burnie Burns,Gavin Free,Michael Jones,Colton Dunn,2480421.0,Matt Hullum,1149878.0,5.6,42.0,7968,,0,0,1,0,2015-09-24,102.0,Lazer Team,2015-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Victor Fleming,Rudyard Kipling,John Lee Mahin,Spencer Tracy,Freddie Bartholomew,Lionel Barrymore,Freddie Bartholomew,Spencer Tracy,Lionel Barrymore,Melvyn Douglas,1645000.0,Victor Fleming,,8.0,nan,7285,,0,1,6,2,1937-05-11,117.0,Captains Courageous,1937-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Robert Aldrich,Roland Kibbee,James R. Webb,Gary Cooper,Burt Lancaster,Denise Darcel,Gary Cooper,Burt Lancaster,Denise Darcel,Cesar Romero,3000000.0,Robert Aldrich,11000000.0,7.1,nan,7277,,0,0,0,0,1954-12-25,94.0,Vera Cruz,1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Ned Benson,Ned Benson,Ned Benson,James McAvoy,Jessica Chastain,Nina Arianda,James McAvoy,Jessica Chastain,Nina Arianda,Viola Davis,,Ned Benson,,6.9,63.0,7700,,0,0,3,1,2013-09-09,89.0,The Disappearance of Eleanor Rigby: Him,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Vipul Amrutlal Shah,Aatish Kapadia,Amitabh Bachchan,Akshay Kumar,Priyanka Chopra,Amitabh Bachchan,Akshay Kumar,Priyanka Chopra,Shefali Shah,Boman Irani,,Vipul Amrutlal Shah,,7.0,nan,8471,2306906.837999082,0,0,4,0,2005-04-20,153.0,Waqt: The Race Against Time,2005-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,Denis Villeneuve,Eric Heisserer,Ted Chiang,Amy Adams,Jeremy Renner,Forest Whitaker,Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,47000000.0,Denis Villeneuve,203388186.0,8.0,81.0,425676,,0,1,245,62,2016-09-01,116.0,Arrival,2016-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Gareth Edwards,Chris Weitz,Tony Gilroy,Felicity Jones,Diego Luna,Alan Tudyk,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,200000000.0,Gareth Edwards,1056052054.0,7.8,65.0,404923,,2,0,78,23,2016-12-10,133.0,Rogue One,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,Scott Derrickson,Jon Spaihts,Scott Derrickson,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Wong,165000000.0,Scott Derrickson,677718395.0,7.5,72.0,380262,,1,0,64,18,2016-10-13,115.0,Doctor Strange,2016-01-01,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,Damien Chazelle,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,Ryan Gosling,Emma Stone,Amiée Conn,Terry Walters,Thom Shelton,30000000.0,Damien Chazelle,445636919.0,8.1,93.0,343188,,0,6,252,212,2016-08-31,128.0,La La Land,2016-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,David Yates,J.K. Rowling,Eddie Redmayne,Katherine Waterston,Alison Sudol,Eddie Redmayne,Sam Redford,Scott Goldman,Tim Bentinck,Tristan Tait,180000000.0,David Yates,814037575.0,7.4,66.0,289394,,0,1,51,14,2016-11-08,133.0,Fantastic Beasts and Where to Find Them,2016-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,Mel Gibson,Robert Schenkkan,Andrew Knight,Andrew Garfield,Sam Worthington,Luke Bracey,Andrew Garfield,Richard Pyros,Jacob Warner,Milo Gibson,40000000.0,Mel Gibson,175302354.0,8.2,71.0,293501,,0,2,109,45,2016-09-04,139.0,Hacksaw Ridge,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,Gavin O'Connor,Bill Dubuque,Ben Affleck,Anna Kendrick,J.K. Simmons,Ben Affleck,Anna Kendrick,J.K. Simmons,Jon Bernthal,Jeffrey Tambor,44000000.0,Gavin O'Connor,155160045.0,7.4,51.0,203012,,0,0,5,3,2016-10-10,128.0,The Accountant,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Clint Eastwood,Todd Komarnicki,Chesley Sullenberger,Tom Hanks,Aaron Eckhart,Laura Linney,Tom Hanks,Aaron Eckhart,Valerie Mahaffey,Delphi Harrington,60000000.0,Clint Eastwood,238552082.0,7.5,74.0,169602,,1,0,33,12,2016-09-02,96.0,Sully,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,Morten Tyldum,Jon Spaihts,Jennifer Lawrence,Chris Pratt,Michael Sheen,Jennifer Lawrence,Chris Pratt,Michael Sheen,Laurence Fishburne,Andy Garcia,110000000.0,Morten Tyldum,303144152.0,7.0,41.0,259276,,2,0,9,1,2016-12-14,116.0,Passengers,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,Antoine Fuqua,Akira Kurosawa,Shinobu Hashimoto,Denzel Washington,Chris Pratt,Ethan Hawke,Denzel Washington,Chris Pratt,Ethan Hawke,Vincent D'Onofrio,90000000.0,Antoine Fuqua,162526238.0,6.9,54.0,147028,,0,0,12,5,2016-09-08,132.0,The Magnificent Seven,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,Fede Alvarez,Fede Alvarez,Rodo Sayagues,Stephen Lang,Jane Levy,Dylan Minnette,Stephen Lang,Jane Levy,Dylan Minnette,Daniel Zovatto,9900000.0,Fede Alvarez,159047649.0,7.1,71.0,150774,,0,0,21,7,2016-03-12,88.0,Don't Breathe,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,David Mackenzie,Taylor Sheridan,Chris Pine,Ben Foster,Jeff Bridges,Dale Dickey,Ben Foster,Chris Pine,William Sterchi,Buck Taylor,12000000.0,David Mackenzie,26749794.0,7.6,88.0,143770,,4,0,157,42,2016-05-16,102.0,Hell or High Water,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,Terry George,Terry George,Robin Swicord,Oscar Isaac,Charlotte Le Bon,Christian Bale,Oscar Isaac,Charlotte Le Bon,Christian Bale,Daniel Giménez Cacho,90000000.0,Terry George,,6.0,49.0,159252,,0,0,3,2,2016-09-11,133.0,The Promise,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,Todd Phillips,Stephen Chin,Todd Phillips,Jonah Hill,Miles Teller,Steve Lantz,Miles Teller,Steve Lantz,Gregg Weiner,David Packouz,40000000.0,Todd Phillips,43017433.0,7.1,57.0,131316,,0,0,2,0,2016-08-03,114.0,War Dogs,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,Tom Ford,Tom Ford,Austin Wright,Amy Adams,Jake Gyllenhaal,Michael Shannon,Amy Adams,Jake Gyllenhaal,Michael Shannon,Aaron Taylor-Johnson,22500000.0,Tom Ford,28450387.0,7.5,67.0,167601,,1,0,132,16,2016-09-02,116.0,Nocturnal Animals,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,Tim Burton,Ransom Riggs,Jane Goldman,Eva Green,Asa Butterfield,Samuel L. Jackson,Eva Green,Asa Butterfield,Samuel L. Jackson,Judi Dench,110000000.0,Tim Burton,296477016.0,6.7,57.0,123487,,0,0,12,2,2016-09-25,127.0,Miss Peregrine's Home for Peculiar Children,2016-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,Matt Ross,Matt Ross,Viggo Mortensen,George MacKay,Samantha Isler,Viggo Mortensen,George MacKay,Samantha Isler,Annalise Basso,Nicholas Hamilton,,Matt Ross,2997061.0,7.9,72.0,131362,,1,0,42,14,2016-01-23,118.0,Captain Fantastic,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,Ron Howard,Dan Brown,David Koepp,Tom Hanks,Felicity Jones,Irrfan Khan,Tom Hanks,Felicity Jones,Omar Sy,Irrfan Khan,75000000.0,Ron Howard,220021259.0,6.2,42.0,118192,,0,0,1,1,2016-10-08,121.0,Inferno,2016-01-01,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,Tate Taylor,Erin Cressida Wilson,Paula Hawkins,Emily Blunt,Haley Bennett,Rebecca Ferguson,Emily Blunt,Haley Bennett,Rebecca Ferguson,Justin Theroux,45000000.0,Tate Taylor,173185859.0,6.5,48.0,125701,,0,0,10,4,2016-09-20,112.0,The Girl on the Train,2016-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,Barry Jenkins,Barry Jenkins,Tarell Alvin McCraney,Mahershala Ali,Naomie Harris,Trevante Rhodes,Mahershala Ali,Shariff Earp,Duan Sanderson,Alex R. Hibbert,4000000.0,Barry Jenkins,55561162.0,7.5,99.0,178601,,0,3,260,213,2016-09-02,111.0,Moonlight,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,Alper Caglar,Alper Caglar,Ozan Agaç,Bedii Akin,Murat Arkin,Ozan Agaç,Bedii Akin,Murat Arkin,Eylül Arular,Ufuk Bayraktar,,Alper Caglar,,9.6,nan,93871,,0,0,0,0,2016-11-04,135.0,Dag II,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,Peter Berg,Matthew Michael Carnahan,Matthew Sand,Mark Wahlberg,Kurt Russell,Douglas M. Griffin,Mark Wahlberg,Kurt Russell,Douglas M. Griffin,James DuMont,110000000.0,Peter Berg,118188581.0,7.2,68.0,113570,,2,0,13,3,2016-09-13,107.0,Deepwater Horizon,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,Ron Clements,John Musker,Jared Bush,Ron Clements,Auli'i Cravalho,Dwayne Johnson,Rachel House,Auli'i Cravalho,Dwayne Johnson,Rachel House,150000000.0,Don Hall Ron Clements John Musker Chris Williams,643031115.0,7.6,81.0,175555,,2,0,82,18,2016-11-14,107.0,Moana,2016-01-01,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,Oliver Stone,Kieran Fitzgerald,Oliver Stone,Joseph Gordon-Levitt,Shailene Woodley,Melissa Leo,Melissa Leo,Zachary Quinto,Joseph Gordon-Levitt,Jaymes Butler,40000000.0,Oliver Stone,37357216.0,7.3,58.0,99508,,0,0,7,3,2016-07-21,134.0,Snowden,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,M. Night Shyamalan,M. Night Shyamalan,James McAvoy,Anya Taylor-Joy,Haley Lu Richardson,James McAvoy,Anya Taylor-Joy,Betty Buckley,Haley Lu Richardson,Jessica Sula,9000000.0,M. Night Shyamalan,278454358.0,7.3,62.0,245087,,0,0,18,5,2016-09-26,117.0,Split,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,Edward Zwick,Richard Wenk,Edward Zwick,Tom Cruise,Cobie Smulders,Aldis Hodge,Tom Cruise,Cobie Smulders,Aldis Hodge,Danika Yarosh,60000000.0,Edward Zwick,162146076.0,6.1,47.0,98524,,0,0,0,1,2016-10-19,118.0,Jack Reacher: Never Go Back,2016-01-01,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Justin Kurzel,Michael Lesslie,Adam Cooper,Michael Fassbender,Marion Cotillard,Jeremy Irons,Michael Fassbender,Marion Cotillard,Jeremy Irons,Brendan Gleeson,125000000.0,Justin Kurzel,240697856.0,5.8,36.0,145880,,0,0,1,2,2016-12-13,115.0,Assassin's Creed,2016-01-01,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,Travis Knight,Marc Haimes,Chris Butler,Charlize Theron,Art Parkinson,Matthew McConaughey,Art Parkinson,Charlize Theron,Ralph Fiennes,Brenda Vaccaro,60000000.0,Travis Knight,76257813.0,7.8,84.0,88111,,2,0,58,31,2016-08-13,101.0,Kubo and the Two Strings,2016-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,Chad Stahelski,Derek Kolstad,Derek Kolstad,Keanu Reeves,Riccardo Scamarcio,Ian McShane,Keanu Reeves,Riccardo Scamarcio,Ian McShane,Ruby Rose,40000000.0,Chad Stahelski,158216655.0,7.5,75.0,211211,,0,0,4,2,2017-01-30,122.0,John Wick: Chapter 2,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,Garth Davis,Saroo Brierley,Luke Davies,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,Abhishek Bharate,Priyanka Bose,Khushi Solanki,12000000.0,Garth Davis,123723779.0,8.1,69.0,149320,,6,0,80,49,2016-09-10,118.0,Lion,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,Dan Kwan,Daniel Scheinert,Daniel Scheinert,Dan Kwan,Paul Dano,Daniel Radcliffe,Mary Elizabeth Winstead,Paul Dano,Daniel Radcliffe,Mary Elizabeth Winstead,3000000.0,Dan Kwan Daniel Scheinert,4121261.0,7.0,64.0,75265,,0,0,28,6,2016-01-22,97.0,Swiss Army Man,2016-01-01,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,Robert Zemeckis,Steven Knight,Brad Pitt,Marion Cotillard,Jared Harris,Brad Pitt,Vincent Ebrahim,Xavier de Guillebon,Marion Cotillard,Camille Cottin,85000000.0,Robert Zemeckis,109098064.0,7.1,60.0,104590,,1,0,10,0,2016-11-13,124.0,Allied,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,Theodore Melfi,Allison Schroeder,Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,25000000.0,Theodore Melfi,234874979.0,7.8,74.0,137720,,3,0,81,36,2016-12-25,127.0,Hidden Figures,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
