,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Short,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre: Thriller,Genre:  Romance,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre: Animation,Genre:  Sci-Fi,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: History,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: TV-MA,Content Rating: X,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: NR,Content Rating: G,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R
1197,Siva,Bhoopathy Raja,Bharathan,Ajith Kumar,Tamannaah Bhatia,Vidharth,Ajith Kumar,Tamannaah Bhatia,Vidharth,Bala,0.7088770742709843,Siva,243955.0,6.6,nan,5981,,0,0,2,0,2014-01-09,161.0,Veeram,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1198,Ulu Grosbard,Dustin Hoffman,Edward Bunker,Alvin Sargent,Dustin Hoffman,Theresa Russell,Gary Busey,Dustin Hoffman,Theresa Russell,Gary Busey,,Dustin Hoffman Ulu Grosbard,9900000.0,7.4,nan,6116,,0,0,0,0,1978-03-17,114.0,Straight Time,1978-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1199,Jacob Vaughan,Benjamin Hayes,Jacob Vaughan,Ken Marino,Gillian Jacobs,Patrick Warburton,Ken Marino,Gillian Jacobs,Mary Kay Place,Claudia Choi,,Jacob Vaughan,19613.0,5.7,62.0,5999,,0,0,4,1,2013-03-10,85.0,Bad Milo!,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200,Aziz Mirza,Manoj Lalwani,Manoj Lalwani,Shah Rukh Khan,Amrita Singh,Juhi Chawla,Shah Rukh Khan,Amrita Singh,Juhi Chawla,Navin Nischol,,Aziz Mirza,,6.9,nan,6186,,0,0,0,0,1992-11-13,152.0,Raju Ban Gaya Gentleman,1992-01-01,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1201,Masami Hata,William T. Hurtz,Chris Columbus,Richard Outten,Gabriel Damon,Mickey Rooney,Rene Auberjonois,Gabriel Damon,Mickey Rooney,Rene Auberjonois,35000000.0,William T. Hurtz Masami Hata,1368210.0,7.2,nan,5893,,0,0,1,1,1989-07-15,85.0,Little Nemo,1989-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1202,Alan J. Pakula,Matthew Chapman,Kevin Kline,Mary Elizabeth Mastrantonio,Kevin Spacey,Kevin Kline,Mary Elizabeth Mastrantonio,Kevin Spacey,Rebecca Miller,Forest Whitaker,18000000.0,Alan J. Pakula,21591728.0,5.7,nan,5901,,0,0,1,0,1992-10-16,99.0,Consenting Adults,1992-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1203,Karthik Subbaraj,Karthik Subbaraj,Karthik Subbaraj,Siddharth,Bobby Simha,Lakshmi Menon,Siddharth,Bobby Simha,Lakshmi Menon,Nassar,4901960.784313725,Karthik Subbaraj,,8.4,nan,6898,,0,0,6,4,2014-08-01,171.0,Jigarthanda,2014-01-01,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1204,Baltasar Kormákur,Walter Doty,John Claflin,Dermot Mulroney,Diane Kruger,Sam Shepard,Mia Stallard,Dermot Mulroney,Diane Kruger,Sam Shepard,10000000.0,Baltasar Korm�kur,4115.0,6.6,39.0,5771,,0,0,3,0,2010-08-27,83.0,Inhale,2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1205,Griffin Dunne,Dirk Wittenborn,Dirk Wittenborn,Diane Lane,Donald Sutherland,Anton Yelchin,Diane Lane,Anton Yelchin,Donald Sutherland,Chris Evans,,Griffin Dunne,85410.0,6.6,54.0,5815,,0,0,0,0,2005-04-24,107.0,Fierce People,2005-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1206,Abdellatif Kechiche,Abdellatif Kechiche,Habib Boufares,Hafsia Herzi,Farida Benkhetache,Habib Boufares,Hafsia Herzi,Farida Benkhetache,Abdelhamid Aktouche,Alice Houri,,Abdellatif Kechiche,86356.0,7.4,83.0,5913,,0,0,7,19,2007-09-03,151.0,La graine et le mulet,2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
