,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
9652,Gerhard Hahn,René Goscinny,Albert Uderzo,Roger Carel,Pierre Tornade,Henri Labussière,Roger Carel,Pierre Tornade,Henri Labussière,François Chaix,"DEM 19,000,000",NR,Gerhard Hahn,"Animation, Adventure, Comedy, Family, Fantasy, Western","$768,488",5.9,,5539,,0,0,0,0,1994-09-29,85.0,Asterix in America,http://www.imdb.com/title/tt0109162/,1994
9653,Dong-hyuk Hwang,Ji-young Gong,Dong-hyuk Hwang,Yoo Gong,Yu-mi Jung,Hyeon-soo Kim,Yoo Gong,Yu-mi Jung,Hyeon-soo Kim,Kim Jee-Young,,NR,Dong-hyuk Hwang,Drama,,8.0,,6452,,0,0,7,5,2011-09-22,125.0,Do-ga-ni,http://www.imdb.com/title/tt2070649/,2011
9654,James Toback,James Toback,Molly Ringwald,Robert Downey Jr.,Dennis Hopper,Molly Ringwald,Robert Downey Jr.,Dennis Hopper,Danny Aiello,Mildred Dunnock,"$15,000,000",PG-13,James Toback,"Comedy, Crime, Drama, Romance","$13,290,368",5.2,,5459,,0,0,0,0,1987-09-18,81.0,The Pick-up Artist,http://www.imdb.com/title/tt0093737/,1987
9655,Ralph Nelson,Daniel Keyes,Stirling Silliphant,Cliff Robertson,Claire Bloom,Lilia Skala,Cliff Robertson,Claire Bloom,Lilia Skala,Leon Janney,,M,Ralph Nelson,"Drama, Romance, Sci-Fi",,7.1,,5373,,0,1,6,3,1968-06-01,103.0,Charly,http://www.imdb.com/title/tt0062794/,1968
9656,Otto Preminger,Frank S. Nugent,Oscar Millard,Robert Mitchum,Jean Simmons,Mona Freeman,Robert Mitchum,Jean Simmons,Mona Freeman,Herbert Marshall,"$1,039,000",NOT RATED,Otto Preminger,"Crime, Drama, Film-Noir, Romance, Thriller",,7.3,,5572,,0,0,0,0,1953-01-02,91.0,Angel Face,http://www.imdb.com/title/tt0044357/,1953
9657,Andrew Davis,Michael Butler,Dennis Shryack,Chuck Norris,Henry Silva,Bert Remsen,Chuck Norris,Henry Silva,Bert Remsen,Mike Genovese,"$7,000,000",R,Andrew Davis,"Action, Crime, Drama, Thriller","$20,345,261",6.0,64.0,5507,,0,0,0,0,1985-05-03,101.0,Code of Silence,http://www.imdb.com/title/tt0088936/,1985
9658,Michael Corrente,Terence Winter,Paulo Araujo,Daniel Tay,Ty Thomas Reed,Paulo Araujo,Daniel Tay,Ty Thomas Reed,Brian O'Neill,Alec Baldwin,"$8,000,000",R,Michael Corrente,"Crime, Drama","$398,420,",6.4,53.0,5210,,0,0,0,0,2007-04-30,99.0,Brooklyn Rules,http://www.imdb.com/title/tt0283503/,2007
9659,Scott Spiegel,Lawrence Bender,Scott Spiegel,Elizabeth Cox,Renée Estevez,Dan Hicks,Elizabeth Cox,Renée Estevez,Dan Hicks,David Byrnes,"$130,000",R,Scott Spiegel,"Horror, Thriller",,6.4,,5635,,0,0,0,0,1989-01-13,83.0,Intruder,http://www.imdb.com/title/tt0095379/,1989
9660,Malgorzata Szumowska,Tine Byrckel,Malgorzata Szumowska,Juliette Binoche,Anaïs Demoustier,Joanna Kulig,Juliette Binoche,Anaïs Demoustier,Joanna Kulig,Louis-Do de Lencquesaing,"€4,000,000",UNRATED,Malgorzata Szumowska,Drama,"$157,427,",5.7,50.0,5468,,0,0,0,1,2011-09-09,99.0,Elles,http://www.imdb.com/title/tt1549589/,2011
9661,Anthony Mann,Ivan Moffat,Ben Barzman,Kirk Douglas,Richard Harris,Ulla Jacobsson,Kirk Douglas,Richard Harris,Ulla Jacobsson,Michael Redgrave,"$5,600,000",APPROVED,Anthony Mann,"Action, Drama, History, War",,6.5,,5422,,0,0,0,0,1965-11-23,131.0,The Heroes of Telemark,http://www.imdb.com/title/tt0059263/,1965
