,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
8001,Claudio Fäh,Bastian Zach,Matthias Bauer,James Norton,Charlie Murphy,Ryan Kwanten,James Norton,Charlie Murphy,Ryan Kwanten,Ed Skrein,,R,Claudio F�h,"Action, Adventure",,5.4,50.0,7736,,0,0,1,0,2014-09-27,97.0,Northmen - A Viking Saga,http://www.imdb.com/title/tt2290553/,2014
8002,Jean-Baptiste Léonetti,Stephen Susco,Robb White,Michael Douglas,Jeremy Irvine,Martin Palmer,Michael Douglas,Jeremy Irvine,Hanna Mangan Lawrence,Ronny Cox,,R,Jean-Baptiste L�onetti,Thriller,"$44,577,",5.6,34.0,8002,,0,0,0,0,2014-09-06,91.0,Beyond the Reach,http://www.imdb.com/title/tt2911668/,2014
8003,Victor Sjöström,Selma Lagerlöf,Victor Sjöström,Victor Sjöström,Hilda Borgström,Tore Svennberg,Victor Sjöström,Hilda Borgström,Tore Svennberg,Astrid Holm,,NOT RATED,Victor Sj�str�m,"Drama, Fantasy, Horror",,8.1,,7776,,0,0,0,0,1921-01-01,100.0,K�rkarlen,http://www.imdb.com/title/tt0012364/,1921
8004,Ronald Neame,Charles Dickens,Leslie Bricusse,Albert Finney,Alec Guinness,Edith Evans,Albert Finney,Edith Evans,Kenneth More,Laurence Naismith,,G,Ronald Neame,"Drama, Family, Fantasy, Musical, Romance, Thriller",,7.5,,7555,,4,0,6,1,1970-11-05,113.0,Scrooge,http://www.imdb.com/title/tt0066344/,1970
8005,Joe Dante,Alan Trezza,Anton Yelchin,Ashley Greene,Alexandra Daddario,Anton Yelchin,Ashley Greene,Alexandra Daddario,Oliver Cooper,Dick Miller,,R,Joe Dante,"Comedy, Horror, Romance",,5.4,37.0,8139,,0,0,1,2,2014-09-04,89.0,Burying the Ex,http://www.imdb.com/title/tt3339674/,2014
8006,Cédric Jimenez,Audrey Diwan,Cédric Jimenez,Jean Dujardin,Gilles Lellouche,Céline Sallette,Jean Dujardin,Gilles Lellouche,Céline Sallette,Mélanie Doutey,"$26,000,000",R,C�dric Jimenez,"Action, Crime, Thriller",,7.1,67.0,8104,,0,0,5,2,2014-09-10,135.0,La French,http://www.imdb.com/title/tt2935564/,2014
8007,David M. Rosenthal,Alan B. McElroy,Tyger Williams,Sanaa Lathan,Michael Ealy,Morris Chestnut,Sanaa Lathan,Michael Ealy,Morris Chestnut,L. Scott Caldwell,"$12,000,000",PG-13,David M. Rosenthal,"Drama, Thriller","$57,017,904,",5.6,36.0,8184,,0,0,3,2,2015-09-02,100.0,The Perfect Guy,http://www.imdb.com/title/tt3862750/,2015
8008,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shiraz Ahmed,Shiraz Ahmed,Akshay Kumar,Kareena Kapoor Khan,Priyanka Chopra,Akshay Kumar,Kareena Kapoor Khan,Priyanka Chopra,,NOT RATED,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Drama, Romance, Thriller","$6,185,889",6.8,,8183,,0,0,12,5,2004-11-12,160.0,Aitraaz,http://www.imdb.com/title/tt0418460/,2004
8009,Louis Clichy,Alexandre Astier,René Goscinny,Albert Uderzo,Roger Carel,Lorànt Deutsch,Laurent Lafitte,Roger Carel,Lorànt Deutsch,Laurent Lafitte,"€30,000,000",NR,"Alexandre Astier, Louis Clichy","Animation, Adventure, Comedy, Family","$44,383,784",6.9,,8085,,0,0,2,0,2014-11-26,85.0,Ast�rix: Le domaine des dieux,http://www.imdb.com/title/tt3759416/,2014
8010,Richard LaGravenese,Jason Robert Brown,Richard LaGravenese,Anna Kendrick,Jeremy Jordan,Tamara Mintz,Anna Kendrick,Jeremy Jordan,Tamara Mintz,Cassandra Inman,"$2,000,000",PG-13,Richard LaGravenese,"Comedy, Drama, Musical, Romance","$137,945,",5.9,60.0,7818,,0,0,1,1,2014-09-07,94.0,The Last Five Years,http://www.imdb.com/title/tt2474024/,2014
8011,Vijay Lalwani,Vijay Lalwani,Siddhartha Gupta,Swapnel Desai,Farhan Akhtar,Siddhartha Gupta,Swapnel Desai,Farhan Akhtar,Vipin Sharma,Kanchan Pagare,,NR,Vijay Lalwani,"Drama, Romance, Thriller","$262,511,",7.0,,8442,,0,0,12,0,2010-02-26,135.0,Karthik Calling Karthik,http://www.imdb.com/title/tt1373156/,2010
8012,Matt Hullum,Burnie Burns,Burnie Burns,Burnie Burns,Gavin Free,Michael Jones,Burnie Burns,Gavin Free,Michael Jones,Colton Dunn,"$2,480,421",PG-13,Matt Hullum,"Action, Comedy, Sci-Fi","$1,149,878,",5.6,42.0,7968,,0,0,1,0,2015-09-24,102.0,Lazer Team,http://www.imdb.com/title/tt3864024/,2015
8013,Victor Fleming,Rudyard Kipling,John Lee Mahin,Spencer Tracy,Freddie Bartholomew,Lionel Barrymore,Freddie Bartholomew,Spencer Tracy,Lionel Barrymore,Melvyn Douglas,"$1,645,000",PASSED,Victor Fleming,"Adventure, Drama, Family",,8.0,,7285,,0,1,6,2,1937-05-11,117.0,Captains Courageous,http://www.imdb.com/title/tt0028691/,1937
8014,Robert Aldrich,Roland Kibbee,James R. Webb,Gary Cooper,Burt Lancaster,Denise Darcel,Gary Cooper,Burt Lancaster,Denise Darcel,Cesar Romero,"$3,000,000",APPROVED,Robert Aldrich,"Adventure, Western","$11,000,000,",7.1,,7277,,0,0,0,0,1954-12-25,94.0,Vera Cruz,http://www.imdb.com/title/tt0047647/,1954
8015,Ned Benson,Ned Benson,Ned Benson,James McAvoy,Jessica Chastain,Nina Arianda,James McAvoy,Jessica Chastain,Nina Arianda,Viola Davis,,R,Ned Benson,"Drama, Romance",,6.9,63.0,7700,,0,0,3,1,2013-09-09,89.0,The Disappearance of Eleanor Rigby: Him,http://www.imdb.com/title/tt1531924/,2013
8016,Vipul Amrutlal Shah,Aatish Kapadia,Amitabh Bachchan,Akshay Kumar,Priyanka Chopra,Amitabh Bachchan,Akshay Kumar,Priyanka Chopra,Shefali Shah,Boman Irani,,NR,Vipul Amrutlal Shah,"Comedy, Drama, Musical, Romance",,7.0,,8471,"INR 100,535,000 (India),",0,0,4,0,2005-04-20,153.0,Waqt: The Race Against Time,http://www.imdb.com/title/tt0390614/,2005
8017,Denis Villeneuve,Eric Heisserer,Ted Chiang,Amy Adams,Jeremy Renner,Forest Whitaker,Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,"$47,000,000",PG-13,Denis Villeneuve,"Drama, Mystery, Sci-Fi, Thriller","$203,388,186",8.0,81.0,425676,,0,1,245,62,2016-09-01,116.0,Arrival,http://www.imdb.com/title/tt2543164/,2016
8018,Gareth Edwards,Chris Weitz,Tony Gilroy,Felicity Jones,Diego Luna,Alan Tudyk,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,"$200,000,000",PG-13,Gareth Edwards,"Action, Adventure, Sci-Fi","$1,056,052,054",7.8,65.0,404923,,2,0,78,23,2016-12-10,133.0,Rogue One,http://www.imdb.com/title/tt3748528/,2016
8019,Scott Derrickson,Jon Spaihts,Scott Derrickson,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Wong,"$165,000,000",PG-13,Scott Derrickson,"Action, Adventure, Fantasy, Sci-Fi","$677,718,395",7.5,72.0,380262,,1,0,64,18,2016-10-13,115.0,Doctor Strange,http://www.imdb.com/title/tt1211837/,2016
8020,Damien Chazelle,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,Ryan Gosling,Emma Stone,Amiée Conn,Terry Walters,Thom Shelton,"$30,000,000",PG-13,Damien Chazelle,"Comedy, Drama, Music, Musical, Romance","$445,636,919",8.1,93.0,343188,,0,6,252,212,2016-08-31,128.0,La La Land,http://www.imdb.com/title/tt3783958/,2016
8021,David Yates,J.K. Rowling,Eddie Redmayne,Katherine Waterston,Alison Sudol,Eddie Redmayne,Sam Redford,Scott Goldman,Tim Bentinck,Tristan Tait,"$180,000,000",PG-13,David Yates,"Adventure, Family, Fantasy","$814,037,575",7.4,66.0,289394,,0,1,51,14,2016-11-08,133.0,Fantastic Beasts and Where to Find Them,http://www.imdb.com/title/tt3183660/,2016
8022,Mel Gibson,Robert Schenkkan,Andrew Knight,Andrew Garfield,Sam Worthington,Luke Bracey,Andrew Garfield,Richard Pyros,Jacob Warner,Milo Gibson,"$40,000,000",R,Mel Gibson,"Biography, Drama, History, War","$175,302,354",8.2,71.0,293501,,0,2,109,45,2016-09-04,139.0,Hacksaw Ridge,http://www.imdb.com/title/tt2119532/,2016
8023,Gavin O'Connor,Bill Dubuque,Ben Affleck,Anna Kendrick,J.K. Simmons,Ben Affleck,Anna Kendrick,J.K. Simmons,Jon Bernthal,Jeffrey Tambor,"$44,000,000",R,Gavin O'Connor,"Action, Crime, Drama, Thriller","$155,160,045",7.4,51.0,203012,,0,0,5,3,2016-10-10,128.0,The Accountant,http://www.imdb.com/title/tt2140479/,2016
8024,Clint Eastwood,Todd Komarnicki,Chesley Sullenberger,Tom Hanks,Aaron Eckhart,Laura Linney,Tom Hanks,Aaron Eckhart,Valerie Mahaffey,Delphi Harrington,"$60,000,000",PG-13,Clint Eastwood,"Biography, Drama","$238,552,082",7.5,74.0,169602,,1,0,33,12,2016-09-02,96.0,Sully,http://www.imdb.com/title/tt3263904/,2016
8025,Morten Tyldum,Jon Spaihts,Jennifer Lawrence,Chris Pratt,Michael Sheen,Jennifer Lawrence,Chris Pratt,Michael Sheen,Laurence Fishburne,Andy Garcia,"$110,000,000",PG-13,Morten Tyldum,"Drama, Sci-Fi, Thriller","$303,144,152",7.0,41.0,259276,,2,0,9,1,2016-12-14,116.0,Passengers,http://www.imdb.com/title/tt1355644/,2016
8026,Antoine Fuqua,Akira Kurosawa,Shinobu Hashimoto,Denzel Washington,Chris Pratt,Ethan Hawke,Denzel Washington,Chris Pratt,Ethan Hawke,Vincent D'Onofrio,"$90,000,000",PG-13,Antoine Fuqua,"Action, Adventure, Western","$162,526,238",6.9,54.0,147028,,0,0,12,5,2016-09-08,132.0,The Magnificent Seven,http://www.imdb.com/title/tt2404435/,2016
8027,Fede Alvarez,Fede Alvarez,Rodo Sayagues,Stephen Lang,Jane Levy,Dylan Minnette,Stephen Lang,Jane Levy,Dylan Minnette,Daniel Zovatto,"$9,900,000",R,Fede Alvarez,"Crime, Horror, Thriller","$159,047,649",7.1,71.0,150774,,0,0,21,7,2016-03-12,88.0,Don't Breathe,http://www.imdb.com/title/tt4160708/,2016
8028,David Mackenzie,Taylor Sheridan,Chris Pine,Ben Foster,Jeff Bridges,Dale Dickey,Ben Foster,Chris Pine,William Sterchi,Buck Taylor,"$12,000,000",R,David Mackenzie,"Crime, Drama, Thriller, Western","$26,749,794,",7.6,88.0,143770,,4,0,157,42,2016-05-16,102.0,Hell or High Water,http://www.imdb.com/title/tt2582782/,2016
8029,Terry George,Terry George,Robin Swicord,Oscar Isaac,Charlotte Le Bon,Christian Bale,Oscar Isaac,Charlotte Le Bon,Christian Bale,Daniel Giménez Cacho,"$90,000,000",PG-13,Terry George,"Drama, History",,6.0,49.0,159252,,0,0,3,2,2016-09-11,133.0,The Promise,http://www.imdb.com/title/tt4776998/,2016
8030,Todd Phillips,Stephen Chin,Todd Phillips,Jonah Hill,Miles Teller,Steve Lantz,Miles Teller,Steve Lantz,Gregg Weiner,David Packouz,"$40,000,000",R,Todd Phillips,"Comedy, Crime, Drama, War","$43,017,433,",7.1,57.0,131316,,0,0,2,0,2016-08-03,114.0,War Dogs,http://www.imdb.com/title/tt2005151/,2016
8032,Tom Ford,Tom Ford,Austin Wright,Amy Adams,Jake Gyllenhaal,Michael Shannon,Amy Adams,Jake Gyllenhaal,Michael Shannon,Aaron Taylor-Johnson,"$22,500,000",R,Tom Ford,"Crime, Drama, Romance, Thriller","$28,450,387",7.5,67.0,167601,,1,0,132,16,2016-09-02,116.0,Nocturnal Animals,http://www.imdb.com/title/tt4550098/,2016
8033,Tim Burton,Ransom Riggs,Jane Goldman,Eva Green,Asa Butterfield,Samuel L. Jackson,Eva Green,Asa Butterfield,Samuel L. Jackson,Judi Dench,"$110,000,000",PG-13,Tim Burton,"Adventure, Drama, Family, Fantasy","$296,477,016",6.7,57.0,123487,,0,0,12,2,2016-09-25,127.0,Miss Peregrine's Home for Peculiar Children,http://www.imdb.com/title/tt1935859/,2016
8034,Matt Ross,Matt Ross,Viggo Mortensen,George MacKay,Samantha Isler,Viggo Mortensen,George MacKay,Samantha Isler,Annalise Basso,Nicholas Hamilton,,R,Matt Ross,"Comedy, Drama","$2,997,061,",7.9,72.0,131362,,1,0,42,14,2016-01-23,118.0,Captain Fantastic,http://www.imdb.com/title/tt3553976/,2016
8035,Ron Howard,Dan Brown,David Koepp,Tom Hanks,Felicity Jones,Irrfan Khan,Tom Hanks,Felicity Jones,Omar Sy,Irrfan Khan,"$75,000,000",PG-13,Ron Howard,"Action, Adventure, Crime, Drama, Mystery, Thriller","$220,021,259",6.2,42.0,118192,,0,0,1,1,2016-10-08,121.0,Inferno,http://www.imdb.com/title/tt3062096/,2016
8036,Tate Taylor,Erin Cressida Wilson,Paula Hawkins,Emily Blunt,Haley Bennett,Rebecca Ferguson,Emily Blunt,Haley Bennett,Rebecca Ferguson,Justin Theroux,"$45,000,000",R,Tate Taylor,"Crime, Drama, Mystery, Thriller","$173,185,859",6.5,48.0,125701,,0,0,10,4,2016-09-20,112.0,The Girl on the Train,http://www.imdb.com/title/tt3631112/,2016
8037,Barry Jenkins,Barry Jenkins,Tarell Alvin McCraney,Mahershala Ali,Naomie Harris,Trevante Rhodes,Mahershala Ali,Shariff Earp,Duan Sanderson,Alex R. Hibbert,"$4,000,000",R,Barry Jenkins,Drama,"$55,561,162,",7.5,99.0,178601,,0,3,260,213,2016-09-02,111.0,Moonlight,http://www.imdb.com/title/tt4975722/,2016
8038,Alper Caglar,Alper Caglar,Ozan Agaç,Bedii Akin,Murat Arkin,Ozan Agaç,Bedii Akin,Murat Arkin,Eylül Arular,Ufuk Bayraktar,"TRL 2,000,000",NR,Alper Caglar,"Drama, War",,9.6,,93871,,0,0,0,0,2016-11-04,135.0,Dag II,http://www.imdb.com/title/tt5813916/,2016
8039,Peter Berg,Matthew Michael Carnahan,Matthew Sand,Mark Wahlberg,Kurt Russell,Douglas M. Griffin,Mark Wahlberg,Kurt Russell,Douglas M. Griffin,James DuMont,"$110,000,000",PG-13,Peter Berg,"Action, Drama, Thriller","$118,188,581,",7.2,68.0,113570,,2,0,13,3,2016-09-13,107.0,Deepwater Horizon,http://www.imdb.com/title/tt1860357/,2016
8040,Ron Clements,John Musker,Jared Bush,Ron Clements,Auli'i Cravalho,Dwayne Johnson,Rachel House,Auli'i Cravalho,Dwayne Johnson,Rachel House,"$150,000,000",PG,"Don Hall, Ron Clements, John Musker, Chris Williams","Animation, Adventure, Comedy, Family, Fantasy, Musical","$643,031,115",7.6,81.0,175555,,2,0,82,18,2016-11-14,107.0,Moana,http://www.imdb.com/title/tt3521164/,2016
8041,Oliver Stone,Kieran Fitzgerald,Oliver Stone,Joseph Gordon-Levitt,Shailene Woodley,Melissa Leo,Melissa Leo,Zachary Quinto,Joseph Gordon-Levitt,Jaymes Butler,"$40,000,000",R,Oliver Stone,"Biography, Drama, Thriller","$37,357,216",7.3,58.0,99508,,0,0,7,3,2016-07-21,134.0,Snowden,http://www.imdb.com/title/tt3774114/,2016
8042,M. Night Shyamalan,M. Night Shyamalan,James McAvoy,Anya Taylor-Joy,Haley Lu Richardson,James McAvoy,Anya Taylor-Joy,Betty Buckley,Haley Lu Richardson,Jessica Sula,"$9,000,000",PG-13,M. Night Shyamalan,"Horror, Thriller","$278,454,358",7.3,62.0,245087,,0,0,18,5,2016-09-26,117.0,Split,http://www.imdb.com/title/tt4972582/,2016
8043,Edward Zwick,Richard Wenk,Edward Zwick,Tom Cruise,Cobie Smulders,Aldis Hodge,Tom Cruise,Cobie Smulders,Aldis Hodge,Danika Yarosh,"$60,000,000",PG-13,Edward Zwick,"Action, Adventure, Crime, Mystery, Thriller","$162,146,076",6.1,47.0,98524,,0,0,0,1,2016-10-19,118.0,Jack Reacher: Never Go Back,http://www.imdb.com/title/tt3393786/,2016
8044,Justin Kurzel,Michael Lesslie,Adam Cooper,Michael Fassbender,Marion Cotillard,Jeremy Irons,Michael Fassbender,Marion Cotillard,Jeremy Irons,Brendan Gleeson,"$125,000,000",PG-13,Justin Kurzel,"Action, Adventure, Fantasy, Sci-Fi","$240,697,856",5.8,36.0,145880,,0,0,1,2,2016-12-13,115.0,Assassin's Creed,http://www.imdb.com/title/tt2094766/,2016
8045,Travis Knight,Marc Haimes,Chris Butler,Charlize Theron,Art Parkinson,Matthew McConaughey,Art Parkinson,Charlize Theron,Ralph Fiennes,Brenda Vaccaro,"$60,000,000",PG,Travis Knight,"Animation, Adventure, Family, Fantasy","$76,257,813",7.8,84.0,88111,,2,0,58,31,2016-08-13,101.0,Kubo and the Two Strings,http://www.imdb.com/title/tt4302938/,2016
8046,Chad Stahelski,Derek Kolstad,Derek Kolstad,Keanu Reeves,Riccardo Scamarcio,Ian McShane,Keanu Reeves,Riccardo Scamarcio,Ian McShane,Ruby Rose,"$40,000,000",R,Chad Stahelski,"Action, Crime, Thriller","$158,216,655,",7.5,75.0,211211,,0,0,4,2,2017-01-30,122.0,John Wick: Chapter 2,http://www.imdb.com/title/tt4425200/,2017
8047,Garth Davis,Saroo Brierley,Luke Davies,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,Abhishek Bharate,Priyanka Bose,Khushi Solanki,"$12,000,000",PG-13,Garth Davis,"Biography, Drama","$123,723,779,",8.1,69.0,149320,,6,0,80,49,2016-09-10,118.0,Lion,http://www.imdb.com/title/tt3741834/,2016
8048,Dan Kwan,Daniel Scheinert,Daniel Scheinert,Dan Kwan,Paul Dano,Daniel Radcliffe,Mary Elizabeth Winstead,Paul Dano,Daniel Radcliffe,Mary Elizabeth Winstead,"$3,000,000",R,"Dan Kwan, Daniel Scheinert","Adventure, Comedy, Drama, Fantasy, Romance","$4,121,261,",7.0,64.0,75265,,0,0,28,6,2016-01-22,97.0,Swiss Army Man,http://www.imdb.com/title/tt4034354/,2016
8049,Robert Zemeckis,Steven Knight,Brad Pitt,Marion Cotillard,Jared Harris,Brad Pitt,Vincent Ebrahim,Xavier de Guillebon,Marion Cotillard,Camille Cottin,"$85,000,000",R,Robert Zemeckis,"Action, Drama, Romance, Thriller, War","$109,098,064",7.1,60.0,104590,,1,0,10,0,2016-11-13,124.0,Allied,http://www.imdb.com/title/tt3640424/,2016
8050,Theodore Melfi,Allison Schroeder,Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,"$25,000,000",PG,Theodore Melfi,"Biography, Drama, History","$234,874,979",7.8,74.0,137720,,3,0,81,36,2016-12-25,127.0,Hidden Figures,http://www.imdb.com/title/tt4846340/,2016
8051,Sang-ho Yeon,Joo-Suk Park,Sang-ho Yeon,Yoo Gong,Yu-mi Jung,Dong-seok Ma,Yoo Gong,Yu-mi Jung,Dong-seok Ma,Su-an Kim,"KRW 10,000,000,000",TV-MA,Sang-ho Yeon,"Action, Drama, Horror, Thriller","$81,036,076",7.5,72.0,81341,,0,0,36,30,2016-05-13,118.0,Busanhaeng,http://www.imdb.com/title/tt5700672/,2016
8052,Taika Waititi,Taika Waititi,Barry Crump,Sam Neill,Julian Dennison,Rima Te Wiata,Sam Neill,Julian Dennison,Rima Te Wiata,Rachel House,,PG-13,Taika Waititi,"Adventure, Comedy, Drama","$3,133,732,",7.9,81.0,68193,"NZD 1,263,035 (New Zealand),",0,0,25,20,2016-01-22,101.0,Hunt for the Wilderpeople,http://www.imdb.com/title/tt4698684/,2016
8053,Dennis Gansel,Lewis John Carlino,Philip Shelby,Jason Statham,Jessica Alba,Tommy Lee Jones,Jason Statham,Jessica Alba,Tommy Lee Jones,Michelle Yeoh,"$40,000,000",R,Dennis Gansel,"Action, Adventure, Crime, Thriller","$110,312,958,",5.7,38.0,57129,,0,0,1,0,2016-08-22,98.0,Mechanic: Resurrection,http://www.imdb.com/title/tt3522806/,2016
8054,Woody Allen,Woody Allen,Jesse Eisenberg,Kristen Stewart,Steve Carell,Steve Carell,Sheryl Lee,Todd Weeks,Paul Schackman,Jodi Carlisle,"$30,000,000",PG-13,Woody Allen,"Comedy, Drama, Romance","$34,314,223,",6.6,64.0,53906,,0,0,6,0,2016-05-11,96.0,Caf� Society,http://www.imdb.com/title/tt4513674/,2016
8055,Brad Furman,Ellen Sue Brown,Robert Mazur,Bryan Cranston,John Leguizamo,Diane Kruger,Bryan Cranston,Leanne Best,Daniel Mays,Tom Vaughan-Lawlor,"$28,000,000",R,Brad Furman,"Biography, Crime, Drama, Thriller","$14,805,854,",7.0,66.0,53640,,0,0,0,0,2016-07-06,127.0,The Infiltrator,http://www.imdb.com/title/tt1355631/,2016
8056,Sharon Maguire,Helen Fielding,Dan Mazer,Renée Zellweger,Gemma Jones,Jim Broadbent,Renée Zellweger,Gemma Jones,Jim Broadbent,Sally Phillips,"$35,000,000",R,Sharon Maguire,"Comedy, Romance","$211,952,420",6.6,59.0,51220,,0,0,3,2,2016-09-05,118.0,Bridget Jones's Baby,http://www.imdb.com/title/tt1473832/,2016
8057,Nitesh Tiwari,Piyush Gupta,Shreyas Jain,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,"INR 700,000,000",NOT RATED,Nitesh Tiwari,"Action, Biography, Drama, Sport","$310,000,000,",8.6,,81926,"INR 1,497,300,000 (India),",0,0,0,15,2016-12-21,161.0,Dangal,http://www.imdb.com/title/tt5074352/,2016
8058,James Mangold,James Mangold,Scott Frank,Hugh Jackman,Patrick Stewart,Dafne Keen,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,"$97,000,000",R,James Mangold,"Action, Drama, Sci-Fi, Thriller","$616,225,934",8.1,77.0,439746,,1,0,54,14,2017-02-17,137.0,Logan,http://www.imdb.com/title/tt3315342/,2017
8059,Jean-François Richet,Peter Craig,Andrea Berloff,Mel Gibson,Erin Moriarty,Diego Luna,Mel Gibson,Erin Moriarty,Diego Luna,Michael Parks,"$13,000,000",R,Jean-Fran�ois Richet,"Action, Crime, Drama, Thriller",,6.4,66.0,46223,,0,0,0,0,2016-05-21,88.0,Blood Father,http://www.imdb.com/title/tt3647498/,2016
8060,Kelly Fremon Craig,Kelly Fremon Craig,Hailee Steinfeld,Haley Lu Richardson,Blake Jenner,Hailee Steinfeld,Haley Lu Richardson,Blake Jenner,Kyra Sedgwick,Woody Harrelson,"$9,000,000",R,Kelly Fremon Craig,"Comedy, Drama","$14,260,193,",7.4,77.0,66572,,0,0,25,6,2016-09-16,104.0,The Edge of Seventeen,http://www.imdb.com/title/tt1878870/,2016
8061,David Lowery,David Lowery,Toby Halbrooks,Bryce Dallas Howard,Robert Redford,Oakes Fegley,Bryce Dallas Howard,Robert Redford,Oakes Fegley,Oona Laurence,"$65,000,000",PG,David Lowery,"Action, Adventure, Comedy, Family, Fantasy","$142,313,848,",6.7,71.0,43325,,0,0,5,2,2016-07-31,102.0,Pete's Dragon,http://www.imdb.com/title/tt2788732/,2016
8062,Denzel Washington,August Wilson,August Wilson,Denzel Washington,Viola Davis,Stephen Henderson,Denzel Washington,Viola Davis,Stephen Henderson,Jovan Adepo,"$24,000,000",PG-13,Denzel Washington,Drama,"$64,098,857,",7.2,79.0,69884,,0,1,104,51,2016-12-06,139.0,Fences,http://www.imdb.com/title/tt2671706/,2016
8063,Nicholas Stoller,Doug Sweetland,Nicholas Stoller,Andy Samberg,Katie Crown,Kelsey Grammer,Andy Samberg,Katie Crown,Kelsey Grammer,Jennifer Aniston,"$70,000,000",PG,"Nicholas Stoller, Doug Sweetland","Animation, Adventure, Comedy, Family, Fantasy","$182,379,278",6.8,56.0,43630,,0,0,3,3,2016-09-22,87.0,Storks,http://www.imdb.com/title/tt4624424/,2016
8064,Chris McKay,Seth Grahame-Smith,Chris McKenna,Will Arnett,Michael Cera,Rosario Dawson,Will Arnett,Michael Cera,Rosario Dawson,Ralph Fiennes,"$80,000,000",PG,Chris McKay,"Animation, Action, Adventure, Comedy, Family, Fantasy","$310,850,384",7.3,75.0,92496,,0,0,57,11,2017-02-01,104.0,The LEGO Batman Movie,http://www.imdb.com/title/tt4116284/,2017
8065,Pablo Larraín,Noah Oppenheim,Natalie Portman,Peter Sarsgaard,Greta Gerwig,Natalie Portman,Peter Sarsgaard,Greta Gerwig,Billy Crudup,John Hurt,"$9,000,000",R,Pablo Larra�n,"Biography, Drama, History","$11,692,444,",6.7,81.0,55971,,3,0,154,40,2016-09-07,100.0,Jackie,http://www.imdb.com/title/tt1619029/,2016
8066,Mike Mitchell,Walt Dohrn,Jonathan Aibel,Glenn Berger,Anna Kendrick,Justin Timberlake,Zooey Deschanel,Anna Kendrick,Justin Timberlake,Zooey Deschanel,"$125,000,000",PG,"Mike Mitchell, Walt Dohrn","Animation, Adventure, Comedy, Family, Fantasy, Musical","$346,864,462",6.5,56.0,53824,,1,0,33,4,2016-10-08,92.0,Trolls,http://www.imdb.com/title/tt1679335/,2016
8067,Stephen Frears,Nicholas Martin,Meryl Streep,Hugh Grant,Simon Helberg,Meryl Streep,Hugh Grant,Simon Helberg,Rebecca Ferguson,Nina Arianda,"$29,000,000",PG-13,Stephen Frears,"Biography, Comedy, Drama, Music","$2,080,000,",6.9,71.0,38179,,2,0,39,8,2016-04-23,111.0,Florence Foster Jenkins,http://www.imdb.com/title/tt4136084/,2016
8068,J.A. Bayona,Patrick Ness,Patrick Ness,Lewis MacDougall,Sigourney Weaver,Felicity Jones,Lewis MacDougall,Sigourney Weaver,Felicity Jones,Toby Kebbell,"$43,000,000",PG-13,J.A. Bayona,"Animation, Drama, Fantasy","$40,919,166",7.5,76.0,57005,,0,0,51,38,2016-09-09,108.0,A Monster Calls,http://www.imdb.com/title/tt3416532/,2016
8069,Gary Ross,Gary Ross,Leonard Hartman,Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali,Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali,Keri Russell,"$50,000,000",R,Gary Ross,"Action, Biography, Drama, History, War","$20,758,378,",6.9,53.0,36965,,0,0,4,3,2016-06-24,139.0,Free State of Jones,http://www.imdb.com/title/tt1124037/,2016
8070,Martin Scorsese,Jay Cocks,Martin Scorsese,Andrew Garfield,Adam Driver,Liam Neeson,Andrew Garfield,Adam Driver,Liam Neeson,Tadanobu Asano,"$46,000,000",R,Martin Scorsese,"Adventure, Drama, History","$23,737,523,",7.2,79.0,70065,,1,0,47,6,2016-11-29,161.0,Silence,http://www.imdb.com/title/tt0490215/,2016
8071,Paul Verhoeven,Philippe Djian,David Birke,Isabelle Huppert,Laurent Lafitte,Anne Consigny,Isabelle Huppert,Laurent Lafitte,Anne Consigny,Charles Berling,"€9,000,000",R,Paul Verhoeven,"Crime, Drama, Thriller","$1,389,814,",7.2,89.0,45580,,1,0,75,64,2016-05-21,130.0,Elle,http://www.imdb.com/title/tt3716530/,2016
