,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre:  Action,Genre: Crime,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: UNRATED,Content Rating: M/PG,Content Rating: NOT RATED,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
1555,Nelson McCormick,J.S. Cardone,Brittany Snow,Scott Porter,Jessica Stroup,Brittany Snow,Scott Porter,Jessica Stroup,Dana Davis,Collins Pennie,,Nelson McCormick,57197876.0,3.9,17.0,29825,,0,0,3,1,2008-04-10,88.0,Prom Night,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,65532590.7117821,,
1556,George Clooney,Duncan Brantley,Rick Reilly,George Clooney,Renée Zellweger,John Krasinski,John Krasinski,David de Vries,Rick Forrester,Craig S. Harper,,George Clooney,31199215.0,6.0,56.0,28995,,0,0,3,1,2008-03-24,114.0,Leatherheads,2008-01-01,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,35745477.45660857,,
1557,Woody Allen,Woody Allen,Mickey Rose,Woody Allen,Louise Lasser,Carlos Montalbán,Woody Allen,Louise Lasser,Carlos Montalbán,Nati Abascal,,Woody Allen,,7.1,67.0,30184,,0,0,2,0,1971-04-28,82.0,Bananas,1971-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1970,,,,,
1558,Dito Montiel,Robert Munic,Dito Montiel,Channing Tatum,Terrence Howard,Luis Guzmán,Channing Tatum,Terrence Howard,Zulay Henao,Michael Rivera,,Dito Montiel,23036320.0,5.6,61.0,29361,,0,0,1,0,2009-04-24,105.0,Fighting,2009-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,26486554.851051334,,
1559,Woody Allen,Woody Allen,Woody Allen,Diane Keaton,Georges Adet,Woody Allen,Diane Keaton,Georges Adet,Frank Adu,Edmond Ardisson,,Woody Allen,20123742.0,7.8,89.0,30701,,0,0,1,1,1975-06-10,85.0,Love and Death,1975-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1970,,,92237286.74680476,,
1560,Marcos Siega,Daniel Taplitz,Ryan Reynolds,Emily Mortimer,Stuart Townsend,Ryan Reynolds,Emily Mortimer,Stuart Townsend,Sarah Chalke,Mike Erwin,,Marcos Siega,237958.0,6.7,44.0,29372,,0,0,0,0,2008-04-11,87.0,Chaos Theory,2008-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,272632.5750381753,,
1561,Stuart Rosenberg,Sandor Stern,Jay Anson,James Brolin,Margot Kidder,Rod Steiger,James Brolin,Margot Kidder,Rod Steiger,Don Stroud,,Stuart Rosenberg,86432520.0,6.2,32.0,30223,,1,0,7,0,1979-07-27,117.0,The Amityville Horror,1979-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1970,,,293768147.10134345,,
1562,Jim Fall,Susan Estelle Jansen,Ed Decter,Hilary Duff,Adam Lamberg,Clayton Snyder,Hilary Duff,Adam Lamberg,Hallie Todd,Robert Carradine,,Jim Fall,11273034.0,5.4,56.0,30695,,0,0,3,2,2003-04-26,94.0,The Lizzie McGuire Movie,2003-01-01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,15115966.609738793,,
1563,Bilal Lashari,Hassan Rana,Shaan Shahid,Hamza Abbasi,Shamoon Abbasi,Shaan Shahid,Hamza Abbasi,Shamoon Abbasi,Ayesha Khan,Meesha Shafi,,Bilal Lashari,,8.2,nan,28490,,0,0,0,10,2013-10-16,130.0,Waar,2013-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,,,,,
1564,Andrzej Bartkowiak,Ed Horowitz,Richard D'Ovidio,Steven Seagal,DMX,Isaiah Washington,Steven Seagal,DMX,Isaiah Washington,Anthony Anderson,,Andrzej Bartkowiak,79958599.0,5.5,39.0,29060,,0,0,3,0,2001-03-13,101.0,Exit Wounds,2001-01-01,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,111389162.19701447,,
