,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: War,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre: Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: UNRATED,Content Rating: APPROVED,Content Rating: M/PG,Content Rating: NOT RATED,Content Rating: R
0,Joe Dante,Gary Brandner,John Sayles,Dee Wallace,Patrick Macnee,Dennis Dugan,Dee Wallace,Patrick Macnee,Dennis Dugan,Christopher Stone,1000000.0,Joe Dante,17986000.0,6.6,nan,25290,,0,0,2,2,1981-01-21,91.0,The Howling,1981-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Woody Allen,Woody Allen,Mickey Rose,Woody Allen,Janet Margolin,Marcel Hillaire,Woody Allen,Janet Margolin,Marcel Hillaire,Jacquelyn Hyde,1500000.0,Woody Allen,,7.3,67.0,24735,,0,0,3,0,1969-08-18,85.0,Take the Money and Run,1969-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Pedro Almodóvar,Pedro Almodóvar,Jorge Guerricaechevarría,Liberto Rabal,Francesca Neri,Javier Bardem,Javier Bardem,Francesca Neri,Liberto Rabal,Ángela Molina,,Pedro Almod�var,1535558.0,7.4,69.0,24614,,0,0,13,11,1997-10-10,103.0,Carne tr�mula,1997-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Steve Shill,David Loughery,Beyoncé,Idris Elba,Ali Larter,Idris Elba,Beyoncé,Ali Larter,Jerry O'Connell,Bonnie Perlman,20000000.0,Steve Shill,73830340.0,4.9,25.0,25011,,0,0,8,4,2009-04-23,108.0,Obsessed,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,J. Lee Thompson,Pierre Boulle,Paul Dehn,Roddy McDowall,Claude Akins,Natalie Trundy,Roddy McDowall,Claude Akins,Natalie Trundy,Severn Darden,1800000.0,J. Lee Thompson,8800000.0,5.5,40.0,25270,,0,0,1,0,1973-06-15,93.0,Battle for the Planet of the Apes,1973-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Álex de la Iglesia,Álex de la Iglesia,Jorge Guerricaechevarría,Elijah Wood,John Hurt,Leonor Watling,Elijah Wood,John Hurt,Leonor Watling,Julie Cox,,�lex de la Iglesia,,6.1,nan,24608,,0,0,5,6,2008-01-17,104.0,The Oxford Murders,2008-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Brett Ratner,Joel Cohen,Alec Sokolow,Charlie Sheen,Chris Tucker,Heather Locklear,Chris Tucker,Charlie Sheen,Heather Locklear,Elise Neal,25000000.0,Brett Ratner,41067398.0,6.2,nan,24148,,0,0,1,0,1997-08-22,97.0,Money Talks,1997-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Michael Apted,Mark Handley,William Nicholson,Jodie Foster,Liam Neeson,Natasha Richardson,Jodie Foster,Liam Neeson,Natasha Richardson,Richard Libertini,31000000.0,Michael Apted,106683817.0,6.5,nan,24321,,1,0,5,5,1994-12-14,112.0,Nell,1994-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Emilio Estevez,Emilio Estevez,Jack Hitt,Martin Sheen,Emilio Estevez,Deborah Kara Unger,Martin Sheen,Emilio Estevez,Deborah Kara Unger,Yorick van Wageningen,,Emilio Estevez,9158000.0,7.4,64.0,25667,193552.0,0,0,8,1,2010-09-10,123.0,The Way,2010-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Brian Levant,Steven Gary Banks,Claudia Grazioso,Ice Cube,Nia Long,Aleisha Allen,Ice Cube,Nia Long,Aleisha Allen,Philip Bolden,32000000.0,Brian Levant,97918663.0,4.6,27.0,24939,,0,0,8,1,2005-01-21,95.0,Are We There Yet?,2005-01-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Christopher Guest,Christopher Guest,Eugene Levy,Christopher Guest,Fred Willard,Catherine O'Hara,Deborah Theaker,Michael Hitchcock,Scott Williamson,Larry Miller,4000000.0,Christopher Guest,2923982.0,7.6,71.0,23822,,0,0,3,2,1996-08-21,84.0,Waiting for Guffman,1996-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Nicole Kassell,Gren Wells,Kate Hudson,Gael García Bernal,Kathy Bates,Kate Hudson,Gael García Bernal,Kathy Bates,Lucy Punch,Romany Malco,,Nicole Kassell,10011.0,6.3,14.0,25137,,0,0,0,0,2011-02-04,106.0,A Little Bit of Heaven,2011-01-01,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Peter Medak,Dennis Feldman,Chris Brancato,Natasha Henstridge,Michael Madsen,Marg Helgenberger,Michael Madsen,Natasha Henstridge,Marg Helgenberger,Mykelti Williamson,,Peter Medak,7600000.0,4.3,19.0,24226,,0,0,0,0,1998-04-10,93.0,Species II,1998-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,Sean McNamara,Mitch Rotter,Sam Schreiber,Hilary Duff,John Corbett,Rebecca De Mornay,Hilary Duff,Oliver James,David Keith,Dana Davis,15000000.0,Sean McNamara,10411980.0,5.9,33.0,24253,,0,0,3,2,2004-10-03,103.0,Raise Your Voice,2004-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,Brian Robbins,Daniel Coyle,John Gatins,Keanu Reeves,Diane Lane,John Hawkes,Keanu Reeves,Diane Lane,John Hawkes,Bryan Hearne,32000000.0,Brian Robbins,40219708.0,6.4,48.0,24194,,0,0,2,0,2001-09-10,106.0,Hard Ball,2001-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Garry Marshall,Terrence McNally,Terrence McNally,Al Pacino,Michelle Pfeiffer,Hector Elizondo,Al Pacino,Michelle Pfeiffer,Hector Elizondo,Nathan Lane,29000000.0,Garry Marshall,22773535.0,6.7,66.0,24735,,0,0,1,4,1991-10-11,118.0,Frankie and Johnny,1991-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,Mel Gibson,Isabelle Holland,Malcolm MacRury,Mel Gibson,Nick Stahl,Margaret Whitton,Mel Gibson,Nick Stahl,Margaret Whitton,Fay Masterson,,Mel Gibson,24760338.0,6.7,62.0,24638,,0,0,3,0,1993-08-25,115.0,The Man Without a Face,1993-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Jessica Bendinger,Jessica Bendinger,Missy Peregrym,Jeff Bridges,Vanessa Lengies,Jeff Bridges,Missy Peregrym,Vanessa Lengies,Nikki SooHoo,Maddy Curley,,Jessica Bendinger,26870825.0,6.4,53.0,24143,,0,0,0,0,2006-04-21,103.0,Stick It,2006-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,Paul Weitz,Paul Weitz,Hugh Grant,Dennis Quaid,Mandy Moore,Hugh Grant,Dennis Quaid,Mandy Moore,Willem Dafoe,Chris Klein,17000000.0,Paul Weitz,14560987.0,5.5,45.0,23286,,0,0,1,0,2006-03-04,107.0,American Dreamz,2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,Peter O'Fallon,Josh McKinney,Gina Goldman,Christopher Walken,Denis Leary,Sean Patrick Flanery,Mark Watson,Christopher Walken,Denis Leary,Nina Siemaszko,5000000.0,Peter O'Fallon,1692872.0,7.0,43.0,23671,,0,0,0,0,1997-09-06,106.0,Suicide Kings,1997-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Eric Heisserer,Eric Heisserer,Paul Walker,Genesis Rodriguez,Nancy Nave,Paul Walker,Genesis Rodriguez,Nancy Nave,Shane Jacobsen,Natalia Safran,4000000.0,Eric Heisserer,,6.5,55.0,24734,,0,0,1,0,2013-03-10,97.0,Hours,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,Cameron Crowe,Cameron Crowe,Bridget Fonda,Campbell Scott,Kyra Sedgwick,Bridget Fonda,Campbell Scott,Kyra Sedgwick,Sheila Kelley,Jim True-Frost,,Cameron Crowe,18472850.0,6.7,nan,24450,,0,0,3,1,1992-09-18,99.0,Singles,1992-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,Martin Campbell,Caspian Tredwell-Owen,Clive Owen,Angelina Jolie,Linus Roache,Angelina Jolie,Clive Owen,Teri Polo,Linus Roache,Noah Emmerich,35000000.0,Martin Campbell,4426297.0,6.5,32.0,24084,,0,0,2,0,2003-10-24,127.0,Beyond Borders,2003-01-01,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Boris Sagal,John William Corrington,Joyce Hooper Corrington,Charlton Heston,Anthony Zerbe,Rosalind Cash,Charlton Heston,Anthony Zerbe,Rosalind Cash,Paul Koslo,,Boris Sagal,8720000.0,6.6,nan,25018,,0,0,1,0,1971-08-01,98.0,The Omega Man,1971-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Ridley Scott,Rose Bosch,Gérard Depardieu,Armand Assante,Sigourney Weaver,Gérard Depardieu,Armand Assante,Sigourney Weaver,Loren Dean,Ángela Molina,47000000.0,Ridley Scott,7191399.0,6.5,47.0,24572,,0,0,1,0,1992-10-08,154.0,1492: Conquest of Paradise,1992-01-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,Danny Steinmann,Martin Kitrosser,David Cohen,Melanie Kinnaman,John Shepherd,Anthony Barrile,Anthony Barrile,Suzanne Bateman,Dominick Brascia,Todd Bryant,2200000.0,Danny Steinmann,21930418.0,4.8,nan,25964,,0,0,2,0,1985-03-22,92.0,Friday the 13th: A New Beginning,1985-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,Howard Hawks,Charles Lederer,Joseph Fields,Jane Russell,Marilyn Monroe,Charles Coburn,Jane Russell,Marilyn Monroe,Charles Coburn,Elliott Reid,2260000.0,Howard Hawks,12000000.0,7.2,nan,25771,,0,0,1,0,1953-07-01,91.0,Gentlemen Prefer Blondes,1953-01-01,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,Sarah Polley,Sarah Polley,Michelle Williams,Seth Rogen,Sarah Silverman,Michelle Williams,Seth Rogen,Luke Kirby,Sarah Silverman,Jennifer Podemski,,Sarah Polley,1237514.0,6.6,68.0,24481,,0,0,18,3,2011-09-10,116.0,Take This Waltz,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,John Guillermin,James Ashmore Creelman,Ruth Rose,Jeff Bridges,Charles Grodin,Jessica Lange,Jeff Bridges,Charles Grodin,Jessica Lange,John Randolph,24000000.0,John Guillermin,90614445.0,5.8,nan,25546,,2,0,1,5,1976-09-08,134.0,King Kong,1976-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,Don Coscarelli,Don Coscarelli,A. Michael Baldwin,Bill Thornbury,Reggie Bannister,A. Michael Baldwin,Bill Thornbury,Reggie Bannister,Kathy Lester,Terrie Kalbus,300000.0,Don Coscarelli,11988469.0,6.8,72.0,25991,,0,0,1,2,1979-01-01,88.0,Phantasm,1979-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,Dwight H. Little,Alan B. McElroy,Jon Foo,Kelly Overton,Cary-Hiroyuki Tagawa,Jon Foo,Kelly Overton,Cary-Hiroyuki Tagawa,Ian Anthony Dale,Cung Le,30000000.0,Dwight H. Little,,4.8,nan,23799,,0,0,0,0,2010-03-20,87.0,Tekken,2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,Penny Marshall,Beverly D'Onofrio,Morgan Ward,Drew Barrymore,Steve Zahn,Adam Garcia,Drew Barrymore,Steve Zahn,Adam Garcia,Brittany Murphy,48000000.0,Penny Marshall,35743308.0,6.5,43.0,24175,,0,0,2,2,2001-10-19,132.0,Riding in Cars with Boys,2001-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,John Madden,Ol Parker,Ol Parker,Judi Dench,Maggie Smith,Bill Nighy,Dev Patel,Maggie Smith,Danny Mahoney,David Strathairn,10000000.0,John Madden,90384306.0,6.6,51.0,26572,,0,0,2,0,2015-02-26,122.0,The Second Best Exotic Marigold Hotel,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,Nick Hamm,Mark Bomback,Robert De Niro,Greg Kinnear,Rebecca Romijn,Greg Kinnear,Rebecca Romijn,Robert De Niro,Cameron Bright,Merwin Mondesir,25000000.0,Nick Hamm,14379751.0,4.8,24.0,23293,,0,0,0,0,2004-04-30,102.0,Godsend,2004-01-01,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,Shûsuke Kaneko,Tsugumi Ôba,Takeshi Obata,Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto,Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto,Shigeki Hosokawa,20000000.0,Sh�suke Kaneko,,7.8,nan,25363,,0,0,2,4,2006-06-17,126.0,Death Note,2006-01-01,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,Christopher Guest,Christopher Guest,Eugene Levy,Christopher Guest,Eugene Levy,Michael McKean,Jim Moret,Stuart Luce,Mary Gross,Marty Belafsky,,Christopher Guest,17508936.0,7.3,81.0,23447,,1,0,27,14,2003-03-12,91.0,A Mighty Wind,2003-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,Harry Hook,William Golding,Jay Presson Allen,Balthazar Getty,Chris Furrh,Danuel Pipoly,Balthazar Getty,Chris Furrh,Danuel Pipoly,James Badge Dale,,Harry Hook,13985225.0,6.4,nan,24387,,0,0,3,0,1990-03-16,90.0,Lord of the Flies,1990-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,Andrew Davis,Andrew Davis,Steven Seagal,Steven Seagal,Pam Grier,Henry Silva,Steven Seagal,Pam Grier,Henry Silva,Ron Dean,7500000.0,Andrew Davis,18869631.0,6.0,nan,24438,,0,0,0,0,1988-04-08,99.0,Above the Law,1988-01-01,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,Dennis Dugan,Scott Alexander,Larry Karaszewski,Michael Oliver,John Ritter,Jack Warden,John Ritter,Jack Warden,Michael Oliver,Gilbert Gottfried,10000000.0,Dennis Dugan,72270900.0,5.3,27.0,24395,,0,0,1,0,1990-07-27,81.0,Problem Child,1990-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,Michael Lehmann,Audrey Wells,Uma Thurman,Janeane Garofalo,Ben Chaplin,Uma Thurman,Janeane Garofalo,Ben Chaplin,Jamie Foxx,James McCaffrey,,Michael Lehmann,34073143.0,6.3,64.0,23252,,0,0,2,0,1996-04-26,97.0,The Truth About Cats & Dogs,1996-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,Gary Fleder,Scott Rosenberg,Andy Garcia,Christopher Walken,Christopher Lloyd,Andy Garcia,Christopher Lloyd,William Forsythe,Bill Nunn,Treat Williams,7000000.0,Gary Fleder,529766.0,6.8,46.0,23600,,0,0,0,2,1995-05-01,115.0,Things to Do in Denver When You're Dead,1995-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,Sngmoo Lee,Sngmoo Lee,Dong-gun Jang,Kate Bosworth,Geoffrey Rush,Dong-gun Jang,Kate Bosworth,Geoffrey Rush,Danny Huston,Tony Cox,45000000.0,Sngmoo Lee,11087569.0,6.3,45.0,23365,,0,0,0,0,2010-12-01,100.0,The Warrior's Way,2010-01-01,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,Sanaa Hamri,Elizabeth Chandler,Ann Brashares,America Ferrera,Alexis Bledel,Amber Tamblyn,Amber Tamblyn,Alexis Bledel,America Ferrera,Blake Lively,,Sanaa Hamri,44087387.0,6.2,63.0,24068,,0,0,1,0,2008-08-06,119.0,The Sisterhood of the Traveling Pants 2,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,Don Taylor,Mike Hodges,Harvey Bernhard,David Seltzer,William Holden,Lee Grant,Jonathan Scott-Taylor,William Holden,Lee Grant,Jonathan Scott-Taylor,6800000.0,Don Taylor Mike Hodges,26518355.0,6.3,nan,24621,,0,0,1,3,1978-06-05,107.0,Damien: Omen II,1978-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,Tom Ropelewski,Tom Ropelewski,Leslie Dixon,John Travolta,Kirstie Alley,David Gallagher,John Travolta,Kirstie Alley,David Gallagher,Tabitha Lupien,,Tom Ropelewski,10340263.0,4.2,nan,24181,,0,0,4,1,1993-11-05,96.0,Look Who's Talking Now,1993-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,Marc Rothemund,Fred Breinersdorfer,Julia Jentsch,Fabian Hinrichs,Alexander Held,Julia Jentsch,Alexander Held,Fabian Hinrichs,Johanna Gastdorf,André Hennicke,,Marc Rothemund,676167.0,7.6,76.0,23821,701656.0,1,0,12,22,2005-02-13,120.0,Sophie Scholl - Die letzten Tage,2005-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,Bill Paxton,Mark Frost,Mark Frost,Shia LaBeouf,Stephen Dillane,Elias Koteas,James Paxton,Tom Rack,Armand Laroche,Peter Hurley,26000000.0,Bill Paxton,15331289.0,7.5,55.0,24184,,0,0,3,0,2005-09-30,120.0,The Greatest Game Ever Played,2005-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,Hossein Amini,Hossein Amini,Patricia Highsmith,Viggo Mortensen,Kirsten Dunst,Oscar Isaac,Oscar Isaac,Viggo Mortensen,Kirsten Dunst,Daisy Bevan,,Hossein Amini,506067.0,6.2,66.0,25387,552137.0,0,0,3,0,2014-02-11,96.0,The Two Faces of January,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,François Ozon,Juan Mayorga,François Ozon,Fabrice Luchini,Vincent Schmitt,Ernst Umhauer,Fabrice Luchini,Ernst Umhauer,Kristin Scott Thomas,Emmanuelle Seigner,,Fran�ois Ozon,354244.0,7.4,72.0,25368,,0,0,22,9,2012-09-10,105.0,Dans la maison,2012-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,Farah Khan,Farah Khan,Abbas Tyrewala,Shah Rukh Khan,Sushmita Sen,Sunil Shetty,Shah Rukh Khan,Sushmita Sen,Sunil Shetty,Zayed Khan,,Farah Khan,1722450.0,7.0,nan,26897,2905817.610062893,0,0,34,8,2004-04-30,179.0,Main Hoon Na,2004-01-01,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,Dwight H. Little,Hans Bauer,Jim Cash,Morris Chestnut,KaDee Strickland,Eugene Byrd,Johnny Messner,KaDee Strickland,Matthew Marsden,Nicholas Gonzalez,25000000.0,Dwight H. Little,38753975.0,4.6,40.0,24303,,0,0,2,0,2004-08-25,97.0,Anacondas: The Hunt for the Blood Orchid,2004-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
