,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: War,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre: Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: UNRATED,Content Rating: APPROVED,Content Rating: M/PG,Content Rating: NOT RATED,Content Rating: R
973,Ertem Egilmez,Rifat Ilgaz,Sadik Sendil,Kemal Sunal,Münir Özkul,Semra Özdamar,Kemal Sunal,Münir Özkul,Semra Özdamar,Adile Nasit,,Ertem Egilmez,,9.0,nan,17982,,0,0,0,1,1975-01-01,91.0,Hababam Sinifi Sinifta Kaldi,1975-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
974,Gregory La Cava,Morrie Ryskind,Eric Hatch,William Powell,Carole Lombard,Alice Brady,William Powell,Carole Lombard,Alice Brady,Gail Patrick,656000.0,Gregory La Cava,,8.1,nan,17098,,6,0,0,1,1936-09-01,94.0,My Man Godfrey,1936-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
975,Steve Carr,Hank Nelken,Hank Nelken,Ice Cube,Nia Long,John C. McGinley,Ice Cube,Nia Long,John C. McGinley,Aleisha Allen,28000000.0,Steve Carr,49631958.0,4.1,36.0,17019,,0,0,3,0,2007-04-04,92.0,Are We Done Yet?,2007-01-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
976,Casey Affleck,Casey Affleck,Joaquin Phoenix,Joaquin Phoenix,Antony Langdon,Carey Perloff,Joaquin Phoenix,Antony Langdon,Carey Perloff,Larry McHale,,Casey Affleck,408719.0,6.2,48.0,17370,,0,0,3,1,2010-09-06,108.0,I'm Still Here,2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
977,Tommy O'Haver,R. Lee Fleming Jr.,Kirsten Dunst,Ben Foster,Melissa Sagemiller,Kirsten Dunst,Ben Foster,Melissa Sagemiller,Sisqó,Shane West,22000000.0,Tommy O'Haver,11560259.0,5.8,52.0,16373,,0,0,4,0,2001-03-09,87.0,Get Over It,2001-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
978,Delbert Mann,Paddy Chayefsky,Paddy Chayefsky,Ernest Borgnine,Betsy Blair,Esther Minciotti,Ernest Borgnine,Betsy Blair,Esther Minciotti,Augusta Ciolli,343000.0,Delbert Mann,,7.7,nan,17404,,0,4,5,14,1955-04-11,90.0,Marty,1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
979,Stephen J. Anderson,Don Hall,Stephen J. Anderson,Clio Chiang,Jim Cummings,Craig Ferguson,John Cleese,John Cleese,Jim Cummings,Bud Luckey,30000000.0,Stephen J. Anderson Don Hall,50145607.0,7.2,74.0,17348,,0,0,25,2,2011-04-06,63.0,Winnie the Pooh,2011-01-01,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
980,Frederik Du Chau,Adam Rifkin,Joe Piscatella,Peter Dinklage,Jason Lee,Amy Adams,Jason Lee,Peter Dinklage,Jim Belushi,Patrick Warburton,,Frederik Du Chau,43751706.0,4.8,37.0,17046,,0,0,3,0,2007-08-03,84.0,Underdog,2007-01-01,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
981,Jackie Chan,Frankie Chan,Jackie Chan,Jackie Chan,Qi Shu,Xingtong Yao,Jackie Chan,Daniel Wu,Qi Shu,Oliver Platt,,Jackie Chan,171339013.0,6.1,29.0,17894,354294.0,0,0,8,5,2012-12-12,109.0,Sap ji sang ciu,2012-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
982,Luc Besson,Luc Besson,Jacques Tardi,Louise Bourgoin,Mathieu Amalric,Gilles Lellouche,Louise Bourgoin,Mathieu Amalric,Gilles Lellouche,Jean-Paul Rouve,18562518.562518563,Luc Besson,34522487.0,6.3,nan,17340,4607170.0,0,0,1,2,2010-04-09,107.0,Les aventures extraordinaires d'Ad�le Blanc-Sec,2010-01-01,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
