,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Short,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre: Thriller,Genre:  Romance,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre: Animation,Genre:  Sci-Fi,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: History,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: TV-MA,Content Rating: X,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: NR,Content Rating: G,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
1784,Pif,Michele Astori,Pif,Cristiana Capotondi,Pif,Alex Bisconti,Cristiana Capotondi,Pif,Alex Bisconti,Ginevra Antona,,Pif,37134.0,7.2,62.0,5909,558136.105581361,0,0,20,15,2013-11-27,90.0,La mafia uccide solo d'estate,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010,,,39319.71724682045,590988.1471616481,
1785,Giulio Petroni,Luciano Vincenzoni,Lee Van Cleef,John Phillip Law,Mario Brega,Lee Van Cleef,John Phillip Law,Mario Brega,Luigi Pistilli,Anthony Dawson,,Giulio Petroni,,7.2,nan,5458,,0,0,0,0,1967-08-31,120.0,Da uomo a uomo,1967-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1960,,,,,
1786,David Schmoeller,David Schmoeller,J. Larry Carroll,Chuck Connors,Jocelyn Jones,Jon Van Ness,Chuck Connors,Jocelyn Jones,Jon Van Ness,Robin Sherwood,,David Schmoeller,,6.2,nan,5578,,0,0,0,0,1979-01-01,90.0,Tourist Trap,1979-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1970,,,,,
1787,Yi'nan Diao,Yi'nan Diao,Fan Liao,Lun-Mei Kwei,Xuebing Wang,Fan Liao,Lun-Mei Kwei,Xuebing Wang,Jingchun Wang,Ailei Yu,,Yi'nan Diao,,6.6,75.0,5590,,0,0,30,11,2014-02-12,110.0,Bai ri yan huo,2014-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2010,,,,,
1788,David Koepp,James Burke,David Koepp,Kyle MacLachlan,Elisabeth Shue,Dermot Mulroney,Kyle MacLachlan,Elisabeth Shue,Dermot Mulroney,Richard T. Jones,8000000.0,David Koepp,3594848.0,5.7,nan,5277,,0,0,0,0,1996-08-30,94.0,The Trigger Effect,1996-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,-4405152.0,12581141.217723941,5653411.293031559,,-6927729.924692381
1789,Alfred L. Werker,Edwin Blum,William Absalom Drake,Basil Rathbone,Nigel Bruce,Ida Lupino,Basil Rathbone,Nigel Bruce,Ida Lupino,Alan Marshal,,Alfred L. Werker,,7.6,nan,5260,,0,0,0,0,1939-09-01,85.0,The Adventures of Sherlock Holmes,1939-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1930,,,,,
1790,Michael Anderson,John Varley,John Varley,Kris Kristofferson,Cheryl Ladd,Daniel J. Travanti,Kris Kristofferson,Cheryl Ladd,Daniel J. Travanti,Robert Joy,,Michael Anderson,5777099.0,5.7,nan,5317,,0,0,5,1,1989-08-24,108.0,Millennium,1989-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,,,11495277.490033535,,
1791,John Irvin,Ken Solarz,Harvey Keitel,Stephen Dorff,Timothy Hutton,Harvey Keitel,Stephen Dorff,Timothy Hutton,Famke Janssen,Wade Dominguez,8000000.0,John Irvin,1495332.0,6.2,nan,5115,,0,0,1,0,1997-03-14,97.0,City of Industry,1997-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,-6504668.0,12293751.425128492,2297904.98825503,,-9995846.43687346
1792,Brett Leonard,Steve Gerber,Hans Rodionoff,Jack Thompson,Matthew Le Nevez,Steve Bastoni,Matthew Le Nevez,Rachael Taylor,Jack Thompson,Rawiri Paratene,7500000.0,Brett Leonard,143615.0,4.0,nan,5203,,0,0,0,0,2005-04-21,97.0,Man-Thing,2005-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,-7356385.0,9473100.062389914,181397.23539468367,,-9291702.82699523
1793,Otto Preminger,Allen Drury,Wendell Mayes,Franchot Tone,Lew Ayres,Henry Fonda,Franchot Tone,Lew Ayres,Henry Fonda,Walter Pidgeon,,Otto Preminger,,7.8,nan,5300,,0,0,1,1,1962-05-08,139.0,Advise & Consent,1962-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1960,,,,,
