,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Comedy,Genre:  Music,Genre: Fantasy,Genre:  Western,Genre: Action,Genre: Drama,Genre:  Fantasy,Genre: Musical,Genre:  Comedy,Genre: Mystery,Genre:  Horror,Genre:  Film-Noir,Genre:  Adventure,Genre: Horror,Genre:  Crime,Genre:  Musical,Genre: Romance,Genre:  Sport,Genre: Western,Genre:  Mystery,Genre: Biography,Genre:  Family,Genre:  Drama,Genre:  Thriller,Genre: Animation,Genre:  Action,Genre:  History,Genre:  Romance,Genre:  Sci-Fi,Genre: Film-Noir,Genre: Crime,Genre:  Biography,Genre:  War,Genre: Sci-Fi,Genre: Adventure,Genre: Family,Content Rating: PG-13,Content Rating: APPROVED,Content Rating: PASSED,Content Rating: R,Content Rating: NR,Content Rating: G,Content Rating: UNRATED,Content Rating: GP,Content Rating: NOT RATED,Content Rating: NC-17,Content Rating: PG,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
0,Frank Darabont,Stephen King,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,25000000.0,Frank Darabont,58500000.0,9.3,80.0,1905152,,7,0,29,19,1994-09-10,142.0,The Shawshank Redemption,1994-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,33500000.0,41603811.77264294,97352919.54798448,,55749107.77534154
1,Christopher Nolan,Jonathan Nolan,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,185000000.0,Christopher Nolan,1004558444.0,9.0,82.0,1879036,,0,2,154,151,2008-07-14,152.0,The Dark Knight,2008-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,819558444.0,211957683.21326628,1150939894.2841282,,938982211.0708619
2,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe,160000000.0,Christopher Nolan,825532764.0,8.8,74.0,1667315,,0,4,203,152,2010-07-08,148.0,Inception,2010-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2010,665532764.0,180995388.7886341,933860147.3620982,,752864758.5734642
3,David Fincher,Chuck Palahniuk,Jim Uhls,Brad Pitt,Edward Norton,Meat Loaf,Edward Norton,Brad Pitt,Meat Loaf,Zach Grenier,63000000.0,David Fincher,100853753.0,8.8,66.0,1526421,,1,0,34,10,1999-09-10,139.0,Fight Club,1999-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,37853753.0,93292192.7059883,149347107.30155787,,56054914.595569566
4,Quentin Tarantino,Quentin Tarantino,Roger Avary,John Travolta,Uma Thurman,Samuel L. Jackson,Tim Roth,Amanda Plummer,Laura Lovelace,John Travolta,8000000.0,Quentin Tarantino,213928762.0,8.9,94.0,1489496,,0,1,68,60,1994-05-21,154.0,Pulp Fiction,1994-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,205928762.0,13313219.767245742,356010077.8801012,,342696858.1128555
5,Robert Zemeckis,Winston Groom,Eric Roth,Tom Hanks,Robin Wright,Gary Sinise,Tom Hanks,Rebecca Williams,Sally Field,Michael Conner Humphreys,55000000.0,Robert Zemeckis,677945399.0,8.8,82.0,1439720,,0,6,66,39,1994-06-23,142.0,Forrest Gump,1994-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990,622945399.0,91528385.89981447,1128204510.8850126,,1036676124.9851983
6,Peter Jackson,J.R.R. Tolkien,Fran Walsh,Elijah Wood,Ian McKellen,Orlando Bloom,Alan Howard,Noel Appleby,Sean Astin,Sala Baker,93000000.0,Peter Jackson,871530324.0,8.8,92.0,1380902,,0,4,123,113,2001-12-10,178.0,The Lord of the Rings: The Fellowship of the Ring,2001-01-01,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2000,778530324.0,129556948.39428522,1214116228.0701363,,1084559279.675851
7,Lana Wachowski,Lilly Wachowski,Lilly Wachowski,Lana Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,63000000.0,Lilly Wachowski Lana Wachowski,463517383.0,8.7,73.0,1369714,,0,4,48,34,1999-03-24,136.0,The Matrix,1999-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,400517383.0,93292192.7059883,686389730.4351014,,593097537.7291131
8,Peter Jackson,J.R.R. Tolkien,Fran Walsh,Elijah Wood,Viggo Mortensen,Ian McKellen,Noel Appleby,Ali Astin,Sean Astin,David Aston,94000000.0,Peter Jackson,1119929521.0,8.9,94.0,1360955,,0,11,122,197,2003-12-01,201.0,The Lord of the Rings: The Return of the King,2003-01-01,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2000,1025929521.0,126044227.42940778,1501709055.8492734,,1375664828.4198658
9,Francis Ford Coppola,Mario Puzo,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,6000000.0,Francis Ford Coppola,245066411.0,9.2,100.0,1301747,,0,3,27,24,1972-03-14,175.0,The Godfather,1972-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1970,239066411.0,35392921.47984114,1445602706.9782462,,1410209785.498405
10,Christopher Nolan,Jonathan Nolan,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Christian Bale,Gary Oldman,Tom Hardy,Joseph Gordon-Levitt,250000000.0,Christopher Nolan,1084939099.0,8.4,78.0,1278435,9186084.425967382,0,0,101,38,2012-07-16,164.0,The Dark Knight Rises,2012-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010,834939099.0,268593675.00815296,1165631119.0417774,9869296.699622955,897037444.0336243
11,Peter Jackson,J.R.R. Tolkien,Fran Walsh,Elijah Wood,Ian McKellen,Viggo Mortensen,Bruce Allpress,Sean Astin,John Bach,Sala Baker,94000000.0,Peter Jackson,926047111.0,8.7,87.0,1232042,,0,2,137,118,2002-12-05,179.0,The Lord of the Rings: The Two Towers,2002-01-01,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2000,832047111.0,128905551.0771369,1269921416.6685698,,1141015865.591433
12,David Fincher,Andrew Kevin Walker,Morgan Freeman,Brad Pitt,Kevin Spacey,Morgan Freeman,Andrew Kevin Walker,Kevin Spacey,Daniel Zacapa,Brad Pitt,33000000.0,David Fincher,327311859.0,8.6,65.0,1161672,,1,0,33,25,1995-09-15,127.0,Se7en,1995-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,294311859.0,53418420.66136245,529832805.1974107,,476414384.53604823
13,Joss Whedon,Joss Whedon,Zak Penn,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,220000000.0,Joss Whedon,1519557910.0,8.1,69.0,1081771,,1,0,79,38,2012-04-11,143.0,The Avengers,2012-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2010,1299557910.0,236362434.0071746,1632574573.738433,,1396212139.7312582
14,Ridley Scott,David Franzoni,David Franzoni,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,103000000.0,Ridley Scott,457640427.0,8.5,67.0,1104693,,0,5,101,53,2000-05-01,155.0,Gladiator,2000-01-01,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2000,354640427.0,147543013.93728223,655549979.6031535,,508006965.66587114
15,Christopher Nolan,Bob Kane,David S. Goyer,Christian Bale,Michael Caine,Ken Watanabe,Christian Bale,Michael Caine,Liam Neeson,Katie Holmes,150000000.0,Christopher Nolan,374218673.0,8.3,70.0,1098074,,1,0,71,14,2005-05-31,140.0,Batman Begins,2005-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2000,224218673.0,189462001.24779826,472668124.6058361,,283206123.3580378
16,Quentin Tarantino,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson,100000000.0,Quentin Tarantino,425368238.0,8.4,81.0,1097535,,0,2,151,56,2012-12-11,165.0,Django Unchained,2012-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,325368238.0,107437470.0032612,457004873.1046507,,349567403.10138947
17,Christopher Nolan,Jonathan Nolan,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Ellen Burstyn,Matthew McConaughey,Mackenzie Foy,John Lithgow,165000000.0,Christopher Nolan,675020017.0,8.6,74.0,1134427,,0,1,143,43,2014-10-26,169.0,Interstellar,2014-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2010,510020017.0,171922970.4837491,703342099.7492777,,531419129.2655285
18,George Lucas,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,Alec Guinness,11000000.0,George Lucas,775398007.0,8.7,90.0,1030047,,0,6,28,50,1977-05-25,121.0,Star Wars,1977-01-01,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1970,764398007.0,44768744.67453699,3155781399.6843495,,3111012655.0098124
19,Jonathan Demme,Thomas Harris,Ted Tally,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Jodie Foster,Lawrence A. Bonney,Kasi Lemmons,Lawrence T. Wrentz,19000000.0,Jonathan Demme,272742922.0,8.6,85.0,1015326,,0,5,44,54,1991-01-30,118.0,The Silence of the Lambs,1991-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,253742922.0,34412612.119093776,493989283.3165394,,459576671.19744563
20,James Cameron,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Michelle Rodriguez,237000000.0,James Cameron,2787965087.0,7.8,83.0,971380,5234083.779295073,0,3,128,85,2009-12-10,162.0,Avatar,2009-01-01,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2000,2550965087.0,272496366.59410733,3205528929.952423,6018011.866274519,2933032563.358316
21,Quentin Tarantino,Eli Roth,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,Brad Pitt,Mélanie Laurent,Christoph Waltz,Eli Roth,75000000.0,Quentin Tarantino Eli Roth,313600000.0,8.3,69.0,1013780,,0,1,165,129,2009-05-20,153.0,Inglourious Basterds,2009-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2000,238600000.0,86233027.40319851,360569031.9152407,,274336004.5120422
22,Steven Spielberg,Robert Rodat,Tom Hanks,Matt Damon,Tom Sizemore,Tom Hanks,Tom Sizemore,Edward Burns,Barry Pepper,Adam Goldberg,70000000.0,Steven Spielberg,481840909.0,8.6,90.0,1002966,,0,5,74,74,1998-07-21,169.0,Saving Private Ryan,1998-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,411840909.0,105926056.97171433,729135822.5433804,,623209765.571666
23,Martin Scorsese,William Monahan,Alan Mak,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,90000000.0,Martin Scorsese,289847354.0,8.5,85.0,982988,,0,4,134,92,2006-09-26,151.0,The Departed,2006-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,199847354.0,110124641.37735115,354659287.92693496,,244534646.54958382
24,Steven Spielberg,Thomas Keneally,Steven Zaillian,Liam Neeson,Ralph Fiennes,Ben Kingsley,Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,22000000.0,Steven Spielberg,221000000.0,8.9,93.0,980346,,0,7,45,81,1993-11-30,195.0,Schindler's List,1993-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,199000000.0,37565974.04962583,377367284.7712413,,339801310.7216155
25,Christopher Nolan,Christopher Nolan,Jonathan Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,9000000.0,Christopher Nolan,39723096.0,8.5,80.0,949655,,2,0,55,56,2000-09-05,113.0,Memento,2000-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,30723096.0,12892108.013937283,56901604.92000001,,44009496.90606272
26,Christopher Nolan,Jonathan Nolan,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Hugh Jackman,Christian Bale,Michael Caine,Piper Perabo,40000000.0,Christopher Nolan,109676311.0,8.5,66.0,967644,,2,0,36,5,2006-10-17,130.0,The Prestige,2006-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,69676311.0,48944285.05660051,134200715.73850927,,85256430.68190876
27,Irvin Kershner,Leigh Brackett,Lawrence Kasdan,Mark Hamill,Harrison Ford,Carrie Fisher,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,18000000.0,Irvin Kershner,247916602.0,8.8,82.0,957644,,0,1,19,21,1980-05-17,124.0,Star Wars: Episode V - The Empire Strikes Back,1980-01-01,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1980,229916602.0,53878555.97346055,742077139.8670634,,688198583.8936028
28,Sam Mendes,Alan Ball,Kevin Spacey,Annette Bening,Thora Birch,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,Mena Suvari,15000000.0,Sam Mendes,226200000.0,8.4,86.0,918368,,0,5,99,104,1999-09-08,122.0,American Beauty,1999-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,211200000.0,22212426.83475912,334963396.66816753,,312750969.8334084
29,Gore Verbinski,Ted Elliott,Terry Rossio,Johnny Depp,Geoffrey Rush,Orlando Bloom,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,140000000.0,Gore Verbinski,654264015.0,8.0,63.0,900757,,5,0,96,36,2003-06-28,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,2003-01-01,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2000,514264015.0,187725445.10762858,877300024.5269942,,689574579.4193656
30,James Cameron,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,Frances Fisher,200000000.0,James Cameron,2186772302.0,7.8,75.0,878644,,0,11,75,111,1997-11-01,194.0,Titanic,1997-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990,1986772302.0,307343785.6282123,3360454388.0180016,,3053110602.389789
31,James McTeigue,Lilly Wachowski,Lana Wachowski,Hugo Weaving,Natalie Portman,Rupert Graves,Natalie Portman,Hugo Weaving,Stephen Rea,Stephen Fry,54000000.0,James McTeigue,132511035.0,8.2,62.0,884385,,0,0,27,7,2005-12-11,132.0,V for Vendetta,2005-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,78511035.0,68206320.44920738,167372039.1901136,,99165718.74090622
32,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Al Pacino,Robert De Niro,Robert Duvall,Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,13000000.0,Francis Ford Coppola,57300000.0,9.0,85.0,898395,,0,6,20,11,1974-12-12,202.0,The Godfather: Part II,1974-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1970,44300000.0,65033571.070815176,286647970.95059305,,221614399.87977788
33,Martin Scorsese,Laeta Kalogridis,Dennis Lehane,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley,Max von Sydow,80000000.0,Martin Scorsese,294804195.0,8.1,63.0,907072,,0,0,62,9,2010-02-13,138.0,Shutter Island,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,214804195.0,90497694.39431705,333488749.31590813,,242991054.92159107
34,Frank Darabont,Stephen King,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Tom Hanks,David Morse,Michael Clarke Duncan,Bonnie Hunt,60000000.0,Frank Darabont,286801374.0,8.5,61.0,903689,,4,0,32,15,1999-12-06,189.0,The Green Mile,1999-01-01,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,226801374.0,88849707.33903648,424703635.7388925,,335853928.399856
35,Tony Kaye,David McKenna,Edward Norton,Edward Furlong,Beverly D'Angelo,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,Ethan Suplee,7500000.0,Tony Kaye,23875127.0,8.5,62.0,875725,,1,0,13,4,1998-10-30,119.0,American History X,1998-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,16375127.0,11349220.389826536,36128543.754413076,,24779323.36458654
36,Martin Scorsese,Terence Winter,Jordan Belfort,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,100000000.0,Martin Scorsese,392000694.0,8.2,75.0,921646,,5,0,165,38,2013-12-17,180.0,The Wolf of Wall Street,2013-01-01,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,292000694.0,105886026.94786571,415073960.4846607,,309187933.53679496
37,James Cameron,James Cameron,William Wisher,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,102000000.0,James Cameron,315000000.0,8.5,75.0,830672,,0,4,27,27,1991-07-01,137.0,Terminator 2: Judgment Day,1991-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,213000000.0,184741391.37618765,570524885.1323442,,385783493.75615656
38,Bryan Singer,Christopher McQuarrie,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,Gabriel Byrne,Benicio Del Toro,Kevin Pollak,Kevin Spacey,6000000.0,Bryan Singer,34449356.0,8.6,77.0,831650,,0,2,15,32,1995-01-25,106.0,The Usual Suspects,1995-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,28449356.0,9712440.120247718,55764551.221849404,,46052111.10160169
39,Mel Gibson,Randall Wallace,Mel Gibson,Sophie Marceau,Patrick McGoohan,James Robinson,Sean Lawlor,Sandy Nelson,James Cosmo,Sean McGinley,72000000.0,Mel Gibson,210409945.0,8.4,68.0,824520,,0,5,28,26,1995-05-18,178.0,Braveheart,1995-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,138409945.0,116549281.4429726,340598998.58618593,,224049717.14321333
40,Quentin Tarantino,Quentin Tarantino,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,Uma Thurman,Lucy Liu,Vivica A. Fox,Daryl Hannah,30000000.0,Quentin Tarantino,180949045.0,8.1,69.0,825532,,0,0,99,27,2003-09-29,111.0,Kill Bill: Vol. 1,2003-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,150949045.0,40226881.09449184,242633857.24589515,,202406976.1514033
41,Robert Zemeckis,Robert Zemeckis,Bob Gale,Michael J. Fox,Christopher Lloyd,Lea Thompson,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,19000000.0,Robert Zemeckis,381109762.0,8.5,86.0,837879,,0,1,25,19,1985-07-03,116.0,Back to the Future,1985-01-01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1980,362109762.0,43570291.27872008,873950702.0791413,,830380410.8004212
42,Martin Scorsese,Nicholas Pileggi,Nicholas Pileggi,Robert De Niro,Ray Liotta,Joe Pesci,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,25000000.0,Martin Scorsese,46836394.0,8.7,89.0,820462,,0,1,37,43,1990-09-09,146.0,Goodfellas,1990-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,21836394.0,47197334.02568974,88422117.28707244,,41224783.2613827
43,Luc Besson,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,Peter Appel,,Luc Besson,45501238.0,8.6,64.0,828223,,0,0,11,5,1994-09-14,110.0,L?on,1994-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,,,75720997.64696914,,
44,Andrew Stanton,Andrew Stanton,Pete Docter,Ben Burtt,Elissa Knight,Jeff Garlin,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,180000000.0,Andrew Stanton,534767889.0,8.4,95.0,819519,,0,1,90,89,2008-06-21,98.0,WALL?E,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2000,354767889.0,206229097.18047532,612692771.9421036,,406463674.7616282
45,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,Trevor Morgan,40000000.0,M. Night Shyamalan,672806292.0,8.1,64.0,781470,,6,0,47,32,1999-08-02,107.0,The Sixth Sense,1999-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990,632806292.0,59233138.226024315,996310702.3343722,,937077564.1083477
