,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Comedy,Genre:  Music,Genre: Fantasy,Genre:  Western,Genre: Action,Genre: Drama,Genre:  Fantasy,Genre: Musical,Genre:  Comedy,Genre: Mystery,Genre:  Horror,Genre:  Film-Noir,Genre:  Adventure,Genre: Horror,Genre:  Crime,Genre:  Musical,Genre: Romance,Genre:  Sport,Genre: Western,Genre:  Mystery,Genre: Biography,Genre:  Family,Genre:  Drama,Genre:  Thriller,Genre: Animation,Genre:  Action,Genre:  History,Genre:  Romance,Genre:  Sci-Fi,Genre: Film-Noir,Genre: Crime,Genre:  Biography,Genre:  War,Genre: Sci-Fi,Genre: Adventure,Genre: Family,Content Rating: PG-13,Content Rating: APPROVED,Content Rating: PASSED,Content Rating: R,Content Rating: NR,Content Rating: G,Content Rating: UNRATED,Content Rating: GP,Content Rating: NOT RATED,Content Rating: NC-17,Content Rating: PG,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
1626,F. Gary Gray,Ice Cube,DJ Pooh,Ice Cube,Chris Tucker,Nia Long,Ice Cube,Chris Tucker,Nia Long,Tommy 'Tiny' Lister,3500000.0,F. Gary Gray,28215918.0,7.3,54.0,83650,,0,0,5,1,1995-04-26,91.0,Friday,1995-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,24715918.0,5665590.0701445015,45674235.66880329,,40008645.598658785
1627,Gary Winick,Jose Rivera,Tim Sullivan,Amanda Seyfried,Gael García Bernal,Vanessa Redgrave,Amanda Seyfried,Marcia DeBonis,Gael García Bernal,Giordano Formenti,30000000.0,Gary Winick,82148538.0,6.6,50.0,81053,,0,0,6,0,2010-04-25,105.0,Letters to Juliet,2010-01-01,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2010,52148538.0,33936635.397868894,92928166.08579926,,58991530.687930375
1628,Tom Brady,Tom Brady,Rob Schneider,Rob Schneider,Rachel McAdams,Anna Faris,Rob Schneider,Anna Faris,Matthew Lawrence,Eric Christian Olsen,,Tom Brady,19557959.0,5.5,29.0,80503,,0,0,4,0,2002-12-02,104.0,The Hot Chick,2002-01-01,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,,,26820526.413181376,,
1629,Sylvain White,Peter Berg,James Vanderbilt,Idris Elba,Zoe Saldana,Jeffrey Dean Morgan,Jeffrey Dean Morgan,Zoe Saldana,Chris Evans,Idris Elba,25000000.0,Sylvain White,23580735.0,6.4,44.0,79321,,0,0,7,1,2010-04-22,97.0,The Losers,2010-01-01,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2010,-1419265.0,28280529.498224076,26675026.870292198,,-1605502.6279318798
1630,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,Gene Hackman,John Cazale,Allen Garfield,Frederic Forrest,Cindy Williams,1600000.0,Francis Ford Coppola,4420000.0,7.9,86.0,81720,,3,0,13,14,1974-04-07,113.0,The Conversation,1974-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1970,2820000.0,8004131.82410033,22111414.16407716,,14107282.33997683
1631,Mark Helfrich,Josh Stolberg,Steve Glenn,Dane Cook,Jessica Alba,Dan Fogler,Connor Price,Troy Gentile,Mackenzie Mowat,Sasha Pieterse,25000000.0,Mark Helfrich,34925283.0,5.6,19.0,78292,,0,0,3,1,2007-06-13,96.0,Good Luck Chuck,2007-01-01,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,9925283.0,29741851.20698656,41549702.813915886,,11807851.606929328
1632,Nick Cassavetes,Jeremy Leven,Nick Cassavetes,Cameron Diaz,Abigail Breslin,Alec Baldwin,Abigail Breslin,Walter Raney,Sofia Vassilieva,Cameron Diaz,30000000.0,Nick Cassavetes,95714875.0,7.4,51.0,81098,,0,0,3,4,2009-06-26,109.0,My Sister's Keeper,2009-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2000,65714875.0,34493210.96127941,110050445.8502496,,75557234.8889702
1633,Daniel Barber,Gary Young,Michael Caine,Emily Mortimer,David Bradley,Michael Caine,Emily Mortimer,Charlie Creed-Miles,David Bradley,Iain Glen,7300000.0,Daniel Barber,1818681.0,7.2,55.0,78048,,0,0,4,1,2009-09-12,103.0,Harry Brown,2009-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,-5481319.0,8393348.000577988,2091071.5801423532,,-6302276.420435635
1634,Betty Thomas,Hugh Lofting,Nat Mauldin,Eddie Murphy,Peter Boyle,Ossie Davis,Eddie Murphy,Ossie Davis,Oliver Platt,Peter Boyle,71500000.0,Betty Thomas,294456605.0,5.3,46.0,81410,,0,0,8,4,1998-06-13,85.0,Doctor Dolittle,1998-01-01,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1990,222956605.0,108195901.04967965,445580387.38467985,,337384486.33500016
1635,John Glen,George MacDonald Fraser,Richard Maibaum,Roger Moore,Maud Adams,Louis Jourdan,Roger Moore,Maud Adams,Louis Jourdan,Kristina Wayborn,27500000.0,John Glen,119600000.0,6.6,63.0,81026,,0,0,3,2,1983-06-06,131.0,Octopussy,1983-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1980,92100000.0,68106400.60240965,296200927.7108434,,228094527.10843375
