,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Film-Noir,Genre:  Comedy,Genre: Fantasy,Genre: War,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Animation,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: X,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: NR,Content Rating: G,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: TV-13,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
1670,Guy Ritchie,Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,Steven Mackintosh,,Guy Ritchie,28356188.0,8.2,66.0,458652,,0,0,7,13,1998-08-23,107.0,Lock Stock and Two Smoking Barrels,1998-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,42909416.936980605,,
1671,Alan Taylor,Christopher Yost,Christopher Markus,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,,Alan Taylor,644783140.0,7.0,54.0,470981,,0,0,21,3,2013-10-22,112.0,Thor: The Dark World,2013-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010,,,682735249.3756948,,
1672,Jason Reitman,Diablo Cody,Ellen Page,Michael Cera,Jennifer Garner,Ellen Page,Michael Cera,Jennifer Garner,Jason Bateman,Allison Janney,,Jason Reitman,231411584.0,7.5,81.0,445276,,0,1,95,89,2007-09-01,96.0,Juno,2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,275304355.9560429,,
1673,Curtis Hanson,James Ellroy,Brian Helgeland,Kevin Spacey,Russell Crowe,Guy Pearce,Kevin Spacey,Russell Crowe,Guy Pearce,James Cromwell,,Curtis Hanson,126216940.0,8.3,90.0,456789,,0,2,78,85,1997-05-14,138.0,L.A. Confidential,1997-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,193959960.75004464,,
1674,Steven Spielberg,Peter Benchley,Carl Gottlieb,Roy Scheider,Robert Shaw,Richard Dreyfuss,Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,,Steven Spielberg,470653000.0,8.0,87.0,465520,,0,3,18,10,1975-06-20,124.0,Jaws,1975-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1970,,,2157240721.8917785,,
1675,Sam Raimi,Stan Lee,Steve Ditko,Tobey Maguire,Kirsten Dunst,Alfred Molina,Tobey Maguire,Kirsten Dunst,James Franco,Alfred Molina,,Sam Raimi,783766341.0,7.3,83.0,460025,,0,1,59,23,2004-06-25,127.0,Spider-Man 2,2004-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,1023546419.8477749,,
1676,Alejandro G. Iñárritu,Mark L. Smith,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Will Poulter,Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,Will Poulter,,Alejandro G. I��rritu,532925985.0,8.0,76.0,542057,,0,3,181,86,2015-12-16,156.0,The Revenant,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,554628232.5485725,,
1677,Phil Lord,Christopher Miller,Michael Bacall,Michael Bacall,Jonah Hill,Channing Tatum,Ice Cube,Jonah Hill,Channing Tatum,Brie Larson,,Christopher Miller Phil Lord,201585328.0,7.2,69.0,449023,,0,0,20,11,2012-03-12,109.0,21 Jump Street,2012-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,216578176.30097568,,
1678,Doug Liman,Tony Gilroy,W. Blake Herron,Franka Potente,Matt Damon,Chris Cooper,Matt Damon,Franka Potente,Chris Cooper,Clive Owen,,Doug Liman,214034224.0,7.9,68.0,448906,,0,0,5,3,2002-06-06,119.0,The Bourne Identity,2002-01-01,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,293512761.6392273,,
1679,Bryan Singer,Zak Penn,David Hayter,Patrick Stewart,Hugh Jackman,Halle Berry,Patrick Stewart,Hugh Jackman,Ian McKellen,Halle Berry,,Bryan Singer,407711549.0,7.5,68.0,448544,,0,0,41,6,2003-04-24,134.0,X2,2003-01-01,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,546698800.0824695,,
