,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Film-Noir,Genre:  Comedy,Genre: Fantasy,Genre: War,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Animation,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: X,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: NR,Content Rating: G,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: TV-13,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
0,Ron Howard,Lowell Ganz,Babaloo Mandel,Henry Winkler,Michael Keaton,Shelley Long,Henry Winkler,Michael Keaton,Shelley Long,Gina Hecht,,Ron Howard,23600000.0,6.5,nan,11996,,0,0,0,1,1982-07-30,106.0,Night Shift,1982-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,,,60325268.393782385,,
1,Mark Pellington,Albert Torres,Luke Wilson,Radha Mitchell,George Lopez,Luke Wilson,Radha Mitchell,Adriana Barraza,George Lopez,Cheryl Hines,,Mark Pellington,1836515.0,6.5,44.0,11433,,0,0,1,0,2008-01-21,99.0,Henry Poole Is Here,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2000,,,2104126.8356022257,,
2,Marco Kreuzpaintner,Thomas Bahmann,Marco Kreuzpaintner,Robert Stadlober,Kostja Ullmann,Miriam Morgenstern,Robert Stadlober,Kostja Ullmann,Jürgen Tonkel,Miriam Morgenstern,,Marco Kreuzpaintner,95016.0,7.4,51.0,11977,,0,0,4,4,2004-09-02,98.0,Sommersturm,2004-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,124084.54094133672,,
3,Roman Polanski,Gérard Brach,Roman Polanski,Nastassja Kinski,Peter Firth,Leigh Lawson,John Collin,Tony Church,Nastassja Kinski,Brigid Erin Bates,,Roman Polanski,20093330.0,7.3,nan,12423,,0,3,14,13,1979-10-25,186.0,Tess,1979-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1970,,,68293511.78463659,,
4,Nacho Cerdà,Karim Hussain,Nacho Cerdà,Anastasia Hille,Karel Roden,Valentin Goshev,Anastasia Hille,Karel Roden,Valentin Ganev,Paraskeva Djukelova,,Nacho Cerd�,1255524.0,5.6,42.0,11573,,0,0,1,0,2006-09-11,99.0,The Abandoned,2006-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,1536268.1137850825,,
5,Terry Jones,Terry Jones,Tim Robbins,John Cleese,Mickey Rooney,Tim Robbins,Mickey Rooney,Eartha Kitt,Terry Jones,Imogen Stubbs,,Terry Jones,1932642.0,6.2,nan,11581,,0,0,0,0,1989-08-01,107.0,Erik the Viking,1989-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1980,,,3845573.025301002,,
6,Henry Hathaway,Charles Brackett,Walter Reisch,Marilyn Monroe,Joseph Cotten,Jean Peters,Marilyn Monroe,Joseph Cotten,Jean Peters,Max Showalter,,Henry Hathaway,,7.1,nan,12257,,0,0,0,0,1953-01-21,92.0,Niagara,1953-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1950,,,,,
7,Barry Battles,Barry Battles,Griffin Hood,Billy Bob Thornton,Eva Longoria,Thomas Brodie-Sangster,Clayne Crawford,Travis Fimmel,Daniel Cudmore,Thomas Brodie-Sangster,,Barry Battles,,6.4,33.0,12134,,0,0,1,0,2012-08-29,98.0,The Baytown Outlaws,2012-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,,,
8,Darren Lynn Bousman,Darren Lynn Bousman,Timothy Gibbs,Michael Landes,Brendan Price,Timothy Gibbs,Michael Landes,Wendy Glenn,Benjamin Cook,Lolo Herrero,,Darren Lynn Bousman,,4.0,26.0,11440,,0,0,0,0,2011-11-01,90.0,11-11-11,2011-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010,,,,,
9,John Madden,Jeremy Brock,Judi Dench,Billy Connolly,Geoffrey Palmer,Judi Dench,Billy Connolly,Geoffrey Palmer,Antony Sher,Gerard Butler,,John Madden,4300000.0,7.3,71.0,11922,,2,0,23,12,1997-07-18,101.0,Mrs Brown,1997-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1990,,,6607891.391006564,,
10,Lawrence Kasdan,John Kostmayer,Kevin Kline,Tracey Ullman,William Hurt,Kevin Kline,Tracey Ullman,Joan Plowright,River Phoenix,William Hurt,,Lawrence Kasdan,16186793.0,6.4,45.0,11789,,0,0,0,0,1990-04-06,97.0,I Love You to Death,1990-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,30558939.041027863,,
11,Luc Besson,Luc Besson,Luc Besson,Christopher Lambert,Isabelle Adjani,Richard Bohringer,Isabelle Adjani,Christopher Lambert,Richard Bohringer,Michel Galabru,,Luc Besson,1272637.0,6.6,nan,12123,,0,0,11,3,1985-04-10,104.0,Subway,1985-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,,,2918377.0937934993,,
12,Steven Spielberg,Hal Barwood,Matthew Robbins,Goldie Hawn,Ben Johnson,Michael Sacks,Goldie Hawn,Ben Johnson,Michael Sacks,William Atherton,,Steven Spielberg,12800000.0,6.8,65.0,12588,,0,0,3,1,1974-03-29,110.0,The Sugarland Express,1974-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1970,,,64033054.59280264,,
13,Dennis Gansel,Dennis Gansel,Maggie Peren,Max Riemelt,Tom Schilling,Devid Striesow,Max Riemelt,Tom Schilling,Jonas Jägermeyr,Leon A. Kersten,,Dennis Gansel,144065.0,7.4,65.0,12249,,0,0,6,8,2004-07-04,117.0,Napola - Elite f�r den F�hrer,2004-01-01,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,188139.25434362292,,
14,Jonathan Kaplan,George Putnam,John Katchmer,Kurt Russell,Ray Liotta,Madeleine Stowe,Kurt Russell,Ray Liotta,Madeleine Stowe,Roger E. Mosley,,Jonathan Kaplan,57138719.0,6.3,nan,12205,,0,0,1,0,1992-06-26,117.0,Unlawful Entry,1992-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,100446732.44087976,,
15,Cate Shortland,Cate Shortland,Robin Mukherjee,Saskia Rosendahl,Kai-Peter Malina,Nele Trebs,Saskia Rosendahl,Nele Trebs,Mike Weidner,Ursina Lardi,,Cate Shortland,968879.0,7.1,76.0,12562,,0,0,35,34,2012-06-09,109.0,Lore,2012-01-01,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2010,,,1040939.084992897,,
16,Alfred Hitchcock,Joseph Conrad,Charles Bennett,Sylvia Sidney,Oskar Homolka,Desmond Tester,Sylvia Sidney,Oskar Homolka,Desmond Tester,John Loder,,Alfred Hitchcock,,7.1,nan,12231,,0,0,0,0,1936-12-02,76.0,Sabotage,1936-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1930,,,,,
17,Alek Keshishian,William Mastrosimone,Joe Pesci,Brendan Fraser,Moira Kelly,Joe Pesci,Brendan Fraser,Moira Kelly,Patrick Dempsey,Josh Hamilton,,Alek Keshishian,20043254.0,6.7,nan,11712,,0,0,3,0,1994-04-29,103.0,With Honors,1994-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1990,,,33355030.669090915,,
18,Harry Winer,Clifford Green,Casey T. Mitchell,Kate Capshaw,Lea Thompson,Kelly Preston,Kate Capshaw,Lea Thompson,Kelly Preston,Larry B. Scott,,Harry Winer,9697739.0,5.6,nan,11637,,0,0,1,0,1986-06-06,107.0,SpaceCamp,1986-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1980,,,21824358.69035334,,
19,Reggie Rock Bythewood,Michael Gougis,Craig Fernandez,Laurence Fishburne,Derek Luke,Orlando Jones,Laurence Fishburne,Derek Luke,Orlando Jones,Djimon Hounsou,,Reggie Rock Bythewood,21701045.0,4.6,36.0,11638,,0,0,0,0,2003-01-31,110.0,Biker Boyz,2003-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,29098845.22804056,,
20,Jean-Marc Vallée,Jean-Marc Vallée,Vanessa Paradis,Kevin Parent,Hélène Florent,Vanessa Paradis,Kevin Parent,Hélène Florent,Evelyne Brochu,Marin Gerrier,,Jean-Marc Vall�e,,7.4,53.0,12659,,0,0,19,9,2011-09-02,120.0,Caf� de Flore,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2010,,,,,
21,Deb Hagan,Dan Callahan,Adam Ellison,Drake Bell,Kevin Covais,Andrew Caldwell,Drake Bell,Andrew Caldwell,Andree Moss,Carolyn Moss,,Deb Hagan,4693919.0,4.6,15.0,11409,,0,0,0,0,2008-08-21,94.0,College,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,5377903.764490442,,
22,Paul McGuigan,Johnny Ferguson,Louis Mellis,Malcolm McDowell,David Thewlis,Paul Bettany,Malcolm McDowell,David Thewlis,Paul Bettany,Saffron Burrows,,Paul McGuigan,30915.0,6.8,60.0,11630,,0,0,9,1,2000-06-09,103.0,Gangster No. 1,2000-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,44284.39102787457,,
23,Neil Jordan,Bari Wood,Bruce Robinson,Annette Bening,Robert Downey Jr.,Katie Sagona,Annette Bening,Katie Sagona,Aidan Quinn,Robert Downey Jr.,,Neil Jordan,12017369.0,5.5,nan,11401,,0,0,0,1,1999-01-06,100.0,In Dreams,1999-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,17795661.97725349,,
24,Yaron Zilberman,Seth Grossman,Yaron Zilberman,Philip Seymour Hoffman,Christopher Walken,Catherine Keener,Catherine Keener,Christopher Walken,Philip Seymour Hoffman,Mark Ivanir,,Yaron Zilberman,1561577.0,7.1,67.0,12214,,0,0,2,0,2012-09-10,105.0,A Late Quartet,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,1677718.8209528262,,
25,Akira Kurosawa,Ryûzô Kikushima,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Awaji,Toshirô Mifune,Takashi Shimura,Keiko Awaji,Eiko Miyoshi,,Akira Kurosawa,,7.9,nan,12132,,0,0,0,4,1949-10-17,122.0,Nora inu,1949-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1940,,,,,
26,Peter Ho-Sun Chan,Oi Wah Lam,Joyce Chan,Donnie Yen,Takeshi Kaneshiro,Wei Tang,Donnie Yen,Wei Tang,Jia-Min Li,Wei Zheng,,Peter Ho-Sun Chan,11137.0,7.1,62.0,12174,,0,0,17,11,2011-05-13,115.0,Wu xia,2011-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,12212.869342864868,,
27,Andrew Fleming,Andrew Fleming,Lara Flynn Boyle,Josh Charles,Stephen Baldwin,Lara Flynn Boyle,Stephen Baldwin,Josh Charles,Alexis Arquette,Martha Gehman,,Andrew Fleming,14815000.0,6.2,nan,11491,,0,0,0,0,1994-01-01,89.0,Threesome,1994-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,24654418.856468208,,
28,Anthony Bell,Ben Gluck,Chris Denk,Steve Moore,Hayden Panettiere,Christina Ricci,Justin Long,Justin Long,Hayden Panettiere,Dennis Hopper,,Ben Gluck Anthony Bell,25077977.0,5.3,36.0,11774,,0,0,1,0,2010-09-08,90.0,Alpha and Omega,2010-01-01,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,,,28368738.732171398,,
29,Guy Ferland,William Mastrosimone,Tom Cavanagh,Ben Foster,Randy Harrison,Tom Cavanagh,Ben Foster,Randy Harrison,Janel Moloney,Jane McGregor,,Guy Ferland,,7.9,nan,11670,,0,0,1,7,2002-06-07,93.0,Bang Bang You're Dead,2002-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,,,
30,Carl Theodor Dreyer,Sheridan Le Fanu,Christen Jul,Julian West,Maurice Schutz,Rena Mandel,Julian West,Maurice Schutz,Rena Mandel,Sybille Schmitz,,Carl Theodor Dreyer,,7.6,nan,12503,,0,0,0,0,1932-05-06,83.0,Vampyr,1932-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1930,,,,,
31,Rebecca Miller,Rebecca Miller,Rebecca Miller,Robin Wright,Alan Arkin,Mike Binder,Robin Wright,Mike Binder,Alan Arkin,Winona Ryder,,Rebecca Miller,,6.4,49.0,11743,,0,0,4,1,2009-02-09,98.0,The Private Lives of Pippa Lee,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,,,
32,David Mackenzie,Peter Jinks,David Mackenzie,Jamie Bell,Ruth Milne,John Paul Lawler,Jamie Bell,Ruth Milne,John Paul Lawler,Claire Forlani,,David Mackenzie,59255.0,7.0,62.0,11464,,0,0,15,9,2007-02-16,95.0,Hallam Foe,2007-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,70494.13573079955,,
33,Rob Pritts,David Garrett,Jason Ward,Chris Kattan,Peter Falk,Vinessa Shaw,Chris Kattan,Vinessa Shaw,Peter Falk,Peter Berg,,Rob Pritts,23978402.0,4.7,20.0,11397,,0,0,1,0,2001-10-12,86.0,Corky Romano,2001-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,33403963.338617485,,
34,Hiroyuki Okiura,Mamoru Oshii,Mamoru Oshii,Michael Dobson,Yoshikazu Fujiki,Sumi Mutoh,Michael Dobson,Yoshikazu Fujiki,Sumi Mutoh,Moneca Stori,,Hiroyuki Okiura,94591.0,7.5,59.0,12385,,0,0,2,4,1999-07-24,102.0,Jin-R�,1999-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,140073.04444844666,,
35,Savage Steve Holland,Savage Steve Holland,John Cusack,Demi Moore,Linda Warren,John Cusack,Linda Warren,Joel Murray,Grenville Cuyler,Bobcat Goldthwait,,Savage Steve Holland,13431806.0,6.4,47.0,11765,,0,0,0,0,1986-08-08,93.0,One Crazy Summer,1986-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1980,,,30227721.327954914,,
36,Chris Gorak,Chris Gorak,Mary McCormack,Rory Cochrane,Tony Perez,Mary McCormack,Rory Cochrane,Tony Perez,Scotty Noyd Jr.,Jon Huertas,,Chris Gorak,64802.0,6.2,57.0,11576,,0,0,2,1,2006-01-23,96.0,Right at Your Door,2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,79292.18900594566,,
37,Douglas Sirk,Eleanore Griffin,Allan Scott,Lana Turner,John Gavin,Sandra Dee,Lana Turner,John Gavin,Sandra Dee,Susan Kohner,,Douglas Sirk,25000000.0,7.9,nan,12251,,2,0,4,3,1959-03-17,125.0,Imitation of Life,1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1950,,,211551457.9759863,,
38,John Badham,Jim Kouf,Jim Kouf,Richard Dreyfuss,Emilio Estevez,Rosie O'Donnell,Richard Dreyfuss,Emilio Estevez,Rosie O'Donnell,Dennis Farina,,John Badham,20208496.0,5.5,nan,11702,,0,0,1,0,1993-07-23,108.0,Another Stakeout,1993-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1990,,,34506901.6508167,,
39,Josef Fares,Josef Fares,Fares Fares,Torkel Petersson,Tuva Novotny,Fares Fares,Torkel Petersson,Tuva Novotny,Laleh Pourkarim,Leonard Terfelt,,Josef Fares,,6.8,nan,11604,,0,0,4,5,2000-12-13,88.0,Jalla! Jalla!,2000-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,,,
40,Michael Winterbottom,Michael Winterbottom,Steve Coogan,Rob Brydon,Rosie Fellner,Steve Coogan,Rob Brydon,Rosie Fellner,Claire Keelan,Marta Barrio,,Michael Winterbottom,2873758.0,6.6,75.0,12698,,0,0,1,0,2014-01-20,108.0,The Trip to Italy,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2010,,,2994333.404917805,,
41,Ten Shimoyama,Kenya Hirata,Fûtarô Yamada,Yukie Nakama,Joe Odagiri,Tomoka Kurotani,Yukie Nakama,Joe Odagiri,Tomoka Kurotani,Erika Sawajiri,,Ten Shimoyama,,7.0,nan,11354,,0,0,2,4,2005-09-17,107.0,Shinobi,2005-01-01,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,,,
42,Sidney Lumet,L. Frank Baum,William F. Brown,Diana Ross,Michael Jackson,Nipsey Russell,Diana Ross,Michael Jackson,Nipsey Russell,Ted Ross,,Sidney Lumet,21049053.0,5.3,nan,11887,,4,0,7,1,1978-10-24,134.0,The Wiz,1978-01-01,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1970,,,79593492.91858424,,
43,Robert Harmon,Brendan Hood,Laura Regan,Marc Blucas,Ethan Embry,Laura Regan,Marc Blucas,Ethan Embry,Dagmara Dominczyk,Jon Abrahams,,Robert Harmon,3289543.0,4.8,31.0,11420,,0,0,1,1,2002-11-01,89.0,They,2002-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,,,4511067.587307853,,
44,Donald Petrie,John L. Greene,Sherri Stoner,Christopher Lloyd,Jeff Daniels,Elizabeth Hurley,Christopher Lloyd,Jeff Daniels,Elizabeth Hurley,Daryl Hannah,,Donald Petrie,36830057.0,5.0,nan,11537,,0,0,3,0,1999-02-12,94.0,My Favorite Martian,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1990,,,54538996.42883387,,
45,David Gordon Green,David Gordon Green,Stewart O'Nan,Kate Beckinsale,Sam Rockwell,Michael Angarano,Kate Beckinsale,Sam Rockwell,Michael Angarano,Jeannetta Arnette,,David Gordon Green,402820.0,6.9,67.0,11477,,0,0,4,1,2007-01-19,107.0,Snow Angels,2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,479224.50012793305,,
46,Hector Babenco,Manuel Puig,Leonard Schrader,William Hurt,Raul Julia,Sônia Braga,William Hurt,Raul Julia,Sônia Braga,José Lewgoy,,Hector Babenco,17037728.0,7.4,80.0,12013,,0,1,10,12,1985-05-13,120.0,Kiss of the Spider Woman,1985-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,,,39070461.66776868,,
47,Masayuki,Kazuya Tsurumaki,Hideaki Anno,Cherami Leigh,Brina Palencia,Colleen Clinkenbeard,Cherami Leigh,Brina Palencia,Colleen Clinkenbeard,Monica Rial,,Kazuya Tsurumaki Hideaki Anno Masayuki,133640.0,8.0,nan,12529,,0,0,2,1,2009-06-27,112.0,Evangerion shin gekij�ban: Ha,2009-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2000,,,153655.75709551267,,
