,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Short,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: War,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Animation,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre: Music,Genre: History,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: TV-MA,Content Rating: X,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: M/PG,Content Rating: TV-13,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R
2871,Sergei Bodrov,Arif Aliev,Sergei Bodrov,Tadanobu Asano,Amadu Mamadakov,Khulan Chuluun,Tadanobu Asano,Honglei Sun,Khulan Chuluun,Aliya,20000000.0,Sergei Bodrov,26527510.0,7.3,74.0,40137,,1,0,11,14,2007-08-10,126.0,Mongol,2007-01-01,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2872,Michael Ritchie,Gregory McDonald,Andrew Bergman,Chevy Chase,Joe Don Baker,Dana Wheeler-Nicholson,Chevy Chase,Joe Don Baker,Dana Wheeler-Nicholson,Richard Libertini,8000000.0,Michael Ritchie,59612888.0,6.9,68.0,40740,,0,0,1,0,1985-05-31,98.0,Fletch,1985-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2873,Gene Quintano,Don Holley,Tori Tellem,Emilio Estevez,Samuel L. Jackson,Jon Lovitz,Emilio Estevez,Samuel L. Jackson,Jon Lovitz,Tim Curry,8200000.0,Gene Quintano,27979400.0,6.1,nan,39884,,0,0,0,0,1993-02-05,84.0,Loaded Weapon 1,1993-01-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2874,Uwe Boll,Elan Mastai,Michael Roesch,Christian Slater,Tara Reid,Stephen Dorff,Christian Slater,Tara Reid,Stephen Dorff,Frank C. Turner,20000000.0,Uwe Boll,5178569.0,2.3,9.0,39188,,0,0,4,5,2005-01-28,96.0,Alone in the Dark,2005-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2875,Terrence Malick,Terrence Malick,Richard Gere,Brooke Adams,Sam Shepard,Richard Gere,Brooke Adams,Sam Shepard,Linda Manz,Robert J. Wilke,3000000.0,Terrence Malick,3446749.0,7.9,93.0,42375,,0,1,12,12,1978-09-13,94.0,Days of Heaven,1978-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2876,William Friedkin,Jim Webb,Stephen Gaghan,Tommy Lee Jones,Samuel L. Jackson,Guy Pearce,Tommy Lee Jones,Samuel L. Jackson,Guy Pearce,Ben Kingsley,60000000.0,William Friedkin,71732303.0,6.4,45.0,39842,,0,0,2,1,2000-04-07,128.0,Rules of Engagement,2000-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2877,Mike Judge,Mike Judge,Jason Bateman,Kristen Wiig,Ben Affleck,Jason Bateman,Mila Kunis,Kristen Wiig,Ben Affleck,J.K. Simmons,8000000.0,Mike Judge,10814185.0,6.2,61.0,39881,,0,0,0,0,2009-09-04,92.0,Extract,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2878,Justin Zackham,Justin Zackham,Jean-Stéphane Bron,Robert De Niro,Diane Keaton,Katherine Heigl,Robert De Niro,Katherine Heigl,Diane Keaton,Amanda Seyfried,35000000.0,Justin Zackham,21784432.0,5.6,28.0,41511,,0,0,2,0,2013-04-25,89.0,The Big Wedding,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2879,Menahem Golan,Gary Conway,David Engelbach,Sylvester Stallone,Robert Loggia,Susan Blakely,Sylvester Stallone,Robert Loggia,Susan Blakely,Rick Zumwalt,25000000.0,Menahem Golan,16057580.0,5.7,nan,41779,,0,0,2,4,1987-02-12,93.0,Over the Top,1987-01-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2880,Jason Eisener,John Davies,Rutger Hauer,Pasha Ebrahimi,Robb Wells,Rutger Hauer,Pasha Ebrahimi,Robb Wells,Brian Downey,Gregory Smith,3000000.0,Jason Eisener,703002.0,6.1,55.0,39879,,0,0,4,1,2011-01-21,86.0,Hobo with a Shotgun,2011-01-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2881,Steven Brill,Fred Wolf,Harris Goldberg,Matthew Lillard,Seth Green,Dax Shepard,Matthew Price,Andrew Hampton,Jarred Rumbold,Carl Snell,19000000.0,Steven Brill,71274967.0,5.9,29.0,39606,,0,0,0,0,2004-08-20,95.0,Without a Paddle,2004-01-01,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2882,Philip Kaufman,Jack Finney,W.D. Richter,Donald Sutherland,Brooke Adams,Jeff Goldblum,Donald Sutherland,Brooke Adams,Jeff Goldblum,Veronica Cartwright,3500000.0,Philip Kaufman,24946533.0,7.4,75.0,42025,,0,0,9,3,1978-12-22,115.0,Invasion of the Body Snatchers,1978-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
