,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
5578,Fenton Bailey,Randy Barbato,Fenton Bailey,Randy Barbato,Macaulay Culkin,Wilson Cruz,Seth Green,Seth Green,Macaulay Culkin,Diana Scarwid,"$5,000,000",R,"Fenton Bailey, Randy Barbato","Biography, Crime, Drama, Thriller","$728,253,",6.3,36.0,13463,,0,0,4,0,2003-01-18,98.0,Party Monster,http://www.imdb.com/title/tt0320244/,2003
5579,Russell Mulcahy,Fred Dekker,Menno Meyjes,Denzel Washington,John Lithgow,Ice-T,Denzel Washington,John Lithgow,Ice-T,Kevin Pollak,,R,Russell Mulcahy,"Action, Crime, Drama, Thriller","$21,760,000",6.1,,13721,,0,0,0,0,1991-10-04,102.0,Ricochet,http://www.imdb.com/title/tt0102789/,1991
5580,Jackie Chan,Eric Tsang,Barry Wong,Edward Tang,Jackie Chan,Alan Tam,Rosamund Kwan,Jackie Chan,Alan Tam,Rosamund Kwan,"$15,000,000",R,"Jackie Chan, Eric Tsang","Action, Adventure, Comedy","$4,545,431",7.1,,14311,,0,0,1,0,1986-08-16,88.0,Lung hing foo dai,http://www.imdb.com/title/tt0091431/,1986
5581,Stuart Gordon,H.P. Lovecraft,Dennis Paoli,Ezra Godden,Francisco Rabal,Raquel Meroño,Ezra Godden,Francisco Rabal,Raquel Meroño,Macarena Gómez,"€4,200,000",R,Stuart Gordon,"Fantasy, Horror, Mystery, Thriller",,6.3,,13959,"$101,273 (Spain),",0,0,8,0,2001-10-12,95.0,Dagon,http://www.imdb.com/title/tt0264508/,2001
5582,Ulli Lommel,Ulli Lommel,Daniel Küblböck,Ulli Lommel,Rudolf Waldemar Brem,Daniel Küblböck,Ulli Lommel,Rudolf Waldemar Brem,Katja Rupé,Günther Küblböck,,NOT RATED,Ulli Lommel,"Comedy, Crime, Fantasy, Music",,1.9,,13477,,0,0,0,0,2004-08-12,81.0,Daniel der Zauberer,http://www.imdb.com/title/tt0421051/,2004
5583,Jack Sholder,Jim Kouf,Kyle MacLachlan,Michael Nouri,Claudia Christian,Kyle MacLachlan,Michael Nouri,Claudia Christian,Clarence Felder,Clu Gulager,,R,Jack Sholder,"Action, Crime, Horror, Sci-Fi, Thriller","$9,747,988",7.0,,14287,,0,0,6,4,1987-10-30,96.0,The Hidden,http://www.imdb.com/title/tt0093185/,1987
5584,Thomas Carter,Scott Marshall Smith,Scott Marshall Smith,Jim Caviezel,Alexander Ludwig,Michael Chiklis,Jim Caviezel,Michael Chiklis,Alexander Ludwig,Clancy Brown,"$15,000,000",PG,Thomas Carter,"Drama, Family, Sport","$30,127,963,",6.7,41.0,13827,,0,0,0,0,2014-08-04,115.0,When the Game Stands Tall,http://www.imdb.com/title/tt2247476/,2014
5585,Ertem Egilmez,Rifat Ilgaz,Sadik Sendil,Tayfun Akalin,Tuncay Akça,Halit Akçatepe,Tayfun Akalin,Tuncay Akça,Halit Akçatepe,Sitki Akçatepe,,NR,Ertem Egilmez,Comedy,,8.9,,14713,,0,0,0,0,1976-01-01,94.0,Hababam Sinifi Uyaniyor,http://www.imdb.com/title/tt0252490/,1976
5586,Paul Flaherty,Robert Conte,Peter Wortmann,John Candy,Jeffrey Jones,Annie Potts,John Candy,Jeffrey Jones,Annie Potts,Tim Thomerson,,PG-13,Paul Flaherty,"Comedy, Mystery","$10,982,364",5.8,44.0,13577,,0,0,0,0,1989-02-03,94.0,Who's Harry Crumb?,http://www.imdb.com/title/tt0098645/,1989
5587,Sohail Khan,A.R. Murugadoss,Dilip Shukla,Salman Khan,Tabu,Nadira Babbar,Salman Khan,Tabu,Nadira Babbar,Danny Denzongpa,"INR 750,000,000",NOT RATED,Sohail Khan,"Action, Drama","$1,246,151,",5.3,,14072,"INR 778,000,000 (India),",0,0,5,0,2014-01-23,135.0,Jai Ho,http://www.imdb.com/title/tt1188982/,2014
5588,Susan Seidelman,Fay Weldon,Barry Strugatz,Meryl Streep,Roseanne Barr,Ed Begley Jr.,Meryl Streep,Roseanne Barr,Ed Begley Jr.,Linda Hunt,,PG-13,Susan Seidelman,Comedy,"$15,351,421",5.5,,13714,,0,0,0,0,1989-12-06,99.0,She-Devil,http://www.imdb.com/title/tt0098309/,1989
5589,Peter Kassovitz,Jurek Becker,Peter Kassovitz,Robin Williams,Hannah Taylor Gordon,Éva Igó,Robin Williams,Hannah Taylor Gordon,Éva Igó,István Bálint,"$45,000,000",PG-13,Peter Kassovitz,"Drama, War","$4,956,401,",6.5,40.0,13522,,0,0,3,2,1999-09-16,120.0,Jakob the Liar,http://www.imdb.com/title/tt0120716/,1999
5590,Daniel Cohen,Daniel Cohen,Olivier Dazat,Jean Reno,Michaël Youn,Raphaëlle Agogué,Jean Reno,Michaël Youn,Raphaëlle Agogué,Julien Boisselier,,PG-13,Daniel Cohen,Comedy,"$342,667,",6.7,43.0,14051,,0,0,0,0,2012-01-21,84.0,Comme un chef,http://www.imdb.com/title/tt1911553/,2012
