,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
4001,Joe Dante,Gary Brandner,John Sayles,Dee Wallace,Patrick Macnee,Dennis Dugan,Dee Wallace,Patrick Macnee,Dennis Dugan,Christopher Stone,"$1,000,000",R,Joe Dante,Horror,"$17,986,000",6.6,,25290,,0,0,2,2,1981-01-21,91.0,The Howling,http://www.imdb.com/title/tt0082533/,1981
4002,Woody Allen,Woody Allen,Mickey Rose,Woody Allen,Janet Margolin,Marcel Hillaire,Woody Allen,Janet Margolin,Marcel Hillaire,Jacquelyn Hyde,"$1,500,000",M,Woody Allen,"Comedy, Crime",,7.3,67.0,24735,,0,0,3,0,1969-08-18,85.0,Take the Money and Run,http://www.imdb.com/title/tt0065063/,1969
4003,Pedro Almodóvar,Pedro Almodóvar,Jorge Guerricaechevarría,Liberto Rabal,Francesca Neri,Javier Bardem,Javier Bardem,Francesca Neri,Liberto Rabal,Ángela Molina,,R,Pedro Almod�var,Drama,"$1,535,558,",7.4,69.0,24614,,0,0,13,11,1997-10-10,103.0,Carne tr�mula,http://www.imdb.com/title/tt0118819/,1997
4004,Steve Shill,David Loughery,Beyoncé,Idris Elba,Ali Larter,Idris Elba,Beyoncé,Ali Larter,Jerry O'Connell,Bonnie Perlman,"$20,000,000",PG-13,Steve Shill,"Drama, Romance, Thriller","$73,830,340",4.9,25.0,25011,,0,0,8,4,2009-04-23,108.0,Obsessed,http://www.imdb.com/title/tt1198138/,2009
4005,J. Lee Thompson,Pierre Boulle,Paul Dehn,Roddy McDowall,Claude Akins,Natalie Trundy,Roddy McDowall,Claude Akins,Natalie Trundy,Severn Darden,"$1,800,000",G,J. Lee Thompson,"Action, Sci-Fi","$8,800,000",5.5,40.0,25270,,0,0,1,0,1973-06-15,93.0,Battle for the Planet of the Apes,http://www.imdb.com/title/tt0069768/,1973
4006,Álex de la Iglesia,Álex de la Iglesia,Jorge Guerricaechevarría,Elijah Wood,John Hurt,Leonor Watling,Elijah Wood,John Hurt,Leonor Watling,Julie Cox,,R,�lex de la Iglesia,"Crime, Mystery, Thriller",,6.1,,24608,,0,0,5,6,2008-01-17,104.0,The Oxford Murders,http://www.imdb.com/title/tt0488604/,2008
4007,Brett Ratner,Joel Cohen,Alec Sokolow,Charlie Sheen,Chris Tucker,Heather Locklear,Chris Tucker,Charlie Sheen,Heather Locklear,Elise Neal,"$25,000,000",R,Brett Ratner,"Action, Comedy, Crime, Thriller","$41,067,398,",6.2,,24148,,0,0,1,0,1997-08-22,97.0,Money Talks,http://www.imdb.com/title/tt0119695/,1997
4008,Michael Apted,Mark Handley,William Nicholson,Jodie Foster,Liam Neeson,Natasha Richardson,Jodie Foster,Liam Neeson,Natasha Richardson,Richard Libertini,"$31,000,000",PG-13,Michael Apted,Drama,"$106,683,817",6.5,,24321,,1,0,5,5,1994-12-14,112.0,Nell,http://www.imdb.com/title/tt0110638/,1994
4009,Emilio Estevez,Emilio Estevez,Jack Hitt,Martin Sheen,Emilio Estevez,Deborah Kara Unger,Martin Sheen,Emilio Estevez,Deborah Kara Unger,Yorick van Wageningen,,PG-13,Emilio Estevez,"Adventure, Comedy, Drama","$9,158,000,",7.4,64.0,25667,"$193,552 (Spain),",0,0,8,1,2010-09-10,123.0,The Way,http://www.imdb.com/title/tt1441912/,2010
4010,Brian Levant,Steven Gary Banks,Claudia Grazioso,Ice Cube,Nia Long,Aleisha Allen,Ice Cube,Nia Long,Aleisha Allen,Philip Bolden,"$32,000,000",PG,Brian Levant,"Adventure, Comedy, Family, Romance","$97,918,663",4.6,27.0,24939,,0,0,8,1,2005-01-21,95.0,Are We There Yet?,http://www.imdb.com/title/tt0368578/,2005
4011,Christopher Guest,Christopher Guest,Eugene Levy,Christopher Guest,Fred Willard,Catherine O'Hara,Deborah Theaker,Michael Hitchcock,Scott Williamson,Larry Miller,"$4,000,000",R,Christopher Guest,Comedy,"$2,923,982",7.6,71.0,23822,,0,0,3,2,1996-08-21,84.0,Waiting for Guffman,http://www.imdb.com/title/tt0118111/,1996
4012,Nicole Kassell,Gren Wells,Kate Hudson,Gael García Bernal,Kathy Bates,Kate Hudson,Gael García Bernal,Kathy Bates,Lucy Punch,Romany Malco,,PG-13,Nicole Kassell,"Comedy, Drama, Fantasy, Romance","$10,011,",6.3,14.0,25137,,0,0,0,0,2011-02-04,106.0,A Little Bit of Heaven,http://www.imdb.com/title/tt1440161/,2011
4013,Peter Medak,Dennis Feldman,Chris Brancato,Natasha Henstridge,Michael Madsen,Marg Helgenberger,Michael Madsen,Natasha Henstridge,Marg Helgenberger,Mykelti Williamson,,R,Peter Medak,"Action, Horror, Sci-Fi, Thriller","$7,600,000,",4.3,19.0,24226,,0,0,0,0,1998-04-10,93.0,Species II,http://www.imdb.com/title/tt0120841/,1998
4014,Sean McNamara,Mitch Rotter,Sam Schreiber,Hilary Duff,John Corbett,Rebecca De Mornay,Hilary Duff,Oliver James,David Keith,Dana Davis,"$15,000,000",PG,Sean McNamara,"Family, Music, Romance","$10,411,980,",5.9,33.0,24253,,0,0,3,2,2004-10-03,103.0,Raise Your Voice,http://www.imdb.com/title/tt0361696/,2004
4015,Brian Robbins,Daniel Coyle,John Gatins,Keanu Reeves,Diane Lane,John Hawkes,Keanu Reeves,Diane Lane,John Hawkes,Bryan Hearne,"$32,000,000",PG-13,Brian Robbins,"Drama, Sport","$40,219,708,",6.4,48.0,24194,,0,0,2,0,2001-09-10,106.0,Hard Ball,http://www.imdb.com/title/tt0180734/,2001
4016,Garry Marshall,Terrence McNally,Terrence McNally,Al Pacino,Michelle Pfeiffer,Hector Elizondo,Al Pacino,Michelle Pfeiffer,Hector Elizondo,Nathan Lane,"$29,000,000",R,Garry Marshall,"Comedy, Drama, Romance","$22,773,535",6.7,66.0,24735,,0,0,1,4,1991-10-11,118.0,Frankie and Johnny,http://www.imdb.com/title/tt0101912/,1991
4017,Mel Gibson,Isabelle Holland,Malcolm MacRury,Mel Gibson,Nick Stahl,Margaret Whitton,Mel Gibson,Nick Stahl,Margaret Whitton,Fay Masterson,,PG-13,Mel Gibson,Drama,"$24,760,338",6.7,62.0,24638,,0,0,3,0,1993-08-25,115.0,The Man Without a Face,http://www.imdb.com/title/tt0107501/,1993
4018,Jessica Bendinger,Jessica Bendinger,Missy Peregrym,Jeff Bridges,Vanessa Lengies,Jeff Bridges,Missy Peregrym,Vanessa Lengies,Nikki SooHoo,Maddy Curley,,PG-13,Jessica Bendinger,"Comedy, Drama, Sport","$26,870,825,",6.4,53.0,24143,,0,0,0,0,2006-04-21,103.0,Stick It,http://www.imdb.com/title/tt0430634/,2006
4019,Paul Weitz,Paul Weitz,Hugh Grant,Dennis Quaid,Mandy Moore,Hugh Grant,Dennis Quaid,Mandy Moore,Willem Dafoe,Chris Klein,"$17,000,000",PG-13,Paul Weitz,"Comedy, Music","$14,560,987,",5.5,45.0,23286,,0,0,1,0,2006-03-04,107.0,American Dreamz,http://www.imdb.com/title/tt0465142/,2006
4020,Peter O'Fallon,Josh McKinney,Gina Goldman,Christopher Walken,Denis Leary,Sean Patrick Flanery,Mark Watson,Christopher Walken,Denis Leary,Nina Siemaszko,"$5,000,000",R,Peter O'Fallon,"Comedy, Drama, Mystery, Thriller, Crime","$1,692,872,",7.0,43.0,23671,,0,0,0,0,1997-09-06,106.0,Suicide Kings,http://www.imdb.com/title/tt0120241/,1997
4021,Eric Heisserer,Eric Heisserer,Paul Walker,Genesis Rodriguez,Nancy Nave,Paul Walker,Genesis Rodriguez,Nancy Nave,Shane Jacobsen,Natalia Safran,"$4,000,000",PG-13,Eric Heisserer,"Drama, Thriller",,6.5,55.0,24734,,0,0,1,0,2013-03-10,97.0,Hours,http://www.imdb.com/title/tt2094018/,2013
4022,Cameron Crowe,Cameron Crowe,Bridget Fonda,Campbell Scott,Kyra Sedgwick,Bridget Fonda,Campbell Scott,Kyra Sedgwick,Sheila Kelley,Jim True-Frost,,PG-13,Cameron Crowe,"Comedy, Drama, Romance","$18,472,850",6.7,,24450,,0,0,3,1,1992-09-18,99.0,Singles,http://www.imdb.com/title/tt0105415/,1992
4023,Martin Campbell,Caspian Tredwell-Owen,Clive Owen,Angelina Jolie,Linus Roache,Angelina Jolie,Clive Owen,Teri Polo,Linus Roache,Noah Emmerich,"$35,000,000",R,Martin Campbell,"Adventure, Drama, Romance, War","$4,426,297,",6.5,32.0,24084,,0,0,2,0,2003-10-24,127.0,Beyond Borders,http://www.imdb.com/title/tt0294357/,2003
4024,Boris Sagal,John William Corrington,Joyce Hooper Corrington,Charlton Heston,Anthony Zerbe,Rosalind Cash,Charlton Heston,Anthony Zerbe,Rosalind Cash,Paul Koslo,,GP,Boris Sagal,"Action, Sci-Fi, Thriller","$8,720,000",6.6,,25018,,0,0,1,0,1971-08-01,98.0,The Omega Man,http://www.imdb.com/title/tt0067525/,1971
4025,Ridley Scott,Rose Bosch,Gérard Depardieu,Armand Assante,Sigourney Weaver,Gérard Depardieu,Armand Assante,Sigourney Weaver,Loren Dean,Ángela Molina,"$47,000,000",PG-13,Ridley Scott,"Adventure, Biography, Drama, History","$7,191,399",6.5,47.0,24572,,0,0,1,0,1992-10-08,154.0,1492: Conquest of Paradise,http://www.imdb.com/title/tt0103594/,1992
4026,Danny Steinmann,Martin Kitrosser,David Cohen,Melanie Kinnaman,John Shepherd,Anthony Barrile,Anthony Barrile,Suzanne Bateman,Dominick Brascia,Todd Bryant,"$2,200,000",R,Danny Steinmann,"Horror, Mystery, Thriller","$21,930,418",4.8,,25964,,0,0,2,0,1985-03-22,92.0,Friday the 13th: A New Beginning,http://www.imdb.com/title/tt0089173/,1985
4027,Howard Hawks,Charles Lederer,Joseph Fields,Jane Russell,Marilyn Monroe,Charles Coburn,Jane Russell,Marilyn Monroe,Charles Coburn,Elliott Reid,"$2,260,000",NOT RATED,Howard Hawks,"Comedy, Musical, Romance","$12,000,000",7.2,,25771,,0,0,1,0,1953-07-01,91.0,Gentlemen Prefer Blondes,http://www.imdb.com/title/tt0045810/,1953
4028,Sarah Polley,Sarah Polley,Michelle Williams,Seth Rogen,Sarah Silverman,Michelle Williams,Seth Rogen,Luke Kirby,Sarah Silverman,Jennifer Podemski,,R,Sarah Polley,"Comedy, Drama","$1,237,514,",6.6,68.0,24481,,0,0,18,3,2011-09-10,116.0,Take This Waltz,http://www.imdb.com/title/tt1592281/,2011
4029,John Guillermin,James Ashmore Creelman,Ruth Rose,Jeff Bridges,Charles Grodin,Jessica Lange,Jeff Bridges,Charles Grodin,Jessica Lange,John Randolph,"$24,000,000",PG,John Guillermin,"Adventure, Horror","$90,614,445",5.8,,25546,,2,0,1,5,1976-09-08,134.0,King Kong,http://www.imdb.com/title/tt0074751/,1976
4030,Don Coscarelli,Don Coscarelli,A. Michael Baldwin,Bill Thornbury,Reggie Bannister,A. Michael Baldwin,Bill Thornbury,Reggie Bannister,Kathy Lester,Terrie Kalbus,"$300,000",R,Don Coscarelli,"Horror, Sci-Fi","$11,988,469",6.8,72.0,25991,,0,0,1,2,1979-01-01,88.0,Phantasm,http://www.imdb.com/title/tt0079714/,1979
4031,Dwight H. Little,Alan B. McElroy,Jon Foo,Kelly Overton,Cary-Hiroyuki Tagawa,Jon Foo,Kelly Overton,Cary-Hiroyuki Tagawa,Ian Anthony Dale,Cung Le,"$30,000,000",R,Dwight H. Little,"Action, Crime, Drama, Sci-Fi, Thriller",,4.8,,23799,,0,0,0,0,2010-03-20,87.0,Tekken,http://www.imdb.com/title/tt0411951/,2010
4032,Penny Marshall,Beverly D'Onofrio,Morgan Ward,Drew Barrymore,Steve Zahn,Adam Garcia,Drew Barrymore,Steve Zahn,Adam Garcia,Brittany Murphy,"$48,000,000",PG-13,Penny Marshall,"Biography, Comedy, Drama","$35,743,308",6.5,43.0,24175,,0,0,2,2,2001-10-19,132.0,Riding in Cars with Boys,http://www.imdb.com/title/tt0200027/,2001
4033,John Madden,Ol Parker,Ol Parker,Judi Dench,Maggie Smith,Bill Nighy,Dev Patel,Maggie Smith,Danny Mahoney,David Strathairn,"$10,000,000",PG,John Madden,"Comedy, Drama","$90,384,306",6.6,51.0,26572,,0,0,2,0,2015-02-26,122.0,The Second Best Exotic Marigold Hotel,http://www.imdb.com/title/tt2555736/,2015
4034,Nick Hamm,Mark Bomback,Robert De Niro,Greg Kinnear,Rebecca Romijn,Greg Kinnear,Rebecca Romijn,Robert De Niro,Cameron Bright,Merwin Mondesir,"$25,000,000",PG-13,Nick Hamm,"Action, Drama, Fantasy, Horror, Sci-Fi, Thriller","$14,379,751",4.8,24.0,23293,,0,0,0,0,2004-04-30,102.0,Godsend,http://www.imdb.com/title/tt0335121/,2004
4035,Shûsuke Kaneko,Tsugumi Ôba,Takeshi Obata,Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto,Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto,Shigeki Hosokawa,"$20,000,000",NOT RATED,Sh�suke Kaneko,"Crime, Drama, Fantasy, Mystery, Thriller",,7.8,,25363,,0,0,2,4,2006-06-17,126.0,Death Note,http://www.imdb.com/title/tt0758742/,2006
4036,Christopher Guest,Christopher Guest,Eugene Levy,Christopher Guest,Eugene Levy,Michael McKean,Jim Moret,Stuart Luce,Mary Gross,Marty Belafsky,,PG-13,Christopher Guest,"Comedy, Music","$17,508,936,",7.3,81.0,23447,,1,0,27,14,2003-03-12,91.0,A Mighty Wind,http://www.imdb.com/title/tt0310281/,2003
4037,Harry Hook,William Golding,Jay Presson Allen,Balthazar Getty,Chris Furrh,Danuel Pipoly,Balthazar Getty,Chris Furrh,Danuel Pipoly,James Badge Dale,,R,Harry Hook,"Adventure, Drama, Thriller","$13,985,225",6.4,,24387,,0,0,3,0,1990-03-16,90.0,Lord of the Flies,http://www.imdb.com/title/tt0100054/,1990
4038,Andrew Davis,Andrew Davis,Steven Seagal,Steven Seagal,Pam Grier,Henry Silva,Steven Seagal,Pam Grier,Henry Silva,Ron Dean,"$7,500,000",R,Andrew Davis,"Action, Crime, Drama, Mystery, Thriller","$18,869,631",6.0,,24438,,0,0,0,0,1988-04-08,99.0,Above the Law,http://www.imdb.com/title/tt0094602/,1988
4039,Dennis Dugan,Scott Alexander,Larry Karaszewski,Michael Oliver,John Ritter,Jack Warden,John Ritter,Jack Warden,Michael Oliver,Gilbert Gottfried,"$10,000,000",PG,Dennis Dugan,"Comedy, Family","$72,270,900",5.3,27.0,24395,,0,0,1,0,1990-07-27,81.0,Problem Child,http://www.imdb.com/title/tt0100419/,1990
4040,Michael Lehmann,Audrey Wells,Uma Thurman,Janeane Garofalo,Ben Chaplin,Uma Thurman,Janeane Garofalo,Ben Chaplin,Jamie Foxx,James McCaffrey,,PG-13,Michael Lehmann,"Comedy, Romance","$34,073,143,",6.3,64.0,23252,,0,0,2,0,1996-04-26,97.0,The Truth About Cats & Dogs,http://www.imdb.com/title/tt0117979/,1996
4041,Gary Fleder,Scott Rosenberg,Andy Garcia,Christopher Walken,Christopher Lloyd,Andy Garcia,Christopher Lloyd,William Forsythe,Bill Nunn,Treat Williams,"$7,000,000",R,Gary Fleder,"Crime, Drama","$529,766",6.8,46.0,23600,,0,0,0,2,1995-05-01,115.0,Things to Do in Denver When You're Dead,http://www.imdb.com/title/tt0114660/,1995
4042,Sngmoo Lee,Sngmoo Lee,Dong-gun Jang,Kate Bosworth,Geoffrey Rush,Dong-gun Jang,Kate Bosworth,Geoffrey Rush,Danny Huston,Tony Cox,"$45,000,000",R,Sngmoo Lee,"Action, Fantasy, Western","$11,087,569,",6.3,45.0,23365,,0,0,0,0,2010-12-01,100.0,The Warrior's Way,http://www.imdb.com/title/tt1032751/,2010
4043,Sanaa Hamri,Elizabeth Chandler,Ann Brashares,America Ferrera,Alexis Bledel,Amber Tamblyn,Amber Tamblyn,Alexis Bledel,America Ferrera,Blake Lively,,PG-13,Sanaa Hamri,"Comedy, Drama, Family, Romance","$44,087,387,",6.2,63.0,24068,,0,0,1,0,2008-08-06,119.0,The Sisterhood of the Traveling Pants 2,http://www.imdb.com/title/tt1018785/,2008
4044,Don Taylor,Mike Hodges,Harvey Bernhard,David Seltzer,William Holden,Lee Grant,Jonathan Scott-Taylor,William Holden,Lee Grant,Jonathan Scott-Taylor,"$6,800,000",R,"Don Taylor, Mike Hodges",Horror,"$26,518,355,",6.3,,24621,,0,0,1,3,1978-06-05,107.0,Damien: Omen II,http://www.imdb.com/title/tt0077394/,1978
4045,Tom Ropelewski,Tom Ropelewski,Leslie Dixon,John Travolta,Kirstie Alley,David Gallagher,John Travolta,Kirstie Alley,David Gallagher,Tabitha Lupien,,PG-13,Tom Ropelewski,"Comedy, Family, Romance","$10,340,263",4.2,,24181,,0,0,4,1,1993-11-05,96.0,Look Who's Talking Now,http://www.imdb.com/title/tt0107438/,1993
4046,Marc Rothemund,Fred Breinersdorfer,Julia Jentsch,Fabian Hinrichs,Alexander Held,Julia Jentsch,Alexander Held,Fabian Hinrichs,Johanna Gastdorf,André Hennicke,,NOT RATED,Marc Rothemund,"Biography, Crime, Drama, History, Thriller, War","$676,167,",7.6,76.0,23821,"$701,656 (Germany),",1,0,12,22,2005-02-13,120.0,Sophie Scholl - Die letzten Tage,http://www.imdb.com/title/tt0426578/,2005
4047,Bill Paxton,Mark Frost,Mark Frost,Shia LaBeouf,Stephen Dillane,Elias Koteas,James Paxton,Tom Rack,Armand Laroche,Peter Hurley,"$26,000,000",PG,Bill Paxton,"Biography, Drama, History, Sport","$15,331,289,",7.5,55.0,24184,,0,0,3,0,2005-09-30,120.0,The Greatest Game Ever Played,http://www.imdb.com/title/tt0388980/,2005
4048,Hossein Amini,Hossein Amini,Patricia Highsmith,Viggo Mortensen,Kirsten Dunst,Oscar Isaac,Oscar Isaac,Viggo Mortensen,Kirsten Dunst,Daisy Bevan,,PG-13,Hossein Amini,"Romance, Thriller","$506,067,",6.2,66.0,25387,"$552,137 (United Kingdom),",0,0,3,0,2014-02-11,96.0,The Two Faces of January,http://www.imdb.com/title/tt1976000/,2014
4049,François Ozon,Juan Mayorga,François Ozon,Fabrice Luchini,Vincent Schmitt,Ernst Umhauer,Fabrice Luchini,Ernst Umhauer,Kristin Scott Thomas,Emmanuelle Seigner,,R,Fran�ois Ozon,"Comedy, Drama, Mystery, Thriller","$354,244,",7.4,72.0,25368,,0,0,22,9,2012-09-10,105.0,Dans la maison,http://www.imdb.com/title/tt1964624/,2012
4050,Farah Khan,Farah Khan,Abbas Tyrewala,Shah Rukh Khan,Sushmita Sen,Sunil Shetty,Shah Rukh Khan,Sushmita Sen,Sunil Shetty,Zayed Khan,,NOT RATED,Farah Khan,"Action, Comedy, Crime, Drama, Musical, Romance","$1,722,450,",7.0,,26897,"INR 129,367,000 (India),",0,0,34,8,2004-04-30,179.0,Main Hoon Na,http://www.imdb.com/title/tt0347473/,2004
4051,Dwight H. Little,Hans Bauer,Jim Cash,Morris Chestnut,KaDee Strickland,Eugene Byrd,Johnny Messner,KaDee Strickland,Matthew Marsden,Nicholas Gonzalez,"$25,000,000",PG-13,Dwight H. Little,"Action, Adventure, Horror, Thriller","$38,753,975",4.6,40.0,24303,,0,0,2,0,2004-08-25,97.0,Anacondas: The Hunt for the Blood Orchid,http://www.imdb.com/title/tt0366174/,2004
4052,Tigmanshu Dhulia,Sanjay Chauhan,Tigmanshu Dhulia,Irrfan Khan,Ravi Bhushan Bhartiya,Hemendra Dandotiya,Irrfan Khan,Ravi Bhushan Bhartiya,Hemendra Dandotiya,Mahie Gill,,NOT RATED,Tigmanshu Dhulia,"Action, Biography, Crime, Sport, Thriller","$39,567,",8.3,,26666,,0,0,8,6,2012-03-02,135.0,Paan Singh Tomar,http://www.imdb.com/title/tt1620933/,2012
4053,William Dear,Dorothy Kingsley,George Wells,Danny Glover,Brenda Fricker,Tony Danza,Danny Glover,Brenda Fricker,Tony Danza,Christopher Lloyd,"$24,000,000",PG,William Dear,"Comedy, Family, Fantasy, Sport","$50,236,831",6.1,,24374,,0,0,4,1,1994-07-10,102.0,Angels in the Outfield,http://www.imdb.com/title/tt0109127/,1994
4054,John McTiernan,William Harrison,William Harrison,Chris Klein,Jean Reno,LL Cool J,Chris Klein,Jean Reno,LL Cool J,Rebecca Romijn,"$70,000,000",R,John McTiernan,"Action, Sci-Fi, Sport","$25,852,764,",3.0,14.0,23185,,0,0,3,5,2002-02-08,98.0,Rollerball,http://www.imdb.com/title/tt0246894/,2002
4055,James Merendino,James Merendino,Matthew Lillard,Michael A. Goorjian,Annabeth Gish,Matthew Lillard,Michael A. Goorjian,Annabeth Gish,Jennifer Lien,Christopher McDonald,,R,James Merendino,"Comedy, Drama, Music, Romance","$299,200,",7.5,50.0,23501,,0,0,6,2,1998-09-24,97.0,SLC Punk!,http://www.imdb.com/title/tt0133189/,1998
4056,Matthew Bright,Matthew Bright,Reese Witherspoon,Kiefer Sutherland,Bokeem Woodbine,Kiefer Sutherland,Reese Witherspoon,Bokeem Woodbine,Paul Perri,Robert Peters,"$3,000,000",R,Matthew Bright,"Comedy, Crime, Drama, Thriller","$295,493,",6.9,61.0,23412,,0,0,4,6,1996-01-01,102.0,Freeway,http://www.imdb.com/title/tt0116361/,1996
4057,Jay Roach,David E. Kelley,Sean O'Byrne,Russell Crowe,Burt Reynolds,Hank Azaria,Russell Crowe,Hank Azaria,Mary McCormack,Burt Reynolds,"$28,000,000",R,Jay Roach,"Comedy, Drama, Sport","$8,888,143,",6.7,49.0,23283,,0,0,1,0,1999-10-01,119.0,"Mystery, Alaska",http://www.imdb.com/title/tt0134618/,1999
4058,Dito Montiel,Dito Montiel,Dito Montiel,Robert Downey Jr.,Rosario Dawson,Shia LaBeouf,Dianne Wiest,Robert Downey Jr.,Shia LaBeouf,Melonie Diaz,,R,Dito Montiel,"Crime, Drama","$516,139,",7.0,67.0,23196,,0,0,9,7,2006-01-01,100.0,A Guide to Recognizing Your Saints,http://www.imdb.com/title/tt0473488/,2006
4059,Bruce McDonald,Tony Burgess,Tony Burgess,Stephen McHattie,Lisa Houle,Georgina Reilly,Stephen McHattie,Lisa Houle,Georgina Reilly,Hrant Alianak,"$1,500,000",NOT RATED,Bruce McDonald,"Fantasy, Horror","$3,478,",6.7,54.0,24960,,0,0,10,1,2008-09-06,93.0,Pontypool,http://www.imdb.com/title/tt1226681/,2008
4060,Julian Gilbey,Julian Gilbey,Will Gilbey,Alec Newman,Ed Speleers,Melissa George,Alec Newman,Ed Speleers,Melissa George,Kate Magowan,"$4,000,000",R,Julian Gilbey,"Adventure, Crime, Thriller",,6.3,,24018,"$176,801 (United Kingdom),",0,0,1,7,2011-04-09,99.0,A Lonely Place to Die,http://www.imdb.com/title/tt1422136/,2011
4061,Joe Charbanic,Darcy Meyers,David Elliot,James Spader,Keanu Reeves,Marisa Tomei,James Spader,Marisa Tomei,Keanu Reeves,Ernie Hudson,"$30,000,000",R,Joe Charbanic,"Crime, Horror, Mystery, Thriller","$28,927,720,",5.3,22.0,23334,,0,0,1,0,2000-09-07,97.0,The Watcher,http://www.imdb.com/title/tt0204626/,2000
4062,Tim Story,Mark Brown,Mark Brown,Ice Cube,Cedric the Entertainer,Eve,Ice Cube,Anthony Anderson,Cedric the Entertainer,Sean Patrick Thomas,"$12,000,000",PG-13,Tim Story,"Comedy, Drama","$77,063,924",6.3,66.0,24905,,0,0,17,1,2002-08-07,102.0,Barbershop,http://www.imdb.com/title/tt0303714/,2002
4063,Shane Carruth,Shane Carruth,Amy Seimetz,Frank Mosley,Shane Carruth,Amy Seimetz,Shane Carruth,Andrew Sensenig,Thiago Martins,Kathy Carruth,"$50,000",NOT RATED,Shane Carruth,"Drama, Sci-Fi","$444,098,",6.7,81.0,26395,,0,0,34,5,2013-01-21,96.0,Upstream Color,http://www.imdb.com/title/tt2084989/,2013
4064,Courtney Solomon,Brent Monahan,Courtney Solomon,Donald Sutherland,Sissy Spacek,Rachel Hurd-Wood,Donald Sutherland,Sissy Spacek,James D'Arcy,Rachel Hurd-Wood,"$14,000,000",PG-13,Courtney Solomon,"Horror, Mystery, Thriller","$29,612,137",5.0,38.0,23117,"£541,446 (United Kingdom),",0,0,5,0,2005-11-05,83.0,An American Haunting,http://www.imdb.com/title/tt0429573/,2005
4065,Steven Spielberg,Jerry Belson,Dalton Trumbo,Richard Dreyfuss,Holly Hunter,Brad Johnson,Richard Dreyfuss,Holly Hunter,Brad Johnson,John Goodman,"$31,000,000",PG,Steven Spielberg,"Fantasy, Romance","$74,134,790,",6.4,50.0,24251,,0,0,3,0,1989-12-22,122.0,Always,http://www.imdb.com/title/tt0096794/,1989
4066,Werner Herzog,Werner Herzog,Klaus Kinski,Claudia Cardinale,José Lewgoy,Klaus Kinski,Claudia Cardinale,José Lewgoy,Miguel Ángel Fuentes,Paul Hittscher,,PG,Werner Herzog,"Adventure, Drama",,8.1,,25079,,0,0,3,4,1982-03-04,158.0,Fitzcarraldo,http://www.imdb.com/title/tt0083946/,1982
4067,Richard Benjamin,Patty Dann,June Roberts,Cher,Bob Hoskins,Winona Ryder,Cher,Bob Hoskins,Winona Ryder,Michael Schoeffling,"$31,000,000",PG-13,Richard Benjamin,"Comedy, Drama, Romance","$35,419,397",6.6,56.0,24249,,0,0,0,4,1990-12-14,110.0,Mermaids,http://www.imdb.com/title/tt0100140/,1990
4068,Richard Fleischer,Earl Felton,Kirk Douglas,James Mason,Paul Lukas,Kirk Douglas,James Mason,Paul Lukas,Peter Lorre,Robert J. Wilke,"$5,000,000",G,Richard Fleischer,"Adventure, Drama, Family, Fantasy, Sci-Fi","$28,200,000",7.2,,24255,,0,2,3,2,1954-12-23,127.0,"20,000 Leagues Under the Sea",http://www.imdb.com/title/tt0046672/,1954
4069,Kenneth Lonergan,Kenneth Lonergan,Laura Linney,Matthew Broderick,Amy Ryan,Amy Ryan,Michael Countryman,Adam LeFevre,Halley Feiffer,Whitney Vance,"$1,200,000",R,Kenneth Lonergan,Drama,"$9,180,275,",7.7,85.0,24734,,2,0,41,30,2000-01-21,111.0,You Can Count on Me,http://www.imdb.com/title/tt0203230/,2000
4070,Eugenio Derbez,Guillermo Ríos,Leticia López Margalli,Eugenio Derbez,Karla Souza,Jessica Lindsey,Andrés Vázquez,Hugo Stiglitz,Eugenio Derbez,Leia Freitas,"$5,000,000",PG-13,Eugenio Derbez,"Comedy, Drama","$99,067,206",7.6,55.0,24837,,0,0,2,5,2013-08-30,115.0,No se aceptan devoluciones,http://www.imdb.com/title/tt2378281/,2013
4071,Ken Hughes,John Huston,Wolf Mankowitz,John Law,David Niven,Peter Sellers,Ursula Andress,Peter Sellers,Ursula Andress,David Niven,"$12,000,000",NOT RATED,"Robert Parrish, Ken Hughes, Richard Talmadge, Joseph McGrath, John Huston",Comedy,"$41,744,718,",5.2,,23598,,1,0,3,0,1967-04-13,131.0,Casino Royale,http://www.imdb.com/title/tt0061452/,1967
4072,Ted Berman,Richard Rich,Lloyd Alexander,David Jonas,Grant Bardsley,Freddie Jones,Susan Sheridan,Grant Bardsley,Susan Sheridan,Freddie Jones,"$44,000,000",PG,"Ted Berman, Richard Rich","Animation, Action, Adventure, Family, Fantasy, Horror","$21,288,692",6.5,,24958,,0,0,0,0,1985-07-24,80.0,The Black Cauldron,http://www.imdb.com/title/tt0088814/,1985
