,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: War,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre: Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: UNRATED,Content Rating: APPROVED,Content Rating: M/PG,Content Rating: NOT RATED,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
0,Joe Dante,Gary Brandner,John Sayles,Dee Wallace,Patrick Macnee,Dennis Dugan,Dee Wallace,Patrick Macnee,Dennis Dugan,Christopher Stone,1000000.0,Joe Dante,17986000.0,6.6,nan,25290,,0,0,2,2,1981-01-21,91.0,The Howling,1981-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,16986000.0,2712884.24525708,48793936.035193846,,46081051.789936766
1,Woody Allen,Woody Allen,Mickey Rose,Woody Allen,Janet Margolin,Marcel Hillaire,Woody Allen,Janet Margolin,Marcel Hillaire,Jacquelyn Hyde,1500000.0,Woody Allen,,7.3,67.0,24735,,0,0,3,0,1969-08-18,85.0,Take the Money and Run,1969-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1960,,10086419.810094176,,,
2,Pedro Almodóvar,Pedro Almodóvar,Jorge Guerricaechevarría,Liberto Rabal,Francesca Neri,Javier Bardem,Javier Bardem,Francesca Neri,Liberto Rabal,Ángela Molina,,Pedro Almod�var,1535558.0,7.4,69.0,24614,,0,0,13,11,1997-10-10,103.0,Carne tr�mula,1997-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,2359721.043858432,,
3,Steve Shill,David Loughery,Beyoncé,Idris Elba,Ali Larter,Idris Elba,Beyoncé,Ali Larter,Jerry O'Connell,Bonnie Perlman,20000000.0,Steve Shill,73830340.0,4.9,25.0,25011,,0,0,8,4,2009-04-23,108.0,Obsessed,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,53830340.0,22995473.97418627,84888183.09876618,,61892709.124579914
4,J. Lee Thompson,Pierre Boulle,Paul Dehn,Roddy McDowall,Claude Akins,Natalie Trundy,Roddy McDowall,Claude Akins,Natalie Trundy,Severn Darden,1800000.0,J. Lee Thompson,8800000.0,5.5,40.0,25270,,0,0,1,0,1973-06-15,93.0,Battle for the Planet of the Apes,1973-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1970,7000000.0,10000094.594594594,48889351.35135135,,38889256.75675676
5,Álex de la Iglesia,Álex de la Iglesia,Jorge Guerricaechevarría,Elijah Wood,John Hurt,Leonor Watling,Elijah Wood,John Hurt,Leonor Watling,Julie Cox,,�lex de la Iglesia,,6.1,nan,24608,,0,0,5,6,2008-01-17,104.0,The Oxford Murders,2008-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,,,
6,Brett Ratner,Joel Cohen,Alec Sokolow,Charlie Sheen,Chris Tucker,Heather Locklear,Chris Tucker,Charlie Sheen,Heather Locklear,Elise Neal,25000000.0,Brett Ratner,41067398.0,6.2,nan,24148,,0,0,1,0,1997-08-22,97.0,Money Talks,1997-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,16067398.0,38417973.203526534,63109047.836102374,,24691074.632575832
7,Michael Apted,Mark Handley,William Nicholson,Jodie Foster,Liam Neeson,Natasha Richardson,Jodie Foster,Liam Neeson,Natasha Richardson,Richard Libertini,31000000.0,Michael Apted,106683817.0,6.5,nan,24321,,1,0,5,5,1994-12-14,112.0,Nell,1994-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,75683817.0,51588726.59807725,177538137.66620344,,125949411.06812617
8,Emilio Estevez,Emilio Estevez,Jack Hitt,Martin Sheen,Emilio Estevez,Deborah Kara Unger,Martin Sheen,Emilio Estevez,Deborah Kara Unger,Yorick van Wageningen,,Emilio Estevez,9158000.0,7.4,64.0,25667,193552.0,0,0,8,1,2010-09-10,123.0,The Way,2010-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,,,10359723.565789444,218950.12181761066,
9,Brian Levant,Steven Gary Banks,Claudia Grazioso,Ice Cube,Nia Long,Aleisha Allen,Ice Cube,Nia Long,Aleisha Allen,Philip Bolden,32000000.0,Brian Levant,97918663.0,4.6,27.0,24939,,0,0,8,1,2005-01-21,95.0,Are We There Yet?,2005-01-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,65918663.0,40418560.266196966,123679105.67659159,,83260545.41039462
10,Christopher Guest,Christopher Guest,Eugene Levy,Christopher Guest,Fred Willard,Catherine O'Hara,Deborah Theaker,Michael Hitchcock,Scott Williamson,Larry Miller,4000000.0,Christopher Guest,2923982.0,7.6,71.0,23822,,0,0,3,2,1996-08-21,84.0,Waiting for Guffman,1996-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,-1076018.0,6290570.608861971,4598378.807510361,,-1692191.80135161
11,Nicole Kassell,Gren Wells,Kate Hudson,Gael García Bernal,Kathy Bates,Kate Hudson,Gael García Bernal,Kathy Bates,Lucy Punch,Romany Malco,,Nicole Kassell,10011.0,6.3,14.0,25137,,0,0,0,0,2011-02-04,106.0,A Little Bit of Heaven,2011-01-01,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,,,10978.094189765665,,
12,Peter Medak,Dennis Feldman,Chris Brancato,Natasha Henstridge,Michael Madsen,Marg Helgenberger,Michael Madsen,Natasha Henstridge,Marg Helgenberger,Mykelti Williamson,,Peter Medak,7600000.0,4.3,19.0,24226,,0,0,0,0,1998-04-10,93.0,Species II,1998-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,11500543.328357557,,
13,Sean McNamara,Mitch Rotter,Sam Schreiber,Hilary Duff,John Corbett,Rebecca De Mornay,Hilary Duff,Oliver James,David Keith,Dana Davis,15000000.0,Sean McNamara,10411980.0,5.9,33.0,24253,,0,0,3,2,2004-10-03,103.0,Raise Your Voice,2004-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,-4588020.0,19588996.738655075,13597349.484196125,,-5991647.254458952
14,Brian Robbins,Daniel Coyle,John Gatins,Keanu Reeves,Diane Lane,John Hawkes,Keanu Reeves,Diane Lane,John Hawkes,Bryan Hearne,32000000.0,Brian Robbins,40219708.0,6.4,48.0,24194,,0,0,2,0,2001-09-10,106.0,Hard Ball,2001-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,8219708.0,44578734.93136696,56029490.6859056,,11450755.75453864
15,Garry Marshall,Terrence McNally,Terrence McNally,Al Pacino,Michelle Pfeiffer,Hector Elizondo,Al Pacino,Michelle Pfeiffer,Hector Elizondo,Nathan Lane,29000000.0,Garry Marshall,22773535.0,6.7,66.0,24735,,0,0,1,4,1991-10-11,118.0,Frankie and Johnny,1991-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,-6226465.0,52524513.23440629,41247201.396610856,,-11277311.837795435
16,Mel Gibson,Isabelle Holland,Malcolm MacRury,Mel Gibson,Nick Stahl,Margaret Whitton,Mel Gibson,Nick Stahl,Margaret Whitton,Fay Masterson,,Mel Gibson,24760338.0,6.7,62.0,24638,,0,0,3,0,1993-08-25,115.0,The Man Without a Face,1993-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,,,42279373.39854384,,
17,Jessica Bendinger,Jessica Bendinger,Missy Peregrym,Jeff Bridges,Vanessa Lengies,Jeff Bridges,Missy Peregrym,Vanessa Lengies,Nikki SooHoo,Maddy Curley,,Jessica Bendinger,26870825.0,6.4,53.0,24143,,0,0,0,0,2006-04-21,103.0,Stick It,2006-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,32879332.962650687,,
18,Paul Weitz,Paul Weitz,Hugh Grant,Dennis Quaid,Mandy Moore,Hugh Grant,Dennis Quaid,Mandy Moore,Willem Dafoe,Chris Klein,17000000.0,Paul Weitz,14560987.0,5.5,45.0,23286,,0,0,1,0,2006-03-04,107.0,American Dreamz,2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,-2439013.0,20801321.149055216,17816927.46083636,,-2984393.6882188595
19,Peter O'Fallon,Josh McKinney,Gina Goldman,Christopher Walken,Denis Leary,Sean Patrick Flanery,Mark Watson,Christopher Walken,Denis Leary,Nina Siemaszko,5000000.0,Peter O'Fallon,1692872.0,7.0,43.0,23671,,0,0,0,0,1997-09-06,106.0,Suicide Kings,1997-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,-3307128.0,7683594.640705307,2601468.445320015,,-5082126.195385292
20,Eric Heisserer,Eric Heisserer,Paul Walker,Genesis Rodriguez,Nancy Nave,Paul Walker,Genesis Rodriguez,Nancy Nave,Shane Jacobsen,Natalia Safran,4000000.0,Eric Heisserer,,6.5,55.0,24734,,0,0,1,0,2013-03-10,97.0,Hours,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,,4235441.077914628,,,
21,Cameron Crowe,Cameron Crowe,Bridget Fonda,Campbell Scott,Kyra Sedgwick,Bridget Fonda,Campbell Scott,Kyra Sedgwick,Sheila Kelley,Jim True-Frost,,Cameron Crowe,18472850.0,6.7,nan,24450,,0,0,3,1,1992-09-18,99.0,Singles,1992-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,,,32474256.57845962,,
22,Martin Campbell,Caspian Tredwell-Owen,Clive Owen,Angelina Jolie,Linus Roache,Angelina Jolie,Clive Owen,Teri Polo,Linus Roache,Noah Emmerich,35000000.0,Martin Campbell,4426297.0,6.5,32.0,24084,,0,0,2,0,2003-10-24,127.0,Beyond Borders,2003-01-01,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,-30573703.0,46931361.276907146,5935204.103596866,,-40996157.17331029
23,Boris Sagal,John William Corrington,Joyce Hooper Corrington,Charlton Heston,Anthony Zerbe,Rosalind Cash,Charlton Heston,Anthony Zerbe,Rosalind Cash,Paul Koslo,,Boris Sagal,8720000.0,6.6,nan,25018,,0,0,1,0,1971-08-01,98.0,The Omega Man,1971-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1970,,,53120897.62888488,,
24,Ridley Scott,Rose Bosch,Gérard Depardieu,Armand Assante,Sigourney Weaver,Gérard Depardieu,Armand Assante,Sigourney Weaver,Loren Dean,Ángela Molina,47000000.0,Ridley Scott,7191399.0,6.5,47.0,24572,,0,0,1,0,1992-10-08,154.0,1492: Conquest of Paradise,1992-01-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,-39808601.0,82623420.8142004,12642084.80467702,,-69981336.00952339
25,Danny Steinmann,Martin Kitrosser,David Cohen,Melanie Kinnaman,John Shepherd,Anthony Barrile,Anthony Barrile,Suzanne Bateman,Dominick Brascia,Todd Bryant,2200000.0,Danny Steinmann,21930418.0,4.8,nan,25964,,0,0,2,0,1985-03-22,92.0,Friday the 13th: A New Beginning,1985-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,19730418.0,5044981.095430746,50290247.374951884,,45245266.27952114
26,Howard Hawks,Charles Lederer,Joseph Fields,Jane Russell,Marilyn Monroe,Charles Coburn,Jane Russell,Marilyn Monroe,Charles Coburn,Elliott Reid,2260000.0,Howard Hawks,12000000.0,7.2,nan,25771,,0,0,1,0,1953-07-01,91.0,Gentlemen Prefer Blondes,1953-01-01,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1950,9740000.0,20827096.1368833,110586351.16929187,,89759255.03240857
27,Sarah Polley,Sarah Polley,Michelle Williams,Seth Rogen,Sarah Silverman,Michelle Williams,Seth Rogen,Luke Kirby,Sarah Silverman,Jennifer Podemski,,Sarah Polley,1237514.0,6.6,68.0,24481,,0,0,18,3,2011-09-10,116.0,Take This Waltz,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,1357061.7573822462,,
28,John Guillermin,James Ashmore Creelman,Ruth Rose,Jeff Bridges,Charles Grodin,Jessica Lange,Jeff Bridges,Charles Grodin,Jessica Lange,John Randolph,24000000.0,John Guillermin,90614445.0,5.8,nan,25546,,2,0,1,5,1976-09-08,134.0,King Kong,1976-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1970,66614445.0,104027927.9604058,392768039.8596731,,288740111.89926726
29,Don Coscarelli,Don Coscarelli,A. Michael Baldwin,Bill Thornbury,Reggie Bannister,A. Michael Baldwin,Bill Thornbury,Reggie Bannister,Kathy Lester,Terrie Kalbus,300000.0,Don Coscarelli,11988469.0,6.8,72.0,25991,,0,0,1,2,1979-01-01,88.0,Phantasm,1979-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1970,11688469.0,1019644.5056837754,40746588.49136755,,39726943.98568378
30,Dwight H. Little,Alan B. McElroy,Jon Foo,Kelly Overton,Cary-Hiroyuki Tagawa,Jon Foo,Kelly Overton,Cary-Hiroyuki Tagawa,Ian Anthony Dale,Cung Le,30000000.0,Dwight H. Little,,4.8,nan,23799,,0,0,0,0,2010-03-20,87.0,Tekken,2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,33936635.397868894,,,
31,Penny Marshall,Beverly D'Onofrio,Morgan Ward,Drew Barrymore,Steve Zahn,Adam Garcia,Drew Barrymore,Steve Zahn,Adam Garcia,Brittany Murphy,48000000.0,Penny Marshall,35743308.0,6.5,43.0,24175,,0,0,2,2,2001-10-19,132.0,Riding in Cars with Boys,2001-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,-12256692.0,66868102.39705044,49793482.903194,,-17074619.493856438
32,John Madden,Ol Parker,Ol Parker,Judi Dench,Maggie Smith,Bill Nighy,Dev Patel,Maggie Smith,Danny Mahoney,David Strathairn,10000000.0,John Madden,90384306.0,6.6,51.0,26572,,0,0,2,0,2015-02-26,122.0,The Second Best Exotic Marigold Hotel,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010,80384306.0,10407228.173506541,94065009.58460364,,83657781.4110971
33,Nick Hamm,Mark Bomback,Robert De Niro,Greg Kinnear,Rebecca Romijn,Greg Kinnear,Rebecca Romijn,Robert De Niro,Cameron Bright,Merwin Mondesir,25000000.0,Nick Hamm,14379751.0,4.8,24.0,23293,,0,0,0,0,2004-04-30,102.0,Godsend,2004-01-01,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,-10620249.0,32648327.89775846,18778993.029444806,,-13869334.868313657
34,Shûsuke Kaneko,Tsugumi Ôba,Takeshi Obata,Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto,Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto,Shigeki Hosokawa,20000000.0,Sh�suke Kaneko,,7.8,nan,25363,,0,0,2,4,2006-06-17,126.0,Death Note,2006-01-01,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,,24472142.528300256,,,
35,Christopher Guest,Christopher Guest,Eugene Levy,Christopher Guest,Eugene Levy,Michael McKean,Jim Moret,Stuart Luce,Mary Gross,Marty Belafsky,,Christopher Guest,17508936.0,7.3,81.0,23447,,1,0,27,14,2003-03-12,91.0,A Mighty Wind,2003-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,23477662.88543559,,
36,Harry Hook,William Golding,Jay Presson Allen,Balthazar Getty,Chris Furrh,Danuel Pipoly,Balthazar Getty,Chris Furrh,Danuel Pipoly,James Badge Dale,,Harry Hook,13985225.0,6.4,nan,24387,,0,0,3,0,1990-03-16,90.0,Lord of the Flies,1990-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,26402613.429977074,,
37,Andrew Davis,Andrew Davis,Steven Seagal,Steven Seagal,Pam Grier,Henry Silva,Steven Seagal,Pam Grier,Henry Silva,Ron Dean,7500000.0,Andrew Davis,18869631.0,6.0,nan,24438,,0,0,0,0,1988-04-08,99.0,Above the Law,1988-01-01,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,11369631.0,15643865.834865442,39359196.76232237,,23715330.927456934
38,Dennis Dugan,Scott Alexander,Larry Karaszewski,Michael Oliver,John Ritter,Jack Warden,John Ritter,Jack Warden,Michael Oliver,Gilbert Gottfried,10000000.0,Dennis Dugan,72270900.0,5.3,27.0,24395,,0,0,1,0,1990-07-27,81.0,Problem Child,1990-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1990,62270900.0,18878933.610275894,136439752.30548885,,117560818.69521293
39,Michael Lehmann,Audrey Wells,Uma Thurman,Janeane Garofalo,Ben Chaplin,Uma Thurman,Janeane Garofalo,Ben Chaplin,Jamie Foxx,James McCaffrey,,Michael Lehmann,34073143.0,6.3,64.0,23252,,0,0,2,0,1996-04-26,97.0,The Truth About Cats & Dogs,1996-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,,,53584877.97683775,,
40,Gary Fleder,Scott Rosenberg,Andy Garcia,Christopher Walken,Christopher Lloyd,Andy Garcia,Christopher Lloyd,William Forsythe,Bill Nunn,Treat Williams,7000000.0,Gary Fleder,529766.0,6.8,46.0,23600,,0,0,0,2,1995-05-01,115.0,Things to Do in Denver When You're Dead,1995-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,-6470234.0,11331180.140289003,857553.4254571921,,-10473626.71483181
41,Sngmoo Lee,Sngmoo Lee,Dong-gun Jang,Kate Bosworth,Geoffrey Rush,Dong-gun Jang,Kate Bosworth,Geoffrey Rush,Danny Huston,Tony Cox,45000000.0,Sngmoo Lee,11087569.0,6.3,45.0,23365,,0,0,0,0,2010-12-01,100.0,The Warrior's Way,2010-01-01,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,-33912431.0,50904953.09680334,12542492.886723794,,-38362460.21007955
42,Sanaa Hamri,Elizabeth Chandler,Ann Brashares,America Ferrera,Alexis Bledel,Amber Tamblyn,Amber Tamblyn,Alexis Bledel,America Ferrera,Blake Lively,,Sanaa Hamri,44087387.0,6.2,63.0,24068,,0,0,1,0,2008-08-06,119.0,The Sisterhood of the Traveling Pants 2,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,,,50511677.878090136,,
43,Don Taylor,Mike Hodges,Harvey Bernhard,David Seltzer,William Holden,Lee Grant,Jonathan Scott-Taylor,William Holden,Lee Grant,Jonathan Scott-Taylor,6800000.0,Don Taylor Mike Hodges,26518355.0,6.3,nan,24621,,0,0,1,3,1978-06-05,107.0,Damien: Omen II,1978-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1970,19718355.0,25713068.98445136,100274748.74546628,,74561679.76101491
44,Tom Ropelewski,Tom Ropelewski,Leslie Dixon,John Travolta,Kirstie Alley,David Gallagher,John Travolta,Kirstie Alley,David Gallagher,Tabitha Lupien,,Tom Ropelewski,10340263.0,4.2,nan,24181,,0,0,4,1,1993-11-05,96.0,Look Who's Talking Now,1993-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1990,,,17656456.88746846,,
45,Marc Rothemund,Fred Breinersdorfer,Julia Jentsch,Fabian Hinrichs,Alexander Held,Julia Jentsch,Alexander Held,Fabian Hinrichs,Johanna Gastdorf,André Hennicke,,Marc Rothemund,676167.0,7.6,76.0,23821,701656.0,1,0,12,22,2005-02-13,120.0,Sophie Scholl - Die letzten Tage,2005-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,,,854053.0199848001,886247.6663168344,
