,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: War,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre: Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: Family,Genre:  Action,Genre: Crime,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: UNRATED,Content Rating: APPROVED,Content Rating: M/PG,Content Rating: NOT RATED,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
1307,Daniel Benmayor,Matt Johnson,T.J. Scott,Taylor Lautner,Marie Avgeropoulos,Adam Rayner,Taylor Lautner,Marie Avgeropoulos,Adam Rayner,Rafi Gavron,11000000.0,Daniel Benmayor,,5.6,45.0,15808,,0,0,2,0,2015-01-15,94.0,Tracers,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010,,11447950.990857197,,,
1308,Michael Jai White,Chris Hauty,Michael Jai White,Dean Geyer,Alex Meraz,Michael Jai White,Dean Geyer,Alex Meraz,Todd Duffee,Scottie Epstein,3000000.0,Michael Jai White,,5.8,nan,15547,,0,0,0,0,2011-04-08,90.0,Never Back Down 2: The Beatdown,2011-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,3289809.466516531,,,
1309,Will Finn,John Sanford,Will Finn,John Sanford,Judi Dench,Cuba Gooding Jr.,Jennifer Tilly,G.W. Bailey,Roseanne Barr,Bobby Block,110000000.0,Will Finn John Sanford,103951461.0,5.4,50.0,15743,,0,0,5,0,2004-03-21,76.0,Home on the Range,2004-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,-6048539.0,143652642.75013724,135753655.36716202,,-7898987.382975203
1310,Luis Piedrahita,Rodrigo Sopeña,Luis Piedrahita,Rodrigo Sopeña,Alejo Sauras,Elena Ballesteros,Lluís Homar,Alejo Sauras,Elena Ballesteros,Lluís Homar,,Rodrigo Sope�a Luis Piedrahita,,6.7,nan,15926,,0,0,1,4,2007-10-07,89.0,La habitaci�n de Fermat,2007-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000,,,,,
1311,Travis Cluff,Chris Lofing,Chris Lofing,Travis Cluff,Reese Mishler,Pfeifer Brown,Ryan Shoos,Reese Mishler,Pfeifer Brown,Ryan Shoos,100000.0,Travis Cluff Chris Lofing,22757819.0,4.2,30.0,16359,,0,0,1,0,2015-07-09,81.0,The Gallows,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,22657819.0,104072.28173506542,23684581.506436247,,23580509.224701185
1312,Andrzej Zulawski,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,Sam Neill,Margit Carstensen,Isabelle Adjani,Sam Neill,Margit Carstensen,Heinz Bennent,,Andrzej Zulawski,1113538.0,7.4,nan,17104,,0,0,4,5,1981-05-25,124.0,Possession,1981-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980,,,3020899.696695078,,
1313,Joachim Trier,Pierre Drieu La Rochelle,Joachim Trier,Anders Danielsen Lie,Hans Olav Brenner,Ingrid Olava,Anders Danielsen Lie,Malin Crépin,Aksel Thanke,Hans Olav Brenner,,Joachim Trier,1470679.0,7.7,84.0,15619,,0,0,16,19,2011-05-18,95.0,Oslo 31. august,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2010,,,1612751.2321356884,,
1314,Herk Harvey,John Clifford,Candace Hilligoss,Frances Feist,Sidney Berger,Candace Hilligoss,Frances Feist,Sidney Berger,Art Ellison,Stan Levitt,30000.0,Herk Harvey,,7.2,nan,15614,,0,0,0,0,1962-06-01,78.0,Carnival of Souls,1962-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1960,,244630.4132231405,,,
1315,Tolga Örnek,Tolga Örnek,Mehmet Ada Öztekin,Nejat Isler,Yigit Özsener,Ahu Türkpençe,Nejat Isler,Yigit Özsener,Ahu Türkpençe,Idil Firat,,Tolga �rnek,,7.7,nan,16448,,0,0,0,0,2011-03-25,105.0,Kaybedenler Kul�b�,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,,,,,
1316,Shira Piven,Eliot Laurence,Kristen Wiig,James Marsden,Linda Cardellini,Kristen Wiig,Wes Bentley,Linda Cardellini,Joan Cusack,Loretta Devine,,Shira Piven,608852.0,5.9,69.0,15776,,0,0,2,1,2014-09-05,87.0,Welcome to Me,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010,,,634397.8449998279,,
1317,René Laloux,Stefan Wul,Roland Topor,Barry Bostwick,Jennifer Drake,Eric Baugin,Jennifer Drake,Eric Baugin,Jean Topart,Jean Valmont,,Ren� Laloux,,7.8,nan,16806,,0,0,2,1,1973-05-11,72.0,La plan�te sauvage,1973-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1970,,,,,
1318,Daniel Ribeiro,Daniel Ribeiro,Ghilherme Lobo,Fabio Audi,Tess Amorim,Ghilherme Lobo,Fabio Audi,Tess Amorim,Lúcia Romano,Eucir de Souza,,Daniel Ribeiro,101137.0,8.0,71.0,17266,190641.58829676072,0,0,14,23,2014-02-10,96.0,Hoje Eu Quero Voltar Sozinho,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2010,,,105380.44524736323,198640.41307708508,
