,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Comedy,Genre:  Music,Genre: Fantasy,Genre:  Western,Genre: Action,Genre: Drama,Genre:  Fantasy,Genre: Musical,Genre:  Comedy,Genre: Mystery,Genre:  Horror,Genre:  Film-Noir,Genre:  Adventure,Genre: Horror,Genre:  Crime,Genre:  Musical,Genre: Romance,Genre:  Sport,Genre: Western,Genre:  Mystery,Genre: Biography,Genre:  Family,Genre:  Drama,Genre:  Thriller,Genre: Animation,Genre:  Action,Genre:  History,Genre:  Romance,Genre:  Sci-Fi,Genre: Film-Noir,Genre: Crime,Genre:  Biography,Genre:  War,Genre: Sci-Fi,Genre: Adventure,Genre: Family,Content Rating: PG-13,Content Rating: APPROVED,Content Rating: PASSED,Content Rating: R,Content Rating: NR,Content Rating: G,Content Rating: UNRATED,Content Rating: GP,Content Rating: NOT RATED,Content Rating: NC-17,Content Rating: PG
1844,Frank Capra,Robert Riskin,Samuel Hopkins Adams,Clark Gable,Claudette Colbert,Walter Connolly,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,325000.0,Frank Capra,,8.1,87.0,74133,,0,5,2,5,1934-02-22,105.0,It Happened One Night,1934-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1845,Werner Herzog,William M. Finkelstein,Nicolas Cage,Eva Mendes,Russell M. Haeuser,Nicolas Cage,Eva Mendes,Val Kilmer,Xzibit,Fairuza Balk,20000000.0,Werner Herzog,1697956.0,6.7,69.0,68120,,0,0,9,3,2009-09-04,122.0,The Bad Lieutenant: Port of Call - New Orleans,2009-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1846,John Sturges,William Roberts,Yul Brynner,Steve McQueen,Charles Bronson,Yul Brynner,Eli Wallach,Steve McQueen,Horst Buchholz,Charles Bronson,2000000.0,John Sturges,4905000.0,7.8,nan,75508,,1,0,5,1,1960-11-23,128.0,The Magnificent Seven,1960-01-01,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1847,John Michael McDonagh,John Michael McDonagh,Brendan Gleeson,Don Cheadle,Mark Strong,Ronan Collins,Paraic Nialand,John Patrick Beirne,Liam O'Conghaile,Christopher Kilmartin,6000000.0,John Michael McDonagh,5359774.0,7.3,78.0,70819,,0,0,25,14,2011-01-20,96.0,The Guard,2011-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1848,Ric Roman Waugh,Justin Haythe,Ric Roman Waugh,Dwayne Johnson,Susan Sarandon,Jon Bernthal,Dwayne Johnson,Barry Pepper,Jon Bernthal,Susan Sarandon,15000000.0,Ric Roman Waugh,57824674.0,6.5,51.0,70636,,0,0,1,0,2013-02-21,112.0,Snitch,2013-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1849,Neil Marshall,Neil Marshall,Michael Fassbender,Dominic West,Olga Kurylenko,Michael Fassbender,Andreas Wisniewski,Dave Legeno,Axelle Carolyn,Dominic West,12000000.0,Neil Marshall,6814789.0,6.4,62.0,70193,,0,0,1,0,2010-02-15,97.0,Centurion,2010-01-01,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1850,Charles Laughton,James Agee,Davis Grubb,Robert Mitchum,Shelley Winters,Lillian Gish,Robert Mitchum,Shelley Winters,Lillian Gish,James Gleason,795000.0,Charles Laughton,,8.0,99.0,70503,,0,0,0,2,1955-07-26,92.0,The Night of the Hunter,1955-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1851,John Pasquin,Leo Benvenuti,Steve Rudnick,Tim Allen,Judge Reinhold,Wendy Crewson,Tim Allen,Judge Reinhold,Wendy Crewson,Eric Lloyd,22000000.0,John Pasquin,189800000.0,6.4,57.0,76665,,0,0,8,2,1994-11-11,97.0,The Santa Clause,1994-01-01,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1852,Jason Reitman,Diablo Cody,Charlize Theron,Patrick Wilson,Patton Oswalt,Charlize Theron,Patton Oswalt,Patrick Wilson,Elizabeth Reaser,Collette Wolfe,12000000.0,Jason Reitman,22939027.0,6.3,71.0,68870,,0,0,31,3,2011-12-09,94.0,Young Adult,2011-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1853,Miguel Arteta,Gustin Nash,C.D. Payne,Michael Cera,Portia Doubleday,Ray Liotta,Michael Cera,Portia Doubleday,Jean Smart,Zach Galifianakis,18000000.0,Miguel Arteta,15281286.0,6.5,63.0,68314,,0,0,1,1,2009-09-11,90.0,Youth in Revolt,2009-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
