,Name,Rating,Score,Release,Budget,Open,Gross,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
62,Looper,R,93.0,2012-09-28,30000000.0,1505079.3454004463,66486205.0,2010,36486205.0,32231241.000978358,71431096.55318174,1617019.1702398844,39199855.55220339
63,Sicario,R,93.0,2015-10-02,30000000.0,12148041.0,46889293.0,2010,16889293.0,31221684.520519625,48798757.11454031,12642743.454811258,17577072.594020683
64,No Country for Old Men,R,93.0,2007-11-21,25000000.0,1226333.0,74283625.0,2000,49283625.0,29741851.20698656,88373300.87462348,1458936.544648698,58631449.66763692
67,Who Framed Roger Rabbit,PG,97.0,1988-06-22,70000000.0,1034663.1553160215,156452370.0,1980,86452370.0,146009414.4587441,326335984.7768969,2158150.878138985,180326570.31815284
68,Embrace Of The Serpent ,NR,97.0,2015-05-25,1400000.0,50955.0,1329249.0,2010,-70751.0,1457011.944290916,1383379.7642405399,53030.03115810259,-73632.18005037613
69,Mad Max 2: The Road Warrior,R,98.0,1982-05-21,2000000.0,800926.4511249763,12465371.0,1980,10465371.0,5112310.880829016,31863425.898435235,2047292.5054149923,26751115.017606217
70,The Right Stuff,PG,98.0,1984-02-17,27000000.0,1601167.0,21500000.0,1980,-5500000.0,64110986.70435135,51051341.26457608,3801940.601794301,-13059645.439775275
72,Babe,G,97.0,1995-08-04,30000000.0,8742545.0,66600000.0,1990,36600000.0,48562200.601238586,107808085.33474965,14151907.468511846,59245884.733511075
74,Crouching Tiger Hidden Dragon,PG13,97.0,2001-01-12,17000000.0,988961.8081819464,128078872.0,2000,111078872.0,23682452.932288695,178424815.16238993,1377708.3220058864,154742362.23010123
76,The Bourne Ultimatum,PG13,93.0,2007-08-03,110000000.0,69283690.0,227471070.0,2000,117471070.0,130864145.31074087,270616428.71336097,82425007.9620393,139752283.4026201
78,The Lord of the Rings: The Return of the King,PG13,94.0,2003-12-17,94000000.0,1764458.0,377845905.0,2000,283845905.0,126044227.42940778,506652076.4158554,2365954.7387408298,380607848.98644763
79,Dawn Of The Planet Of The Apes,PG13,90.0,2014-07-11,170000000.0,72611427.0,208545589.0,2010,38545589.0,177132757.4681051,217295619.04341254,75658013.46002366,40162861.575307414
81,Catch Me If You Can,PG13,96.0,2002-12-25,52000000.0,30082000.0,164615351.0,2000,112615351.0,71309453.78735232,225742899.32352468,41252519.01598332,154433445.53617233
83,The Fugitive,PG13,96.0,1993-08-06,44000000.0,23758855.0,183875760.0,1990,139875760.0,75131948.09925166,313976001.29614675,40569296.83540104,238844053.19689506
85,Doctor Strange,PG13,89.0,2016-11-04,165000000.0,1882494.3800017983,232641920.0,2010,67641920.0,169576929.72409314,239095166.7801097,1934712.831415547,69518237.05601655
86,Apollo 13,PG,95.0,1995-06-30,52000000.0,200645.0,173837933.0,1990,121837933.0,84174481.04214688,281398419.1483558,324792.0913211839,197223938.1062089
89,Jurassic Park,PG13,92.0,1993-06-11,63000000.0,21465353.88652017,402453882.0,1990,339453882.0,107575289.32392852,687207822.1537807,36653042.13941144,579632532.8298522
90,Wallace & Gromit: The Curse of the Were-Rabbit,G,95.0,2005-10-07,30000000.0,1321383.0,56110897.0,2000,26110897.0,37892400.249559656,70872552.2495272,1669012.4506321296,32980151.99996755
93,Spider-Man 2,PG13,93.0,2004-06-30,200000000.0,5309404.0,373585825.0,2000,173585825.0,261186623.1820677,487878100.50218445,6933726.509346815,226691477.32011676
94,Hero,PG13,95.0,2004-08-27,31000000.0,687653.0,53710019.0,2000,22710019.0,40483926.593220495,70141692.46827349,898028.8249550919,29657765.875052992
97,Drive,R,93.0,2011-09-16,15000000.0,11340461.0,35060689.0,2010,20060689.0,16449047.332582654,38447662.191597335,12435985.317487175,21998614.859014682
98,Raiders of the Lost Ark,PG,94.0,1981-06-12,18000000.0,1673731.0,248159971.0,1980,230159971.0,48831916.41462744,673229275.6293539,4540638.460698378,624397359.2147264
99,The Departed,R,91.0,2006-10-06,90000000.0,1228256.1992304404,132384315.0,2000,42384315.0,110124641.37735115,161986391.25956988,1502903.0384417847,51861749.882218726
100,Inside Out,PG,98.0,2015-06-19,175000000.0,1154722.0,356461711.0,2010,181461711.0,182126493.0363645,370977836.14955467,1201745.5330967822,188851343.1131902
101,Snow White and the Seven Dwarfs,G,98.0,1938-02-04,2000000.0,7514749.0,184925485.0,1930,182925485.0,35009201.647543654,3237046797.0674047,131542681.53583851,3202037595.4198613
103,Toy Story 2,G,100.0,1999-11-24,90000000.0,57388839.0,245852179.0,1990,155852179.0,133274561.00855471,364064902.5469068,84983025.82795139,230790341.5383521
104,Finding Nemo,G,99.0,2003-05-30,94000000.0,2111315.0,380843261.0,2000,286843261.0,126044227.42940778,510671219.19618416,2831053.9152672347,384626991.7667764
105,Pinocchio,G,100.0,1940-02-23,2600000.0,3769251.0,84254167.0,1940,81654167.0,45782705.54331534,1483609122.5224292,66371734.096864186,1437826416.979114
106,Finding Dory,PG,94.0,2016-06-17,200000000.0,135060273.0,486295561.0,2010,286295561.0,205547793.6049614,499784898.01718456,138806705.5941687,294237104.41222316
107,Toy Story,G,100.0,1995-11-22,30000000.0,2992465.2543516397,191796233.0,1990,161796233.0,48562200.601238586,310468238.05026317,4844023.265802026,261906037.44902462
